radial_band,extraction_profile,valid_support_volume,component_count,short_path_count,physical_path_count,static_path_count,response_density,median_spatial_effect,median_temporal_effect,median_duration_frames,median_azimuth_velocity,median_radial_velocity
R0,strict_physical_path,14063760,6307,424,0,250,0.00003014841,0.31552955,0.09736563,3,1.3071,-0.40695
R1,strict_physical_path,17648640,6071,538,1,303,0.000030483935,0.22337478,0.19882975,3,0.74615,0
R2,strict_physical_path,35297280,2701,472,1,231,0.000013372135,0.01574258,0.00228641,3,0.48835,-0.0031
R3,strict_physical_path,35297280,138,17,0,3,0.000000481624,0,0,4,0.3664,-1.8671
R4,strict_physical_path,35297280,1,0,0,0,0,0,0,0,0,0
R5,strict_physical_path,42467040,0,0,0,0,0,0,0,0,0,0
R0,balanced_physical_path,14063760,6307,592,0,367,0.000042094006,0.28902642,0.06690759,4,1.166,-0.17375
R1,balanced_physical_path,17648640,6071,762,3,435,0.000043176131,0.1681056,0.10461494,4,0.65845,0
R2,balanced_physical_path,35297280,2701,609,13,291,0.000017253454,0,-0.01648467,4,0.4712,-0.261725
R3,balanced_physical_path,35297280,138,30,3,5,0.000000849924,0,0.02080166,4.5,0.1587625,-1.478725
R4,balanced_physical_path,35297280,1,0,0,0,0,0,0,0,0,0
R5,balanced_physical_path,42467040,0,0,0,0,0,0,0,0,0,0
R0,relaxed_physical_path,14063760,6307,1383,0,912,0.000098337856,0.08663318,0.04631382,4,0.9719,0
R1,relaxed_physical_path,17648640,6071,1380,3,850,0.000078192994,0.08569214,0.06360692,4,0.670075,0
R2,relaxed_physical_path,35297280,2701,620,13,307,0.000017565093,-0.00352308,-0.04292116,4,0.47055,-0.2628375
R3,relaxed_physical_path,35297280,138,30,3,4,0.000000849924,0,0.02080166,4.5,0.1587625,-1.478725
R4,relaxed_physical_path,35297280,1,0,0,0,0,0,0,0,0,0
R5,relaxed_physical_path,42467040,0,0,0,0,0,0,0,0,0,0
