core_subgraph_id,sar_frame,member_atom_ids,graph_edge_ids,connected_in_atom_graph,core_relation_type,core_role_summary,core_support_geometry,core_lineage_evidence,core_background_relation,box_state,state_reason_cn
R21C00001,27,R21A00001,,true,unresolved_local_response,R21A00001:unresolved_atom,"bbox=1036,1131,1186,1203;proj=147.707691/68.938421;cov=132.450212/65.342252;pix=1320",R21PT0001,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00002,27,R21A00002,,true,single_partial_body,R21A00002:body_core_candidate,"bbox=1096,1209,1144,1233;proj=43.935709/17.050058;cov=36.211269/12.29618;pix=182",R21PT0002,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00003,27,R21A00003,,true,unresolved_local_response,R21A00003:unresolved_atom,"bbox=1084,1131,1108,1149;proj=17.718351/11.030746;cov=15.695248/10.163538;pix=86",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00004,27,R21A00004,,true,unresolved_local_response,R21A00004:isolated_small_atom,"bbox=1006,1131,1018,1137;proj=8.944194/2.245367;cov=10.657314/2.510781;pix=17",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00005,27,R21A00005,,true,unresolved_local_response,R21A00005:isolated_small_atom,"bbox=1030,1221,1042,1233;proj=8.407143/3.820607;cov=11.667449/4.106229;pix=15",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00006,27,R21A00001;R21A00002,R21GE00001,true,unresolved_local_response,R21A00001:unresolved_atom;R21A00002:body_core_candidate,"bbox=1036,1131,1186,1233;proj=146.065142/104.780377;cov=126.205668/95.478184;pix=1502",R21PT0001;R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00007,28,R21A00006,,true,unresolved_local_response,R21A00006:unresolved_atom,"bbox=1036,1131,1192,1203;proj=148.705531/68.544925;cov=130.867627/67.238747;pix=1240",R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00008,28,R21A00007,,true,single_partial_body,R21A00007:body_core_candidate,"bbox=1096,1203,1150,1233;proj=44.928967/24.4846;cov=36.370698/15.589997;pix=231",R21PT0001,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00009,28,R21A00008,,true,unresolved_local_response,R21A00008:unresolved_atom,"bbox=1084,1131,1114,1149;proj=25.304012/11.07087;cov=21.736859/10.055348;pix=118",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00010,28,R21A00009,,true,unresolved_local_response,R21A00009:isolated_small_atom,"bbox=1006,1131,1024,1143;proj=9.389276/2.622277;cov=11.282722/3.035589;pix=19",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00011,28,R21A00006;R21A00007,R21GE00011,true,unresolved_local_response,R21A00006:unresolved_atom;R21A00007:body_core_candidate,"bbox=1036,1131,1192,1233;proj=145.86894/106.572965;cov=122.216785/104.997646;pix=1471",R21PT0001;R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00012,29,R21A00010,,true,unresolved_local_response,R21A00010:unresolved_atom,"bbox=1042,1131,1192,1197;proj=146.875122/74.395273;cov=128.431529/67.12426;pix=1156",R21PT0001,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00013,29,R21A00011,,true,single_partial_body,R21A00011:body_core_candidate,"bbox=1096,1203,1156,1245;proj=51.015268/31.425384;cov=40.744613/19.405186;pix=309",R21PT0002,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00014,29,R21A00012,,true,unresolved_local_response,R21A00012:unresolved_atom,"bbox=1090,1131,1114,1149;proj=22.410576/11.583727;cov=20.721061/9.022418;pix=103",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00015,29,R21A00010;R21A00011,R21GE00017,true,unresolved_local_response,R21A00010:unresolved_atom;R21A00011:body_core_candidate,"bbox=1042,1131,1192,1245;proj=127.561737/131.332518;cov=118.826072/109.686942;pix=1465",R21PT0001;R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00016,30,R21A00013,,true,unresolved_local_response,R21A00013:unresolved_atom,"bbox=1042,1131,1193,1197;proj=146.965706/76.29913;cov=132.8053/64.856364;pix=1023",R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00017,30,R21A00014,,true,single_partial_body,R21A00014:body_core_candidate,"bbox=1096,1203,1162,1245;proj=56.781781/35.81341;cov=41.875411/21.489419;pix=390",R21PT0001,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00018,30,R21A00015,,true,unresolved_local_response,R21A00015:unresolved_atom,"bbox=1090,1131,1120,1149;proj=23.765609/14.289681;cov=16.661798/10.613216;pix=75",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00019,30,R21A00016,,true,single_endpoint_part,R21A00016:endpoint_hotspot_candidate,"bbox=1066,1221,1084,1239;proj=12.033051/9.989664;cov=17.336603/10.994644;pix=26",R21PT0003,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00020,30,R21A00017,,true,unresolved_local_response,R21A00017:isolated_small_atom,"bbox=1042,1221,1054,1239;proj=8.802587/4.401293;cov=10.383823/4.623613;pix=23",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00021,30,R21A00013;R21A00014,R21GE00020,true,unresolved_local_response,R21A00013:unresolved_atom;R21A00014:body_core_candidate,"bbox=1042,1131,1193,1245;proj=123.731238/127.854652;cov=122.943219/110.274505;pix=1413",R21PT0001;R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00022,30,R21A00013;R21A00016,R21GE00022,true,unresolved_local_response,R21A00013:unresolved_atom;R21A00016:endpoint_hotspot_candidate,"bbox=1042,1131,1193,1239;proj=146.858016/95.024177;cov=138.649197/69.074533;pix=1049",R21PT0002;R21PT0003,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00023,30,R21A00014;R21A00016,R21GE00025,true,body_to_endpoint,R21A00014:body_core_candidate;R21A00016:endpoint_hotspot_candidate,"bbox=1066,1203,1162,1245;proj=92.188588/36.319916;cov=73.531285/21.380244;pix=416",R21PT0001;R21PT0003,background_separable_or_absent,vehicle_response_box_supported,主体与端点/侧边经 accepted edge 连通且存在重生谱系。
R21C00024,31,R21A00018,,true,single_partial_body,R21A00018:body_core_candidate,"bbox=1042,1135,1193,1249;proj=171.330009/122.930923;cov=137.03242/110.904083;pix=1426",R21PT0002,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00025,31,R21A00019,,true,unresolved_local_response,R21A00019:unresolved_atom,"bbox=1090,1135,1114,1147;proj=16.414458/9.885275;cov=14.891632/9.588498;pix=65",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00026,31,R21A00020,,true,single_endpoint_part,R21A00020:endpoint_hotspot_candidate,"bbox=1042,1225,1060,1243;proj=13.322626/6.418958;cov=14.34609/5.900189;pix=42",R21PT0004,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00027,31,R21A00021,,true,single_endpoint_part,R21A00021:endpoint_hotspot_candidate,"bbox=1066,1219,1084,1237;proj=11.379603/10.159233;cov=15.559871/11.711971;pix=34",R21PT0003,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
