region_id,pair_id,sar_frame,family,variant,comparison_group,geometry_basis,center_x,center_y,width_px,height_px,angle_deg,area_ratio_to_gt,offset_axis,offset_value,offset_unit,offset_px_local_range,offset_px_local_azimuth,offset_p0_convention_m_local_range,offset_p0_convention_m_local_azimuth,scale_ratio,rotation_relative_to_gt_deg,source_role,interpretation_scope,gt_overlap_allowed,background_source,outer_polygon,inner_polygon,metric_mapping_status,pixel_to_meter_status
E0_REG_000315_0001,WGV35A_PAIR_0003,315,GT_ORIGINAL,gt_original,vehicle_reference,axis_aligned_sar_gt_bbox,790.875,940.529,143.982,70.212,0,1,,0,,-0,0,-0,0,1,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,718.884:905.423;862.866:905.423;862.866:975.635;718.884:975.635,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0002,WGV35A_PAIR_0003,315,SCALE,uniform_scale_0.50,scale_response,axis_aligned_sar_gt_bbox,790.875,940.529,71.991,35.106,0,0.25,,0,,-0,0,-0,0,0.5,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,754.8795:922.976;826.8705:922.976;826.8705:958.082;754.8795:958.082,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0003,WGV35A_PAIR_0003,315,SCALE,range_only_scale_0.50,scale_response,local_range_azimuth_axes,790.875,940.529,74.748111,153.226174,-132.951086,1.132958,,0,,-0,0,-0,0,0.5,-132.951086,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,760.264849:1020.08655;709.333449:965.375742;821.485151:860.97145;872.416551:915.682258,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0004,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_0.50,scale_response,local_range_azimuth_axes,790.875,940.529,149.496222,76.613087,-132.951086,1.132958,,0,,-0,0,-0,0,0.5,-132.951086,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,813.768475:1021.340881;711.905674:911.919265;767.981525:859.717119;869.844326:969.138735,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0005,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_0.50,scale_response,axis_aligned_storage_long_short,790.875,940.529,71.991,70.212,0,0.5,,0,,-0,0,-0,0,0.5,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,754.8795:905.423;826.8705:905.423;826.8705:975.635;754.8795:975.635,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0006,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_0.50,scale_response,axis_aligned_storage_long_short,790.875,940.529,143.982,35.106,0,0.5,,0,,-0,0,-0,0,0.5,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,718.884:922.976;862.866:922.976;862.866:958.082;718.884:958.082,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0007,WGV35A_PAIR_0003,315,SCALE,uniform_scale_0.75,scale_response,axis_aligned_sar_gt_bbox,790.875,940.529,107.9865,52.659,0,0.5625,,0,,-0,0,-0,0,0.75,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,736.88175:914.1995;844.86825:914.1995;844.86825:966.8585;736.88175:966.8585,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0008,WGV35A_PAIR_0003,315,SCALE,range_only_scale_0.75,scale_response,local_range_azimuth_axes,790.875,940.529,112.122166,153.226174,-132.951086,1.699436,,0,,-0,0,-0,0,0.75,-132.951086,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,772.997699:1033.764252;696.600599:951.69804;808.752301:847.293748;885.149401:929.35996,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0009,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_0.75,scale_response,local_range_azimuth_axes,790.875,940.529,149.496222,114.919631,-132.951086,1.699436,,0,,-0,0,-0,0,0.75,-132.951086,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,799.749512:1034.391418;697.886712:924.969801;782.000488:846.666582;883.863288:956.088199,,NOT_READY,P0_CONVENTION_ONLY
E0_REG_000315_0010,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_0.75,scale_response,axis_aligned_storage_long_short,790.875,940.529,107.9865,70.212,0,0.75,,0,,-0,0,-0,0,0.75,0,vehicle_reference_or_perturbation,posthoc_physical_contrast,true,,736.88175:905.423;844.86825:905.423;844.86825:975.635;736.88175:975.635,,NOT_READY,P0_CONVENTION_ONLY
