reference_edge_id,scene,reference_table,reference_edge_kind,reference_status,from_reference_id,to_reference_id,from_mapped_auto_node_id,to_mapped_auto_node_id,mapping_evaluable,auto_relation_id,auto_relation_status,recovered_as_candidate,recovered_as_accepted_or_weak,forbidden_violation,context_false_bridge,evaluation_reason
GM_RM011_WGV12M001,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,AUTO_GM_RM011_0001,AUTO_GM_RM011_0001,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M002,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,AUTO_GM_RM011_0001,AUTO_GM_RM011_0003,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M003,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,AUTO_GM_RM011_0003,AUTO_GM_RM011_0003,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M004,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,AUTO_GM_RM011_0003,AUTO_GM_RM011_0005,True,REL_GM_RM011_00017,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M005,GM_RM011,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,AUTO_GM_RM011_0005,AUTO_GM_RM011_0006,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M006,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,AUTO_GM_RM011_0014,AUTO_GM_RM011_0015,True,REL_GM_RM011_00067,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M007,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,AUTO_GM_RM011_0017,AUTO_GM_RM011_0017,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M008,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,AUTO_GM_RM011_0017,AUTO_GM_RM011_0017,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M009,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,AUTO_GM_RM011_0017,AUTO_GM_RM011_0019,True,REL_GM_RM011_00083,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M010,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,AUTO_GM_RM011_0019,AUTO_GM_RM011_0019,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M011,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF014,GM_RM011_WGV12TF015,AUTO_GM_RM011_0019,AUTO_GM_RM011_0019,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M012,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF015,GM_RM011_WGV12TF016,AUTO_GM_RM011_0019,AUTO_GM_RM011_0022,True,REL_GM_RM011_00112,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M013,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF016,GM_RM011_WGV12TF017,AUTO_GM_RM011_0022,AUTO_GM_RM011_0023,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M014,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,AUTO_GM_RM011_0023,AUTO_GM_RM011_0025,True,REL_GM_RM011_00158,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
