visual_case_id,review_label,independent_geometry_id,response_unit_id,sar_frame,visual_relpath,opened_for_review,selection_reason
VR01,axis_image_about_45,GM019IG0164,R21B00142,250,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/01_axis_image_about_45_GM019IG0164.png,pending_manual_open,image axis closest to 45 degrees
VR02,axis_image_about_135,GM019IG0036,R21B00015,29,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/02_axis_image_about_135_GM019IG0036.png,pending_manual_open,image axis closest to 135 degrees
VR03,near_range_axis,GM019IG0101,R21B00061,40,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/03_near_range_axis_GM019IG0101.png,pending_manual_open,acute angle closest to range axis
VR04,near_azimuth_axis,GM019IG0199,R21B00171,270,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/04_near_azimuth_axis_GM019IG0199.png,pending_manual_open,acute angle closest to azimuth axis
VR05,near_isotropic,GM019IG0166,R21B00093,80,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/05_near_isotropic_GM019IG0166.png,pending_manual_open,lowest principal-axis ratio
VR06,multi_component,GM019IG0001,R21B00042,34,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/06_multi_component_GM019IG0001.png,pending_manual_open,multi-component ambiguous axis
VR07,threshold_identity_switch,GM019IG0002,R21B00105,212,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/07_threshold_identity_switch_GM019IG0002.png,pending_manual_open,threshold identity not persistent
VR08,rotation_sensitive,GM019IG0094,R21B00167,270,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/08_rotation_sensitive_GM019IG0094.png,pending_manual_open,largest measured rotation axis delta
VR09,rotation_insensitive,GM019IG0182,R21B00082,78,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/09_rotation_insensitive_GM019IG0182.png,pending_manual_open,smallest measured rotation axis delta
VR10,no_exceeds_envelope_observed_max_extra_spread,GM019IG0096,R21B00174,270,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/10_no_exceeds_envelope_observed_max_extra_spread_GM019IG0096.png,pending_manual_open,no EXCEEDS_VEHICLE_PROJECTION_ENVELOPE row observed; fallback shows maximum extra spread
VR11,partial_support_below_envelope,GM019IG0003,R21B00109,213,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/11_partial_support_below_envelope_GM019IG0003.png,pending_manual_open,vehicle projection envelope status is PARTIAL_SUPPORT_BELOW_ENVELOPE
VR12,duplicate_independent_geometry,GM019IG0041,R21B00024,31,outputs/oty2_gm_rm019_s1_r1_axis_rotation_20260712/visual_review/12_duplicate_independent_geometry_GM019IG0041.png,pending_manual_open,duplicate response units mapped to one independent geometry
