case_id,family_id,sar_frame,error_type,reason_cn,provenance
R21R1ERR0001,R21R1F00001,27,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0002,R21R1F00001,27,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0003,R21R1F00006,28,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0004,R21R1F00006,28,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0005,R21R1F00006,28,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0006,R21R1F00007,28,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0007,R21R1F00008,28,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0008,R21R1F00009,28,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0009,R21R1F00010,29,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0010,R21R1F00010,29,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0011,R21R1F00010,29,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
