template_id,independent_geometry_id,member_response_unit_ids,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,rotation_deg,template_scope
GM019IG0001_T01,GM019IG0001,R21B00042,34,center_shift,range,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T02,GM019IG0001,R21B00042,34,center_shift,range,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T03,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T04,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T05,GM019IG0001,R21B00042,34,center_shift,range,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T06,GM019IG0001,R21B00042,34,center_shift,range,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T07,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T08,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T09,GM019IG0001,R21B00042,34,center_shift,range,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0001_T10,GM019IG0001,R21B00042,34,center_shift,range,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0001_T11,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0001_T12,GM019IG0001,R21B00042,34,center_shift,azimuth,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0001_T13,GM019IG0001,R21B00042,34,single_boundary_shift,range_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T14,GM019IG0001,R21B00042,34,single_boundary_shift,range_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T15,GM019IG0001,R21B00042,34,single_boundary_shift,range_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T16,GM019IG0001,R21B00042,34,single_boundary_shift,range_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T17,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T18,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T19,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_max,move,-0.15,-5,0,GT-independent local frozen response geometry
