assisted_review_id,blind_frame_id,blind_family_id,family_id,assisted_core_visual_match,assisted_optional_membership_match,assisted_background_exclusion_match,assisted_structure_support,assisted_unresolved,assisted_decisive_reason_cn,raw_to_assisted_change_cn,algorithm_overlay_helped_or_misled_cn,assisted_confidence,assisted_png
R21AST0001,R21_BLIND_FRAME_027,R21_BLIND_FAMILY_001,R21F00001,false,false,true,false,true,R21F00001在27帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00001由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00001：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0002,R21_BLIND_FRAME_028,R21_BLIND_FAMILY_002,R21F00002,false,false,true,false,true,R21F00002在28帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00002由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00002：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0003,R21_BLIND_FRAME_029,R21_BLIND_FAMILY_003,R21F00003,false,false,true,false,true,R21F00003在29帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00003由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00003：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0004,R21_BLIND_FRAME_030,R21_BLIND_FAMILY_004,R21F00004,partial,partial,true,partial,false,R21F00004在30帧：端点框落在raw亮点上，body框覆盖弱连接区，但整体仍是局部解释；overlay把下沿亮点解释成端点/主体局部，和raw里看到的离散亮点基本一致。,R21F00004由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00004：overlay有助于把端点亮斑和弱主体分开，但不能把局部部件直接升级为完整车辆。,0.55,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0005,R21_BLIND_FRAME_031,R21_BLIND_FAMILY_005,R21F00005,partial,partial,true,partial,false,R21F00005在31帧：端点框落在raw亮点上，body框覆盖弱连接区，但整体仍是局部解释；overlay把下沿亮点解释成端点/主体局部，和raw里看到的离散亮点基本一致。,R21F00005由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00005：overlay有助于把端点亮斑和弱主体分开，但不能把局部部件直接升级为完整车辆。,0.55,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0006,R21_BLIND_FRAME_032,R21_BLIND_FAMILY_006,R21F00006,false,false,true,false,true,R21F00006在32帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00006由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00006：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0007,R21_BLIND_FRAME_034,R21_BLIND_FAMILY_007,R21F00007,partial,partial,true,partial,false,R21F00007在34帧：端点框落在raw亮点上，body框覆盖弱连接区，但整体仍是局部解释；overlay把下沿亮点解释成端点/主体局部，和raw里看到的离散亮点基本一致。,R21F00007由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00007：overlay有助于把端点亮斑和弱主体分开，但不能把局部部件直接升级为完整车辆。,0.55,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0008,R21_BLIND_FRAME_039,R21_BLIND_FAMILY_008,R21F00008,false,false,false,false,false,R21F00008在39帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00008由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00008：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0009,R21_BLIND_FRAME_040,R21_BLIND_FAMILY_009,R21F00009,false,false,false,false,false,R21F00009在40帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00009由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00009：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0010,R21_BLIND_FRAME_040,R21_BLIND_FAMILY_010,R21F00010,false,false,false,false,false,R21F00010在40帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00010由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00010：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
