event_id,sar_frame,response_track_id,visibility_state,missing_frames,position_uncertainty,reason
VIS_000361_RT_D1_0010,361,RT_D1_0010,temporarily_missing,1,45.418706,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000361_RT_D1_0011,361,RT_D1_0011,temporarily_missing,1,45.418706,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000362_RT_D1_0009,362,RT_D1_0009,temporarily_missing,1,41.101468,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000362_RT_D1_0010,362,RT_D1_0010,temporarily_missing,2,41.101468,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000363_RT_D1_0008,363,RT_D1_0008,temporarily_missing,1,37.453057,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000363_RT_D1_0010,363,RT_D1_0010,temporarily_missing,3,37.453057,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000363_RT_D1_0011,363,RT_D1_0011,temporarily_missing,1,37.453057,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000364_RT_D1_0010,364,RT_D1_0010,temporarily_missing,4,34.340201,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000365_RT_D1_0007,365,RT_D1_0007,temporarily_missing,1,31.724945,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000365_RT_D1_0010,365,RT_D1_0010,temporarily_missing,5,31.724945,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000365_RT_D1_0012,365,RT_D1_0012,temporarily_missing,1,31.724945,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000366_RT_D1_0010,366,RT_D1_0010,temporarily_missing,6,29.84196,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000367_RT_D1_0010,367,RT_D1_0010,temporarily_missing,7,28.486211,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000368_RT_D1_0007,368,RT_D1_0007,temporarily_missing,1,27.510072,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000368_RT_D1_0010,368,RT_D1_0010,temporarily_missing,8,27.510072,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000368_RT_D1_0013,368,RT_D1_0013,temporarily_missing,1,27.510072,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000369_RT_D1_0010,369,RT_D1_0010,terminated,9,26.807252,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000371_RT_D1_0014,371,RT_D1_0014,temporarily_missing,1,25.936879,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000372_RT_D1_0003,372,RT_D1_0003,temporarily_missing,1,25.674553,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000372_RT_D1_0009,372,RT_D1_0009,temporarily_missing,1,25.674553,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000372_RT_D1_0013,372,RT_D1_0013,temporarily_missing,1,25.674553,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000372_RT_D1_0014,372,RT_D1_0014,temporarily_missing,2,25.674553,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0003,373,RT_D1_0003,temporarily_missing,2,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0004,373,RT_D1_0004,temporarily_missing,1,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0007,373,RT_D1_0007,temporarily_missing,1,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0008,373,RT_D1_0008,temporarily_missing,1,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0011,373,RT_D1_0011,temporarily_missing,1,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0012,373,RT_D1_0012,temporarily_missing,1,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0013,373,RT_D1_0013,temporarily_missing,2,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000373_RT_D1_0014,373,RT_D1_0014,temporarily_missing,3,25.485678,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0005,374,RT_D1_0005,temporarily_missing,1,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0007,374,RT_D1_0007,temporarily_missing,2,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0008,374,RT_D1_0008,temporarily_missing,2,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0009,374,RT_D1_0009,temporarily_missing,1,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0012,374,RT_D1_0012,temporarily_missing,2,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0013,374,RT_D1_0013,temporarily_missing,3,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000374_RT_D1_0014,374,RT_D1_0014,temporarily_missing,4,25.349688,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000375_RT_D1_0009,375,RT_D1_0009,temporarily_missing,2,25.251776,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000375_RT_D1_0013,375,RT_D1_0013,temporarily_missing,4,25.251776,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000376_RT_D1_0012,376,RT_D1_0012,temporarily_missing,1,25.181278,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000376_RT_D1_0013,376,RT_D1_0013,temporarily_missing,5,25.181278,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000377_RT_D1_0007,377,RT_D1_0007,temporarily_missing,1,25.13052,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000377_RT_D1_0015,377,RT_D1_0015,temporarily_missing,1,25.13052,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000378_RT_D1_0013,378,RT_D1_0013,temporarily_missing,1,25.093975,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000378_RT_D1_0014,378,RT_D1_0014,temporarily_missing,1,25.093975,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000378_RT_D1_0015,378,RT_D1_0015,temporarily_missing,2,25.093975,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000379_RT_D1_0005,379,RT_D1_0005,temporarily_missing,1,25.067662,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000379_RT_D1_0007,379,RT_D1_0007,temporarily_missing,1,25.067662,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000379_RT_D1_0009,379,RT_D1_0009,temporarily_missing,1,25.067662,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000379_RT_D1_0014,379,RT_D1_0014,temporarily_missing,2,25.067662,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000379_RT_D1_0015,379,RT_D1_0015,temporarily_missing,3,25.067662,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000380_RT_D1_0012,380,RT_D1_0012,temporarily_missing,1,25.048717,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000380_RT_D1_0013,380,RT_D1_0013,temporarily_missing,1,25.048717,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000380_RT_D1_0015,380,RT_D1_0015,temporarily_missing,4,25.048717,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000381_RT_D1_0005,381,RT_D1_0005,temporarily_missing,1,25.035076,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000381_RT_D1_0007,381,RT_D1_0007,temporarily_missing,1,25.035076,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000381_RT_D1_0009,381,RT_D1_0009,temporarily_missing,1,25.035076,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000381_RT_D1_0013,381,RT_D1_0013,temporarily_missing,2,25.035076,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000381_RT_D1_0015,381,RT_D1_0015,temporarily_missing,5,25.035076,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000382_RT_D1_0005,382,RT_D1_0005,temporarily_missing,2,25.025255,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000382_RT_D1_0009,382,RT_D1_0009,temporarily_missing,2,25.025255,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000383_RT_D1_0007,383,RT_D1_0007,temporarily_missing,1,25.018183,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000383_RT_D1_0015,383,RT_D1_0015,temporarily_missing,1,25.018183,no_current_component_passed_track_specific_response_and_motion_gates
