subject_frame_id,subject_name,pair_id,sar_frame,split,source_region_id,posthoc_evaluation_label,subject_motion_model,persistent_subject_status,relative_aspect_angle_deg,aspect_angle_ci_width_deg,aspect_observability_status,absolute_range_m_grid,center_x,center_y,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,790.875,940.529,446668,40.422443,0.971196,0.075385,0.075385,6.960719,0.842664,2.690006,3.101361,3.860472,1.719482,0,0,5.150496,2.198223,-0.024962,0.006935,0.023062,0.011805,-178.637283,3.053064,45.686197,0.187511,2.297189,153,15.384615,227054.040854,219613.959146,1.033878
matched_ordinary_background_sar000315,matched_ordinary_background,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1541,986,442566,40.080238,0.962975,0.05787,0.05787,0,0.85992,3.374462,2.687986,4.210514,1.724896,0,0,5.339097,2.180632,-16.27975,15.53578,22.49951,-0.40346,-173.201996,2.382223,48.481128,0.147342,2.441119,190,19.11892,0,442566,0
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,963,816,503816,45.627243,1.096248,0.266437,0.266437,0,0.845626,2.988318,3.372369,3.916141,1.678255,0,0,5.014395,2.125925,-0.787132,6.328658,4.865507,-4.122903,179.059652,5.356129,70.577332,0.181444,2.49636,316,31.797782,365934.981683,137881.018317,2.653991
matched_linear_structure_background_sar000315,matched_linear_structure_background,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1473,816,478009,43.290073,1.040095,0.170531,0.170531,0,0.840697,3.732508,3.223286,4.509973,1.365382,0,0,6.703032,1.596682,-11.201115,17.502928,20.095482,-5.290469,-174.532653,1.051566,63.672616,0.190586,4.152293,263,26.46461,0,478009,0
fixed_known_non_vehicle_N005_sar000315,fixed_known_non_vehicle_N005,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1196.566369,1166.397906,439961,39.408905,0.946845,0.028574,0.028574,0,0.869065,3.819618,3.010495,4.298054,1.847083,0,0,5.668119,2.395474,-13.227334,4.296312,12.641321,5.798073,-167.541142,8.043077,87.925889,0.134679,2.451217,240,23.886301,0,439961,0
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1132.158395,1164.457828,436996,39.400955,0.946654,0.026057,0.026057,0,0.869479,3.637959,2.909011,4.288465,1.893512,0,0,5.427599,2.449706,-11.869234,2.919115,10.709382,5.891442,-170.325985,5.258234,72.836638,0.124466,2.222552,228,22.841343,0,436996,0
fixed_linear_structure_sar000315,fixed_linear_structure,WGV35A_PAIR_0003,315,calibration,E0_R1_REG_000315_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,45.846796,4.395572,OBSERVABLE_MEDIUM,36.86557,1461.700834,848.735721,478325,43.162334,1.037025,0.163328,0.163328,0,0.843979,3.588698,3.255067,4.397142,1.572121,0,0,6.326186,1.962466,-11.650909,16.61375,19.824156,-4.331649,-176.814968,1.230749,60.624225,0.159616,3.21272,272,27.271451,0,478325,0
vehicle_body_axis_reference_sar000317,vehicle_body_axis_reference,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,796.4825,941.214,498381,44.79829,0.985253,0.095371,0.095371,82.105053,0.836256,2.626405,3.258666,3.861681,1.513754,0,0,5.187352,1.804765,-0.041805,0.009448,0.035586,0.023886,177.704814,3.133865,49.738371,0.194299,2.817792,162,16.179775,256671.997888,241709.002112,1.061905
matched_ordinary_background_sar000317,matched_ordinary_background,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1473,918,484399,44.132561,0.970611,0.054756,0.054756,0,0.866919,3.456304,3.794449,4.394598,1.892597,0,0,5.773621,2.407635,-13.202708,15.413442,20.27051,-0.996036,178.84774,1.990939,51.138484,0.159717,2.402226,226,22.878199,0,484399,0
matched_strong_scatterer_background_sar000317,matched_strong_scatterer_background,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,997,816,551068,50.206635,1.104199,0.275055,0.275055,0,0.846138,2.993427,3.398885,3.972749,1.633741,0,0,4.914247,2.150879,-1.277291,6.952572,5.929476,-3.848511,177.106098,3.732581,75.927409,0.175273,2.387552,350,35.430839,484164.996171,66903.003829,7.23682
matched_linear_structure_background_sar000317,matched_linear_structure_background,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1473,816,516891,47.092838,1.035717,0.161079,0.161079,0,0.843999,3.634275,3.105787,4.297005,1.486803,0,0,6.326777,1.716367,-10.937283,17.463275,20.203563,-4.050456,-174.622003,4.539318,63.583266,0.172427,3.926843,277,28.040978,0,516891,0
fixed_known_non_vehicle_N005_sar000317,fixed_known_non_vehicle_N005,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1196.566369,1166.397906,480758,43.214203,0.950414,0.03173,0.03173,0,0.86868,3.246964,3.343046,4.23306,1.879561,0,0,5.318662,2.435485,-13.065781,4.274734,12.082732,6.557099,-177.977943,1.183378,77.489088,0.176351,2.187478,281,28.064919,0,480758,0
fixed_strong_scatterer_sar000317,fixed_strong_scatterer,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1132.158395,1164.457828,482365,43.35865,0.95359,0.034157,0.034157,0,0.869362,3.455681,3.230747,4.31295,1.886861,0,0,5.549252,2.440324,-11.726895,2.906885,10.168959,6.52398,-175.040771,4.12055,77.551424,0.12486,2.284314,289,28.86392,0,482365,0
fixed_linear_structure_sar000317,fixed_linear_structure,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,44.300205,7.018155,OBSERVABLE_MEDIUM,36.989747,1461.700834,848.735721,520707,46.805122,1.029389,0.148404,0.148404,0,0.84539,3.365479,3.73358,4.501274,1.516224,0,0,6.013967,2.075869,-11.394664,16.573818,19.871492,-3.107026,-179.522685,0.361364,57.916508,0.148089,2.900377,282,28.164794,0,520707,0
