visual_id,sar_frame,diagnostic_png,review_requirement,review_status,reviewer_conclusion_cn,commit_policy
aspect_timeline,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\aspect_timeline.png,relative aspect timeline,generated_for_e0_r2_review,相对观测角随帧号变化，但诊断段是否可用必须受可观测性状态和校准角域约束。,do_not_commit_png_outputs
heading_observability_status,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\heading_observability_status.png,heading observability states,generated_for_e0_r2_review,航向可观测性被分成高、中和未解析，不能把曲线轨迹本身等同于切线不可观测。,do_not_commit_png_outputs
heading_ci_width,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\heading_ci_width.png,body-axis uncertainty width,generated_for_e0_r2_review,轴向置信区间宽度直接限制 aspect 证据，宽区间帧只能作为弱诊断或未解析处理。,do_not_commit_png_outputs
tangent_method_uncertainty,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\tangent_method_uncertainty.png,method consensus uncertainty,generated_for_e0_r2_review,四类切线方法的一致性用于约束航向代理，避免仅靠单一平滑器制造稳定方向。,do_not_commit_png_outputs
along_cross_residual,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\along_cross_residual.png,along/cross residual audit,generated_for_e0_r2_review,横轨迹残差用于区分局部曲线运动和局部切线估计失败，残差高的帧不能支撑强 aspect 结论。,do_not_commit_png_outputs
aspect_span_by_split,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\aspect_span_by_split.png,aspect span and uncertainty by split,generated_for_e0_r2_review,aspect 角域必须同时看跨度和不确定性；诊断段若落在校准外只能报告外推限制。,do_not_commit_png_outputs
vehicle_energy_vs_aspect,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\vehicle_energy_vs_aspect.png,vehicle energy versus aspect,generated_for_e0_r2_review,车辆局部背景归一化能量可随 aspect 呈趋势，但需要被 range/time 反事实拆解后才能称为机制证据。,do_not_commit_png_outputs
body_width_vs_aspect,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\body_width_vs_aspect.png,body-long/body-short width versus aspect,generated_for_e0_r2_review,车体轴向展宽随 aspect 的变化是多视角候选证据，但必须保持尺度支撑稳定。,do_not_commit_png_outputs
near_far_vs_aspect,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\near_far_vs_aspect.png,near/far response versus aspect,generated_for_e0_r2_review,近远侧能量比提供雷达向结构线索，但不单独等同于车头车尾语义。,do_not_commit_png_outputs
centroid_vs_aspect,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\centroid_vs_aspect.png,centroid offset versus aspect,generated_for_e0_r2_review,能量质心沿车体轴的漂移用于检查响应场是否随视角发生内部重分布。,do_not_commit_png_outputs
fragmentation_vs_aspect,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\fragmentation_vs_aspect.png,fragmentation versus aspect,generated_for_e0_r2_review,碎裂度变化可以解释散射支撑分裂或合并，但需要与背景 corridor 对照。,do_not_commit_png_outputs
descriptor_trajectory,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\descriptor_trajectory.png,vehicle descriptor trajectory,generated_for_e0_r2_review,描述符随时间变化并不自动等于 aspect 规律，E0-R2 会单独审计时间顺序混杂。,do_not_commit_png_outputs
same_aspect_pair_candidates,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\same_aspect_pair_candidates.png,same-aspect repeatability pair design,generated_for_e0_r2_review,同 aspect 重复性只比较满足距离和时间间隔约束的帧对，不用总体趋势替代成对证据。,do_not_commit_png_outputs
range_confounding_proxy,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\range_confounding_proxy.png,range confounding visual audit,generated_for_e0_r2_review,若 aspect 与绝对距离强耦合，响应趋势不能直接解释为视角机制。,do_not_commit_png_outputs
time_confounding_proxy,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\time_confounding_proxy.png,time-order confounding visual audit,generated_for_e0_r2_review,如果 aspect 基本随时间单调漂移，时间顺序本身就是必须剔除的混杂解释。,do_not_commit_png_outputs
aspect_shuffle_control,,outputs\wgv3_6b_e0_r2_gm017_multi_aspect_20260712\visual_review\aspect_shuffle_control.png,aspect-shuffle control,generated_for_e0_r2_review,打乱 aspect 顺序的对照用于判断真实 aspect-response 对应是否强于随机时间配对。,do_not_commit_png_outputs
