subject_frame_id,subject_name,sar_frame,split,posthoc_evaluation_label,single_feature_energy_confusion,metric_shape_confusion,observable_structure_evaluable,observable_structure_confusion,temporal_physical_evaluable,temporal_physical_confusion,full_physical_confusion,vehicle_local_background_normalized_energy,subject_local_background_normalized_energy,vehicle_higher_on_local_background_normalized_energy,not_evaluable_gate_count,not_evaluable_gates
vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,315,calibration,vehicle,false,false,true,false,true,false,false,0.971196,0.971196,false,0,
matched_ordinary_background_sar000315,matched_ordinary_background,315,calibration,negative,true,true,true,true,false,false,false,0.971196,0.962975,true,2,G9_TEMPORAL_PATTERN_CONSISTENT;G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED
matched_strong_scatterer_background_sar000315,matched_strong_scatterer_background,315,calibration,negative,true,true,true,true,false,false,false,0.971196,1.096248,false,2,G9_TEMPORAL_PATTERN_CONSISTENT;G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED
matched_linear_structure_background_sar000315,matched_linear_structure_background,315,calibration,negative,true,true,true,true,false,false,false,0.971196,1.040095,false,2,G9_TEMPORAL_PATTERN_CONSISTENT;G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED
fixed_known_non_vehicle_N005_sar000315,fixed_known_non_vehicle_N005,315,calibration,negative,true,true,true,false,true,false,false,0.971196,0.946845,true,0,
fixed_strong_scatterer_sar000315,fixed_strong_scatterer,315,calibration,negative,true,true,true,false,true,false,false,0.971196,0.946654,true,0,
fixed_linear_structure_sar000315,fixed_linear_structure,315,calibration,negative,true,true,true,true,true,false,false,0.971196,1.037025,false,0,
vehicle_body_axis_reference_sar000317,vehicle_body_axis_reference,317,calibration,vehicle,false,false,true,false,true,false,false,0.985253,0.985253,false,0,
matched_ordinary_background_sar000317,matched_ordinary_background,317,calibration,negative,true,true,true,false,false,false,false,0.985253,0.970611,true,2,G9_TEMPORAL_PATTERN_CONSISTENT;G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED
matched_strong_scatterer_background_sar000317,matched_strong_scatterer_background,317,calibration,negative,true,true,true,true,false,false,false,0.985253,1.104199,false,2,G9_TEMPORAL_PATTERN_CONSISTENT;G10_BACKGROUND_FIXEDNESS_EXPLANATION_REJECTED
