experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,sar_frame,component_ids,assembly_id,component_count,assembly_centroid,assembly_envelope,assembly_azimuth,assembly_radial,azimuth_span,radial_span,max_pair_distance_px,max_diameter_px,internal_max_gap_px,compact_pass,rejection_reason,search_window,budget_width,budget_height,source_anchor_area,prediction_area_ratio,persistent_hypothesis_id,association_event
ADJ_0204_TO_0205,adjacent_hidden_anchor,source,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,27,src27_c001,src_27_assembly,1,"1116.400,1183.775","1038.000,1155.000,1169.000,1235.000",-14.148002,153.736496,0,0,0,153.495928,0,true,source_anchor_initialized,"958.572,1155.739,1168.849,1251.839",278,147.73,13142.1717,0.797433,ADJ_0204_TO_0205_h001,source_anchor
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,C1C_ADJ_0204_TO_0205_28_c002,C1C_ADJ_0204_TO_0205_28_a001,1,"1124.791,1160.472","1033.000,1109.000,1201.000,1205.000",-9.899875,175.807068,0,0,0,193.494186,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,1.227194,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,C1C_ADJ_0204_TO_0205_28_c003,C1C_ADJ_0204_TO_0205_28_a002,1,"1015.105,1134.105","1009.000,1125.000,1025.000,1141.000",-35.255325,240.643845,0,0,0,22.627417,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.019479,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,C1C_ADJ_0204_TO_0205_28_c004,C1C_ADJ_0204_TO_0205_28_a003,1,"1246.845,1147.127","1233.000,1133.000,1256.000,1157.000",26.834017,205.672302,0,0,0,33.24154,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.042002,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,C1C_ADJ_0204_TO_0205_28_c005,C1C_ADJ_0204_TO_0205_28_a004,1,"1221.960,1197.840","1217.000,1181.000,1233.000,1213.000",27.203241,149.276764,0,0,0,35.777088,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.038959,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,28,C1C_ADJ_0204_TO_0205_28_c006,C1C_ADJ_0204_TO_0205_28_a005,1,"1128.524,1222.026","1097.000,1205.000,1153.000,1237.000",-13.104463,111.844467,0,0,0,64.498062,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.136355,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,C1C_ADJ_0204_TO_0205_29_c002,C1C_ADJ_0204_TO_0205_29_a001,1,"1124.799,1161.821","1041.000,1109.000,1201.000,1197.000",-9.97562,174.472702,0,0,0,182.603395,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,1.07136,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,C1C_ADJ_0204_TO_0205_29_c006;C1C_ADJ_0204_TO_0205_29_c007,C1C_ADJ_0204_TO_0205_29_a002,2,"1239.292,1162.689","1217.000,1141.000,1256.000,1213.000",26.966295,188.391122,0.326698,54.353134,54.421536,81.884064,24,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.213663,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,29,C1C_ADJ_0204_TO_0205_29_c008,C1C_ADJ_0204_TO_0205_29_a003,1,"1131.527,1222.464","1097.000,1205.000,1161.000,1245.000",-11.623866,110.892151,0,0,0,75.471849,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.194793,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,C1C_ADJ_0204_TO_0205_30_c001;C1C_ADJ_0204_TO_0205_30_c002,C1C_ADJ_0204_TO_0205_30_a001,2,"1124.603,1159.650","1041.000,1109.000,1209.000,1205.000",-9.894666,176.5816,5.587193,29.268982,37.499591,193.494186,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,1.227194,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,C1C_ADJ_0204_TO_0205_30_c006;C1C_ADJ_0204_TO_0205_30_c007,C1C_ADJ_0204_TO_0205_30_a002,2,"1240.042,1166.260","1217.000,1141.000,1256.000,1213.000",27.727418,185.574017,0.909273,54.202515,54.36373,81.884064,32,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.213663,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,C1C_ADJ_0204_TO_0205_30_c008,C1C_ADJ_0204_TO_0205_30_a003,1,"1134.464,1223.388","1097.000,1205.000,1161.000,1245.000",-10.244657,109.473244,0,0,0,75.471849,0,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.194793,ADJ_0204_TO_0205_C1C_h001,compact_group
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,30,C1C_ADJ_0204_TO_0205_30_c010;C1C_ADJ_0204_TO_0205_30_c011,C1C_ADJ_0204_TO_0205_30_a004,2,"1058.038,1228.887","1041.000,1221.000,1081.000,1237.000",-43.084581,140.214468,8.147793,17.240814,26.293414,43.081318,16,true,compact_pass,"977.400,1109.910,1255.400,1257.640",278,147.73,13142.1717,0.048698,ADJ_0204_TO_0205_C1C_h001,compact_group
