loop_stage,input_evidence,message_or_update,allowed_use,forbidden_use,expected_failure_mode,notes
optical_hypothesis,"optical frames; thread status; state tags","send time tube, optical thread strength, target state tags, and boundary or competition tags","narrow SAR review space and preserve optical uncertainty","SAR identity truth; final box; annotation permission; one-to-one mapping claim","optical hypothesis too broad, too narrow, or competitor-contaminated","Start with one GM_RM011 window only."
geometry_time_feasible_field,"time metadata; runtime-safe geometry if available; optical state","convert optical hypothesis into feasible review field","review constraint and mechanism hypothesis field","selected SAR box; GT-derived location; runtime prediction","missing azimuth source or imprecise temporal alignment","Feasible field is not final localization."
sar_morphology_response,"opened SAR evidence stage or posthoc-readable SAR morphology","report vehicle-scale structure, ridge, endpoint hotspot, weak opposite side, shell contour, or insufficient evidence","mechanism vocabulary and posthoc explanation","final annotation; selected component; bright point equals vehicle","isolated bright point or tiny component mistaken for vehicle","Vehicle-scale composition is required."
sar_temporal_feedback,"adjacent SAR frames if available","report non-jump drift, gradual drift, jump-like contradiction, or missing drift","temporal compatibility check","identity truth from drift alone","no traceable drift chain or frame mismatch","Drift can support mechanism, not identity."
negative_contrast_feedback,"nearby non-target, outside-GT, background, road edge, static reflector, guardrail, or competitor region","test whether non-target region fails the same mechanism","reject background and close negative logic","GT overlap alone as proof; background ignored","no available contrast region or contrast also looks vehicle-like","Absence of contrast keeps the state weak or missing-factor-exposed."
mechanism_factor_update,"optical message; SAR response; temporal feedback; negative contrast","assign conservative interaction state","record support, contradiction, boundary preservation, background risk, or missing factor","score aggregation; ranking; annotation permission","multiple states coexist and no single closure is justified","Contradiction is an output, not an error."
feedback_to_optical,"mechanism update and failure mode","revise optical hypothesis scope, uncertainty, boundary status, or missing-factor request","repair planning and next evidence request","posthoc evidence copied into runtime prior","feedback asks for forbidden GT-derived runtime construction","Feedback must preserve evidence permission."
gt_posthoc_positive_fit,"proposed mechanism and SAR GT-local reference","validate whether mechanism fits GT-local vehicle-scale structure","posthoc validation or falsification","factor definition; threshold definition; candidate selection","GT-local fit is only a bright point or GT quality is questionable","GT is not read until after mechanism proposal."
gt_posthoc_negative_contrast,"proposed mechanism and nearby non-target or outside-GT examples","validate that non-target regions do not satisfy the same mechanism","negative contrast check and leakage control","GT-only proof; weak-thread upgrade from overlap","negative examples unavailable or not discriminative","Positive GT-local fit without contrast is insufficient."
convergence_or_contradiction,"all prior loop outputs","record final loop state for the window","least-contradictory physically interpretable explanation","final box; SAR-ready annotation; runtime prediction; identity truth","mechanism remains weak, contradicted, boundary-blocked, or insufficient","Useful outcomes include missing_factor_exposed and boundary_preserved."
