region_id,sar_frame,family,variant,is_vehicle_reference,mean_energy_ratio_to_body_ref,occupancy_ratio_to_body_ref,G1_VALID_OBSERVATION,G2_METRIC_SIZE_COMPATIBLE,G3_NOT_POINTLIKE,G4_NOT_LONG_LINEAR,G5_COMPACT_EXTENDED_SUPPORT,G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,G7_GT_NEAR_TRANSLATION_STRUCTURE,G8_BODY_OR_RANGE_AXIS_STRUCTURE_COMPATIBLE,G9_TEMPORAL_PATTERN_CONSISTENT,G10_STATIC_BACKGROUND_EXPLANATION_REJECTED,principal_gate_pass_count,physical_confusion_case,single_feature_energy_confusion_only
E0_R1_REG_000315_0001,315,GT_ORIGINAL,axis_aligned_gt_original,true,1.005178,1.090084,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000315_0002,315,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000315_0040,315,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.991534,0.767659,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000315_0041,315,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.12876,3.53435,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000315_0042,315,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.070942,2.262134,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000315_0043,315,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.974926,0.379041,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000315_0044,315,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.067781,2.166585,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000315_0045,315,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.97473,0.345652,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000317_0001,317,GT_ORIGINAL,axis_aligned_gt_original,true,0.999696,0.991339,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000317_0002,317,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
