runtime_entity_id,structure_id,sar_frame,runtime_class,G_scale,G_compact,G_grammar,G_temporal,G_background,optical_condition_compatibility,temporal_evidence,classification_reason_cn,classification_provenance
R1Y0001,R1S0001,27,unresolved_runtime,true,false,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0002,R1S0002,28,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002,候选角色 body_core_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0003,R1S0003,29,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002,候选角色 body_core_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0004,R1S0004,30,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002;R1PT003,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0005,R1S0005,31,unresolved_runtime,true,false,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002;R1PT003,"候选角色 endpoint_hotspot_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=True, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0006,R1S0006,32,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT002;R1PT003,"候选角色 unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0007,R1S0007,34,unresolved_runtime,true,false,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=True, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0008,R1S0008,39,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT006;R1PT007;R1PT008,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0009,R1S0009,39,background_like_runtime,true,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0010,R1S0010,39,background_like_runtime,false,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT005,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
