optical_thread_or_edge_id,wgv14b_class,wgv15a_consumption_status,scene,optical_frame_start,optical_frame_end,sar_prior_evidence_ids,sar_evidence_summary,sar_support_level,sar_contradiction_or_risk,mapping_status,alignment_decision,allowed_next_use,blocked_reason,notes
GM_RM011_WGV14T001,optical_identity_constraint,pre_sar_only,GM_RM011,0,25,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14T002,optical_search_hint_only,pre_sar_only,GM_RM011,31,35,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14T003,optical_search_hint_only,pre_sar_only,GM_RM011,135,137,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14T004,optical_identity_constraint,pre_sar_only,GM_RM011,151,166,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14T005,optical_search_hint_only,pre_sar_only,GM_RM011,231,288,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV14T006,optical_search_hint_only,pre_sar_only,GM_RM011,289,292,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM017_WGV14T001,optical_search_hint_only,pre_sar_only,GM_RM017,118,157,WGV15C_SARPRI_0020;WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=66; status_mix=associated_posthoc_weak=30;sar_structure_present_but_optical_ambiguous=18;rejected_for_temporal_instability=10;review_required=6;dropout_existence_support_only=2; temporal_mix=stable_cluster_tube=49;jumping_peak=10;diffuse_or_unstable_cluster_tube=7,posthoc_mixed_with_risk,risk_status_rows=34; associated_status_rows=30; scatter_mix=range_spread_cluster=22;azimuth_spread_cluster=18;diffuse_clutter=10;multi_peak_nearby_cluster=10;weak_no_structure=6,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14T002,optical_search_hint_only,pre_sar_only,GM_RM017,149,214,WGV15C_SARPRI_0020;WGV15C_SARPRI_0021;WGV15C_SARPRI_0022;WGV15C_SARPRI_0023;WGV15C_SARPRI_0024;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=896; status_mix=associated_posthoc_weak=528;rejected_for_temporal_instability=145;sar_structure_present_but_optical_ambiguous=130;review_required=70;dropout_existence_support_only=12; temporal_mix=stable_cluster_tube=691;diffuse_or_unstable_cluster_tube=138;jumping_peak=65;insufficient_temporal_samples=2,posthoc_mixed_with_risk,risk_status_rows=350; associated_status_rows=534; scatter_mix=azimuth_spread_cluster=555;diffuse_clutter=184;range_spread_cluster=65;multi_peak_nearby_cluster=59;weak_no_structure=26,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV14T003,optical_search_hint_only,pre_sar_only,GM_RM017,158,185,WGV15C_SARPRI_0020;WGV15C_SARPRI_0021;WGV15C_SARPRI_0022;WGV15C_SARPRI_0023;WGV15C_SARPRI_0024;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=737; status_mix=associated_posthoc_weak=422;rejected_for_temporal_instability=117;sar_structure_present_but_optical_ambiguous=115;review_required=65;dropout_existence_support_only=8; temporal_mix=stable_cluster_tube=569;diffuse_or_unstable_cluster_tube=112;jumping_peak=56,posthoc_mixed_with_risk,risk_status_rows=301; associated_status_rows=428; scatter_mix=azimuth_spread_cluster=458;diffuse_clutter=165;multi_peak_nearby_cluster=49;range_spread_cluster=42;weak_no_structure=17,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM011_WGV12M001,optical_identity_constraint,pre_sar_only,GM_RM011,4,8,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
