target_family_id,scene_id,wgv1_3_thread_id,thread_status,source_fragment_id,frame_start,frame_end,frame_count,class_sequence,x_bin_sequence,candidate_node_ids,source_detection_ids,identity_safe_split_status,included_same_vehicle_edge_ids,primary_box_selection_issue_edge_ids,split_boundary_edge_ids,blocked_edge_ids,review_required,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV12TF001,GM_RM011,GM_RM011_WGV13T001,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F001,0,4,5,car car car car car,left left left left mid,GM_RM011_Y26N001,GM_RM011_000000_001;GM_RM011_000001_001;GM_RM011_000002_001;GM_RM011_000003_001;GM_RM011_000004_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M001,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF002,GM_RM011,GM_RM011_WGV13T001,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F002,8,9,2,car car,mid mid,GM_RM011_Y26N002,GM_RM011_000008_001;GM_RM011_000009_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M001,,GM_RM011_WGV12M002,GM_RM011_WGV12M002,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF003,GM_RM011,GM_RM011_WGV13T002,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM011_WG11F002,10,10,1,car,mid,GM_RM011_Y26N002,GM_RM011_000010_001,in_same_vehicle_thread_candidate_primary_box_review,GM_RM011_WGV12M003,GM_RM011_WGV12M003,GM_RM011_WGV12M002,GM_RM011_WGV12M002,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF004,GM_RM011,GM_RM011_WGV13T002,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM011_WG11F003,13,16,4,car car car car,mid mid mid mid,GM_RM011_Y26N003,GM_RM011_000013_001;GM_RM011_000014_001;GM_RM011_000015_001;GM_RM011_000016_001,in_same_vehicle_thread_candidate_primary_box_review,GM_RM011_WGV12M003;GM_RM011_WGV12M004,GM_RM011_WGV12M003,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF005,GM_RM011,GM_RM011_WGV13T002,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM011_WG11F004,18,25,8,car car car car car car car car,mid mid mid right right right right right,GM_RM011_Y26N004,GM_RM011_000018_001;GM_RM011_000019_001;GM_RM011_000020_001;GM_RM011_000021_001;GM_RM011_000022_001;GM_RM011_000023_001;GM_RM011_000024_002;GM_RM011_000025_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M004,,GM_RM011_WGV12M005,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF006,GM_RM011,GM_RM011_WGV13T003,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F006,31,35,5,car car car car car,left left left left left,GM_RM011_Y26N004,GM_RM011_000031_001;GM_RM011_000032_001;GM_RM011_000033_001;GM_RM011_000034_001;GM_RM011_000035_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M005,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF007,GM_RM011,GM_RM011_WGV13T004,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F007,135,137,3,car car car,left left left,GM_RM011_Y26N005,GM_RM011_000135_001;GM_RM011_000136_001;GM_RM011_000137_001,standalone_no_adjacent_merge_candidate,,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF008,GM_RM011,GM_RM011_WGV13T005,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F009,151,161,11,car car car car car car car car car car car,right right right right right right right right right right right,GM_RM011_Y26N005,GM_RM011_000151_001;GM_RM011_000152_001;GM_RM011_000153_001;GM_RM011_000154_001;GM_RM011_000155_001;GM_RM011_000156_001;GM_RM011_000157_001;GM_RM011_000158_001;GM_RM011_000159_001;GM_RM011_000160_001;GM_RM011_000161_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M006,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF009,GM_RM011,GM_RM011_WGV13T005,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F010,164,166,3,car car car,right right right,GM_RM011_Y26N006,GM_RM011_000164_001;GM_RM011_000165_001;GM_RM011_000166_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M006,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF010,GM_RM011,GM_RM011_WGV13T006,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F011,231,232,2,car car,mid mid,GM_RM011_Y26N007,GM_RM011_000231_001;GM_RM011_000232_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M007,GM_RM011_WGV12M007,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
