physical_vehicle_id,optical_frame,bbox,depth,source_detector,source_track,whole_body_confidence,identity_confidence,paired_with_sar,usable_as_optical_recovery_anchor,blocked_reason
PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,"123.223,342.616,705.465,598.302",3.706624,yolo26l_probe,bt_0001,0.66,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,1,"172.014,347.161,744.78,598.597",3.305559,yolo26l_probe,bt_0001,0.66,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,"220.345,356.585,772.313,598.682",3.012011,yolo26l_probe,bt_0001,0.66,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,3,"257.156,365.314,788.479,598.221",2.954661,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,"295.429,374.187,804.489,597.669",2.936257,yolo26l_probe,bt_0001,0.5,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,5,"328.249,385.319,809.084,596.822",2.762612,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,6,"352.329,386.261,826.59,596.532",2.803997,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,7,"368.297,380.83,847.785,596.569",3.075158,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,8,"380.091,369.42,873.772,596.832",3.303311,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,9,"388.948,346.413,900.708,589.829",3.532236,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,10,"397.373,322.76,924.938,583.832",3.549167,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_BLACK_SEDAN_NEAR_FIELD,11,"427.737,329.573,933.272,591.162",3.611128,yolo26l_probe,bt_0001,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,5,"10.559,336.835,78.186,516.065",3.864227,yolo26l_probe,bt_0003,0.53,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,6,"22.344,333.28,96.164,526.226",3.678304,yolo26l_probe,bt_0003,0.53,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,7,"33.651,326.493,115.219,534.278",3.755644,yolo26l_probe,bt_0003,0.85,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,8,"44.12,316.744,134.471,538.081",3.850926,yolo26l_probe,bt_0003,0.97,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,9,"50.079,297.836,156.542,547.698",3.747705,yolo26l_probe,bt_0003,0.97,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,10,"53.942,280.806,176.923,556.321",3.57887,yolo26l_probe,bt_0003,0.97,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,11,"60.264,279.049,201.092,577.992",3.218207,yolo26l_probe,bt_0003,0.97,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,12,"73.628,293.432,225.943,593.091",3.120336,yolo26l_probe,bt_0003,0.7,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,13,"90.881,308.063,253.913,598.662",2.572526,yolo26l_probe,bt_0003,0.48,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,14,"108.587,326.366,281.792,600.265",3.124986,yolo26l_probe,bt_0003,0.4,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,15,"128.513,345.559,314.05,600.553",2.834156,yolo26l_probe,bt_0003,0.4,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,16,"137.421,353.602,341.811,600.173",2.928103,yolo26l_probe,bt_0003,0.4,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,17,"132.892,346.853,365.154,599.747",2.968832,yolo26l_probe,bt_0003,0.48,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,18,"119.298,329.197,387.792,600.426",3.700045,yolo26l_probe,bt_0003,0.48,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,19,"103.277,301.538,406.891,591.31",3.312974,yolo26l_probe,bt_0003,0.7,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,20,"94.97,264.644,433.641,572.998",3.608809,yolo26l_probe,bt_0003,1,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,21,"80.499,254.048,438.322,567.264",3.556474,yolo26l_probe,bt_0003,1,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,22,"85.771,262.307,458.602,573.757",3.394538,yolo26l_probe,bt_0003,1,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,23,"106.661,288.441,488.699,588.375",3.182813,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,24,"144.856,309.497,532.104,595.183",3.015966,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,25,"222.909,319.54,620.477,596.837",2.883309,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,26,"282.33,314.008,700.031,595.605",2.943892,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,27,"294.161,303.645,737.316,594.985",3.042115,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,29,"295.131,291.24,767.825,596.831",2.992193,yolo26l_probe,bt_0003,0.88,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,30,"305.648,291.791,781.939,596.738",3.13056,yolo26l_probe,bt_0003,0.72,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,31,"324.791,297.998,793.772,596.858",2.88976,yolo26l_probe,bt_0003,0.72,0.9,false,true,
PV_GM19_WHITE_SUV_NEAR_FIELD,32,"345.967,302.289,806.166,596.263",2.812812,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,33,"372.324,308.414,819.095,596.343",2.586087,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,34,"398.404,310.728,833.978,596.228",2.89278,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,35,"426.806,315.176,845.795,596.251",2.788317,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,36,"460.047,324.701,853.535,596.181",2.936492,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,37,"493.164,334.888,859.158,595.873",2.757989,yolo26l_probe,bt_0003,0.5,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,38,"530.892,352.022,860.397,595.752",2.962219,yolo26l_probe,bt_0003,0.5,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,39,"568.47,370.313,860.322,595.285",2.99889,yolo26l_probe,bt_0003,0.32,0.9,true,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,40,"606.872,388.459,858.92,591.994",3.059838,yolo26l_probe,bt_0003,0.2,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_WHITE_SUV_NEAR_FIELD,41,"644.866,400.589,858.271,582.618",3.313142,yolo26l_probe,bt_0003,0.12,0.9,false,false,not_direct_or_identity_not_safe
PV_GM19_RIGHT_DARK_FRAGMENT,12,"603.083,416.935,800.12,594.822",3.179826,yolo26l_probe,bt_0004,0.15,0.55,false,false,not_direct_or_identity_not_safe
PV_GM19_RIGHT_DARK_FRAGMENT,13,"642.817,434.437,813.995,589.636",2.820454,yolo26l_probe,bt_0004,0.15,0.55,true,false,not_direct_or_identity_not_safe
PV_GM19_RIGHT_DARK_FRAGMENT,14,"687.173,450.286,827.919,579.512",3.631908,yolo26l_probe,bt_0004,0.26,0.55,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,44,"393.503,316.452,406.178,342.892",23.508081,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,45,"397.478,314.641,410.215,341.022",23.095016,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,46,"403.921,315.68,416.751,341.921",24.793621,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,47,"410.655,319.407,423.864,345.817",22.480669,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,48,"417.517,323.568,431.08,349.944",24.658375,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_044_049,49,"423.461,326.081,437.515,352.34",22.369757,yolo26l_probe,bt_0016,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_060_080,60,"461.229,322.996,488.197,350.073",26.586592,yolo26l_probe,bt_0033,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_060_080,61,"465.638,322.689,492.884,349.976",28.287179,yolo26l_probe,bt_0033,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_060_080,62,"471.032,323.111,498.628,350.609",27.623859,yolo26l_probe,bt_0033,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_060_080,63,"476.377,324.304,503.873,351.395",28.347246,yolo26l_probe,bt_0033,0.5,0.65,false,false,not_direct_or_identity_not_safe
PV_GM19_UNPAIRED_SMALL_060_080,64,"480.963,325.042,508.527,351.842",29.679817,yolo26l_probe,bt_0033,0.5,0.65,false,false,not_direct_or_identity_not_safe
