pair_id,sar_frame,split,method,motion_heading_directed_deg,body_axis_proxy_deg,speed_px_per_sar_frame,fit_residual_px,support_frame_count,support_frames,posthoc_or_runtime,used_for_main_body_axis_proxy
WGV35A_PAIR_0003,315,calibration,raw_selected_gt_delta,,,0,0,1,,raw_measurement,false
WGV35A_PAIR_0003,315,calibration,symmetric_line_fit,4.415781,4.415781,6.034914,2.747752,5,315;317;319;321;323,posthoc_diagnostic,true
WGV35A_PAIR_0003,315,calibration,local_quadratic_fit,-1.760032,178.239968,5.695258,2.681441,5,315;317;319;321;323,posthoc_diagnostic,false
WGV35A_PAIR_0003,315,calibration,history_only_line_fit,4.415781,4.415781,6.034914,2.747752,5,315;317;319;321;323,history_only_sensitivity,false
WGV35A_PAIR_0003,315,calibration,robust_median_displacement_direction,0.952063,0.952063,5.499259,2.601226,5,315;317;319;321;323,raw_measurement,false
WGV35A_PAIR_0006,317,calibration,raw_selected_gt_delta,6.964621,6.964621,2.824592,0,2,,raw_measurement,false
WGV35A_PAIR_0006,317,calibration,symmetric_line_fit,0.838679,0.838679,6.318055,3.138462,6,315;317;319;321;323;325,posthoc_diagnostic,true
WGV35A_PAIR_0006,317,calibration,local_quadratic_fit,6.152299,6.152299,5.695728,2.814891,6,315;317;319;321;323;325,posthoc_diagnostic,false
WGV35A_PAIR_0006,317,calibration,history_only_line_fit,4.415781,4.415781,6.034914,2.747752,5,315;317;319;321;323,history_only_sensitivity,false
WGV35A_PAIR_0006,317,calibration,robust_median_displacement_direction,-1.388177,178.611823,6.594185,2.49475,6,315;317;319;321;323;325,raw_measurement,false
WGV35A_PAIR_0007,319,calibration,raw_selected_gt_delta,-5.986443,174.013557,8.706229,0,2,,raw_measurement,false
WGV35A_PAIR_0007,319,calibration,symmetric_line_fit,2.172565,2.172565,6.126931,3.158538,7,315;317;319;321;323;325;327,posthoc_diagnostic,true
