seal_key,seal_value,source_file,sha256,row_count
plan_stage_intensity_read,false,,,
plan_stage_s1_r1_measurement_outcomes_read,false,,,
plan_stage_gt_access_explicit,true,,,
calibration_status,PROJECT_CONFIRMED,,,
max_range_m,40,,,
radial_grid_spacing_m_per_px,0.03,,,
sar_fan_center,"1154,1330.6",,,
primary_exact_link_count,10,,,
pairing_review_only_count,6,,,
gt_instance_count,10,,,
physical_vehicle_count,2,,,
counterfactual_plan_rows,560,,,
plan_source_sha256,2063082bcc34c746b6c4536b73e8f006bbb439704cf3ca3912fd3a3520a512c0,tools/diagnostics/run_oty2_gm_rm019_gt_region_s2a_plan.py,2063082bcc34c746b6c4536b73e8f006bbb439704cf3ca3912fd3a3520a512c0,
input_hash_paired_annotations,opened,reports/oty2/samples/oty2_wgv3_5a_paired_annotations_20260710.csv,54c558f1308629f4be349dedf9618803b8b3d99eed845dffa370c47d7ec9203d,204
input_hash_response_unit_gt_matrix,opened,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_response_unit_gt_instance_matrix_20260711.csv,cdbe1efbc5e36a31c3341eba32da9fff182c8c7b670155f08a3cdbeda9e02873,63
input_hash_mask_observation_audit,opened,reports/oty2/samples/oty2_wgv3_5a_r2c_gm019_mask_observation_audit_20260711.csv,738c723f2ec03d53fdf67155ae8378ad204a61316eb5c9065cbcfe6a2110c22a,16
input_hash_gt_mask_visible_geometry,opened,reports/oty2/samples/oty2_gm_rm019_gt_mask_visible_geometry_20260712.csv,0b5ddb1a7f777f4542a57c01015af2b81daaaadfa644bf72655931c790387fe0,16
input_hash_local_response_units,opened,reports/oty2/samples/oty2_wgv3_6a_a1_8a_r2_1_r1_1_local_response_units_20260711.csv,83a62fb7ca01e91270c5c64ea63997b5676259ccfb5d22c3e8e789d37bdcaf64,250
input_hash_s1_r1_independent_geometry_map,opened,reports/oty2/samples/oty2_gm_rm019_s1_r1_independent_geometry_map_20260712.csv,2d3c876d3c708a1bb50234328935fcb4a38fddb1115e37803838c184ba2a4497,215
input_hash_s1_r1_report,opened,reports/oty2/oty2_gm_rm019_static_axis_rotation_s1_r1_20260712.md,9f829d91f94cbfe81038fbea2b929d8e903da37ae45fa3c5489527206619ce3b,0
input_hash_protocol,opened,docs/OTY2_GM019_GT_REGION_COUNTERFACTUAL_IDENTIFIABILITY_S2_A_PROTOCOL.md,fec41c5b888933d0b1b78e77a364e0fdf945bed42a2ab7a43b2bc3af2774f611,0
