step_id,window_id,stage,message_direction,input_evidence,message_content_cn,allowed_use_cn,forbidden_use_cn,feedback_or_update_cn,missing_factor_or_contradiction_cn,evidence_permission,source_paths,notes
WGV31_TRACE_001,GM_RM011_WGV14T004,optical_hypothesis,optical_to_loop,"WGV2.1 node N_GM011_T004_THREAD; WGV1.8 WGV18W003 optical frames 151-166","发送T004光学假设：151-166帧右边缘白车稳定但存在边缘接触和局部可见不足。","作为SAR复核的光学约束和机制假设入口。","不能当作SAR身份真值、final box、标注许可、候选框或ranking目标。","进入几何/时间可行域构造。","光学accepted不等于SAR映射闭合。",pre_sar_only,"reports/oty2/samples/oty2_wgv2_1_factor_graph_node_instances_20260709.csv; reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","T004保持primary，不替换为T001。"
WGV31_TRACE_002,GM_RM011_WGV14T004,optical_state,optical_to_loop,"WGV1.8 WGV18W003 tags: multi_vehicle_competition; occlusion; subject_transition; stable_visible_vehicle; edge_contact; partial_vehicle","发送状态标签：边缘接触、局部车体、遮挡/主体切换上下文、多车竞争。","解释为什么SAR复核需要保留不确定性和竞争风险。","不能把局部可见车辆直接提升为跨模态同一身份。","反馈给后续SAR响应：任何局部结构都必须防止竞争车误读。","competitor ambiguity remains active。",posthoc_mechanism_explanation_only,"reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","状态是机制解释输入，不是runtime localization。"
WGV31_TRACE_003,GM_RM011_WGV14T004,geometry_time_feasible_field,loop_to_sar,"WGV2.1 node N_GM011_T004_GEOM; WGV2.2 missing factor rows","提出时间/几何复核域：T004有复核时间邻域，但GM_RM011直接方位源和精确时间对齐缺失。","作为feasible review field和缺失因子记录。","不能选择SAR box、不能用GT中心定义扇区、不能输出runtime prediction。","SAR侧只能在未闭合几何下返回弱响应或不足证据。","missing_gm011_azimuth_source; missing_precise_temporal_alignment。",feasible_domain_only,"reports/oty2/samples/oty2_wgv2_1_factor_graph_node_instances_20260709.csv; reports/oty2/samples/oty2_wgv2_2_missing_factor_diagnosis_20260709.csv","可行域不是定位结果。"
WGV31_TRACE_004,GM_RM011_WGV14T004,sar_response,sar_to_loop,"WGV3.0 allowed SAR-response vocabulary; WGV2.3 candidate factor vocabulary; no opened T004 SAR-stage unit identified","SAR允许回复：vehicle-scale shell、corner hotspot、side ridge、background risk或insufficient evidence等词汇；当前T004只能返回insufficient evidence和后续SAR-stage请求。","提供SAR形态词汇的许可边界，或记录不足证据，供机制状态更新。","不能用GT参考构造SAR响应；不能把bright point当车；不能输出标注或身份。","当前没有opened-stage T004 SAR evidence，不能形成形态闭合。","no_opened_t004_sar_stage_unit; SAR response remains insufficient。",opened_sar_stage_or_vocabulary_only,"docs/OTY2_WGV3_INTERACTIVE_OPTICAL_SAR_MECHANISM_INFERENCE_DESIGN.md; reports/oty2/samples/oty2_wgv2_3_factor_candidate_evolution_ledger_20260709.csv","WGV1.8参考材料保留到GT posthoc验证阶段。"
WGV31_TRACE_005,GM_RM011_WGV14T004,sar_temporal_feedback,sar_to_loop,"WGV2.2 missing-factor audit; WGV1.8 temporal_continuity_or_drift not resolved","SAR时间反馈：没有可追踪的T004 SAR内部non-jump drift chain。","阻止把光学稳定误读为SAR连续性。","不能用光学稳定代替SAR drift；不能由drift单独声明identity truth。","反馈给光学假设：保持plausible但不能闭合。","missing_sar_temporal_drift_chain。",insufficient_sar_temporal_evidence,"reports/oty2/samples/oty2_wgv2_2_missing_factor_diagnosis_20260709.csv; reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","时间反馈是关键缺口。"
WGV31_TRACE_006,GM_RM011_WGV14T004,negative_contrast_feedback,sar_to_loop,"No committed non-GT T004 background/road-edge/static-reflector contrast unit identified","SAR负反馈：当前没有非GT背景/路沿/静态反射/竞争区域对照来排除非目标解释。","把negative contrast标记为缺失，而不是伪造对照。","不能用GT重叠当机制证明；不能忽略背景风险。","机制状态保留为weak/plausible或insufficient。","missing_non_target_negative_contrast。",non_gt_contrast_missing,"reports/oty2/samples/oty2_wgv2_3_gt_validation_boundary_rules_20260709.csv; reports/oty2/samples/oty2_wgv2_3_forbidden_shortcut_registry_20260709.csv","GT专属对照留到posthoc validation阶段。"
WGV31_TRACE_007,GM_RM011_WGV14T004,boundary_competition_feedback,sar_to_loop,"WGV2.1 node N_GM011_T004_BOUND; WGV1.8 WGV18W003 competition context","反馈：T004中段多车和主体切换风险仍然存在，不能把局部SAR结构解释为唯一目标。","保留竞争风险并要求后续competitor separation。","不能用一个SAR cue跨越竞争/边界风险。","机制状态加入identity_risk_blocked辅助状态。","missing_competitor_separation_evidence。",competitor_risk_context,"reports/oty2/samples/oty2_wgv2_1_factor_graph_node_instances_20260709.csv; reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","M005/M016作为guardrail。"
WGV31_TRACE_008,GM_RM011_M005,boundary_guardrail,auxiliary_to_loop,"WGV2.1 relation R_GM011_M005_BOUND and R_GM011_M005_BLOCK","M005辅助反馈：不同白车边界保持，任何同色/相似SAR支持不能放松边界。","作为T004竞争风险的边界保护参考。","不能桥接M005；不能生成identity truth。","T004 loop必须保留boundary_preserved guardrail。","missing_boundary_sar_evidence for boundary-specific proof。",boundary_protection,"reports/oty2/samples/oty2_wgv2_1_mechanism_relation_decisions_20260709.csv; reports/oty2/samples/oty2_wgv2_2_constraint_propagation_audit_20260709.csv","辅助窗口，不是primary。"
WGV31_TRACE_009,GM_RM011_M016,boundary_guardrail,auxiliary_to_loop,"WGV2.1 relation R_GM011_M016_BOUND and R_GM011_M016_BLOCK","M016辅助反馈：同色SUV竞争强，SAR边界证据不足时默认保持阻断。","作为后段边界/竞争风险防线。","不能跨M016合并车辆；不能把T004扩展成后段身份。","保持boundary_preserved和identity_risk_blocked。","missing_boundary_sar_evidence; missing_competitor_separation_evidence。",boundary_protection,"reports/oty2/samples/oty2_wgv2_1_mechanism_relation_decisions_20260709.csv; reports/oty2/samples/oty2_wgv2_2_missing_factor_diagnosis_20260709.csv","辅助窗口，不是primary。"
WGV31_TRACE_010,GM_RM011_WGV14T004,mechanism_update,loop_internal,"WGV2.2 propagated state mapping_unresolved_blocks_consumption","更新机制状态：从静态mapping unresolved转为interactive weak-but-plausible plus missing-factor-exposed。","记录解释和修复方向。","不能升级为mechanism closure、SAR-ready、annotation或identity。","输出WGV3.1状态转移表。","T004 has support vocabulary but lacks mapping/drift/negative contrast。",design_instance_only,"reports/oty2/samples/oty2_wgv2_2_constraint_propagation_audit_20260709.csv","互动循环的价值是反馈路径。"
