sar_frame,diagnostic_png,contact_sheet,review_reason,observed_response_change_cn,automatic_state_matches_image,wrong_association_found,downgrade_needed,reviewer_note_cn
361,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar361.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;max_state_correction_frame;state_type_change_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
362,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar362.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;max_state_correction_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
363,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar363.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
364,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar364.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;max_state_correction_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
365,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar365.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
366,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar366.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
367,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar367.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;max_state_correction_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
368,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar368.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
369,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar369.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
370,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar370.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,contact_sheet_full_sequence_review,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
371,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar371.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
372,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar372.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
