structure_id,sar_frame,member_atom_ids,role_candidate_combination,support_pixel_long_axis,support_pixel_short_axis,support_pixel_aspect_ratio,centroid_long_axis,centroid_short_axis,extent_degeneracy_fixed,support_pixel_count,support_bbox,convex_hull_area,occupancy_ratio,max_internal_blank,max_pair_distance,azimuth_span,radial_span,background_arc_conflict,part_relation_summary,unit_status
R1S0001,27,R1A0002;R1A0003;R1A0004;R1A0005,body_core_candidate;isolated_small_atom;unresolved_atom,128.793914,100.111307,1.286507,102.28756,79.766131,false,1603,"1033.000,1131.000,1184.000,1230.000",11667.5,0.13739,83.354664,105.077684,37.015783,89.247452,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0002,28,R1A0007;R1A0008;R1A0009,body_core_candidate;unresolved_atom,118.617288,110.025427,1.07809,89.917887,16.619436,false,1589,"1040.000,1131.000,1187.000,1233.000",9628.5,0.165031,54,89.964031,5.984667,89.295334,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0003,29,R1A0010;R1A0011;R1A0012,body_core_candidate;unresolved_atom,117.638979,113.087242,1.04025,90.696191,14.266509,false,1568,"1044.000,1131.000,1191.000,1240.000",10688.5,0.1467,54,90.725827,5.471891,89.715927,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0004,30,R1A0013;R1A0014;R1A0015;R1A0017,body_core_candidate;isolated_small_atom;unresolved_atom,123.908631,112.039951,1.105933,91.280834,62.280987,false,1375,"1047.000,1135.000,1193.000,1241.000",11377,0.120858,72.249567,92.507641,28.90419,89.250969,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0005,31,R1A0018;R1A0019;R1A0020,endpoint_hotspot_candidate;unresolved_atom,144.453489,114.922235,1.256967,103.485274,49.812008,false,1405,"1044.000,1135.000,1193.000,1241.000",12258,0.114619,83.57033,104.768024,35.445251,52.695099,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0006,32,R1A0022;R1A0023;R1A0025,unresolved_atom,131.424352,86.195488,1.524724,63.723675,38.659539,false,1253,"1075.000,1135.000,1191.000,1249.000",9476.5,0.132222,12,64.79141,16.855152,59.515427,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0007,34,R1A0029;R1A0030;R1A0033;R1A0034,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,144.695396,106.384034,1.360123,104.398969,59.38785,false,1204,"1037.000,1136.000,1193.000,1267.000",12354,0.097458,78,104.86248,37.990995,72.153297,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0008,39,R1A0038;R1A0039;R1A0040;R1A0041,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom,108.398862,78.66672,1.377951,88.849634,45.411891,false,1032,"1051.000,1169.000,1192.000,1276.000",9339.5,0.110498,30,88.949466,38.226473,47.061935,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0009,39,R1A0036,background_arc_candidate,35.09073,7.154184,4.904924,0,0,true,126,"1042.000,1135.000,1082.000,1154.000",226,0.557522,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0010,39,R1A0037,background_arc_candidate,25.403533,9.340987,2.719577,0,0,true,125,"1134.000,1135.000,1163.000,1147.000",206.5,0.605327,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0011,40,R1A0042;R1A0044;R1A0045;R1A0046,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;side_ridge_candidate,216.442951,83.08784,2.60499,128.113689,48.008622,false,1141,"994.000,1135.000,1193.000,1258.000",13861.5,0.082314,48,128.243909,32.914303,98.851387,false,core_to_side_candidate;core_to_endpoint_candidate;side_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0012,40,R1A0043,background_arc_candidate,27.48932,10.06184,2.732037,0,0,true,139,"1139.000,1135.000,1166.000,1148.000",202,0.688119,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0013,46,R1A0047;R1A0048;R1A0049,isolated_small_atom;side_ridge_candidate;unresolved_atom,180.556045,108.329301,1.666733,92.713775,10.164243,false,1371,"1031.000,1135.000,1193.000,1247.000",12137.5,0.112956,16.970563,92.727033,22.413718,65.610962,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0014,52,R1A0051;R1A0053;R1A0054,body_core_candidate;isolated_small_atom;unresolved_atom,110.717502,42.535746,2.602928,96.041413,3.161004,false,466,"1115.000,1135.000,1193.000,1238.000",3470,0.134294,66,96.045692,13.411607,89.210808,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0015,52,R1A0050,background_arc_candidate,132.762232,18.321777,7.246144,0,0,true,617,"1025.000,1135.000,1168.000,1160.000",2458,0.251017,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0016,52,R1A0052,background_arc_candidate,47.444052,13.103666,3.62067,0,0,true,197,"1137.000,1166.000,1193.000,1186.000",636,0.309748,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
