sample_id,scene,risk_type,source_stage,source_artifact,primary_layer,secondary_layers,evidence_summary,multibox_interpretation,safe_reconnect_status,notes
S01,GM_RM011,short_tracklet,OTY1,oty1_tracklet_0024,association_stream_construction,optical_state_evidence;multi_object_competition,"3 detections on frames 212-214; neighbor_ambiguity_count=3; boundary_contact_count=3; mean_area_change_abs=0.323; status=ambiguous_geometry_review",not_applicable,review_required,"Short fragment is not discardable, but boundary plus neighbor ambiguity blocks identity merge."
S02,GM_RM011,unmatched_detection,OTY1t,GM_RM011_000050_003,detection_postprocess,association_stream_construction;multi_object_competition;optical_state_evidence,"frame=50; bucket=duplicate_or_overlap_rejected; nearest tracker bt_0020; center_distance=3.44; iou=0.770; boundary=True; neighbor=True",likely_same_vehicle_duplicate_observation,global_multibox_diagnostic_candidate,"Same-frame/near-track duplicate evidence is strong, but class mismatch and tracker uncertainty prevent identity truth."
S03,GM_RM011,duplicate_overlap_track,OTY1t,bt_0046,association_stream_construction,multi_object_competition;optical_state_evidence,"frames 213-245; detections=18; duplicate_track_overlap_count=2; lost=2; reactivated=1; boundary_contact_count=5; neighbor_ambiguity_count=2",duplicate_or_neighbor_competition,review_required,"Could inform fragment relation graph, but duplicate overlap and lost/reactivated state block direct reconnect."
S04,GM_RM011,ambiguous_merge,OTY1a,oty1_tracklet_0003__oty1_tracklet_0007,association_stream_construction,multi_object_competition,"gap=2; endpoint_center_distance=54.21; bridge_iou_proxy=0.689; competing_merge_count_from=4; competing_merge_count_to=5; status=ambiguous_competing_merge",ambiguous_competing_fragments,fragment_graph_candidate,"Geometric bridge is plausible, but many competing edges prevent safe same-target closure."
S05,GM_RM011,review_required_object,P4G,oty1t_obj_GM_RM011_bytetrack_bt_0032,multi_object_competition,association_stream_construction;optical_state_evidence,"detections=4; lost=2; reactivated=1; possible_id_switch=1; partial_full=True; duplicate=True; boundary=True; multi_vehicle=True; review_required=True",ambiguous_object_hypothesis,review_required,"Object ID is useful as a diagnostic handle only; all major state-risk flags are active."
S06,GM_RM011,same_frame_multibox,OTY0,frame_47_pair_002_003,detection_postprocess,detector_ability;multi_object_competition,"frame=47 has 3 detections; pair classes=car|truck; iou=0.997; center_distance=0.2",likely_same_vehicle_duplicate_observation,global_multibox_diagnostic_candidate,"Very high overlap suggests duplicate observation, but class inconsistency must be handled before merging."
S07,GM_RM019,short_tracklet,OTY1,oty1_tracklet_0040,association_stream_construction,optical_state_evidence;multi_object_competition,"2 detections on frames 164-165; neighbor_ambiguity_count=2; boundary_contact_count=2; mean_area_change_abs=0.154; status=fragmented_short_track",not_applicable,review_required,"Old scene shows same short-fragment plus state-risk pattern."
S08,GM_RM019,unmatched_detection,OTY1t,GM_RM019_000001_003,detection_postprocess,association_stream_construction;multi_object_competition,"frame=1; bucket=duplicate_or_overlap_rejected; nearest tracker bt_0002; center_distance=24.72; iou=0.690; neighbor=True; related ambiguous edge count=1",likely_duplicate_or_close_competitor,global_multibox_diagnostic_candidate,"Overlap with existing tracker plus ambiguous OTY1a relation indicates postprocess and association are coupled."
S09,GM_RM019,duplicate_overlap_track,OTY1t,bt_0069,association_stream_construction,multi_object_competition,"frames 84-100; detections=17; neighbor_ambiguity_count=4; possible_id_switch=1; duplicate_track_overlap_count=2; status=duplicate_overlap_review",duplicate_or_neighbor_competition,review_required,"Old scene has duplicate-overlap tracker risk, not clean identity continuity."
S10,GM_RM019,ambiguous_merge,OTY1a,oty1_tracklet_0013__oty1_tracklet_0034,multi_object_competition,association_stream_construction;optical_state_evidence,"gap=5; endpoint_center_distance=60.05; bridge_iou_proxy=0.0; aspect_transition_review; from_neighbor_ambiguity_count=21; competing_merge_count_from=14; competing_merge_count_to=2",likely_neighbor_competition,blocked_continuity,"Many competitors and zero bridge IoU make this unsafe for same-target reconnect."
