component_edge_id,from_component_id,to_component_id,frame_gap,azimuth_shift,radial_shift_px,overlap_ratio,dilated_overlap_ratio,scale_ratio,contrast_change,relation_status,competition_ids,supporting_evidence,conflicting_evidence
WGV33D_EDGE_000001,WGV33D_MAIN_F0000_C000001,WGV33D_MAIN_F0001_C000031,1,1.1029,-4,0,1,0.636364,-0.308645,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000001,gap=1;dilated_overlap=1,
WGV33D_EDGE_000002,WGV33D_MAIN_F0000_C000001,WGV33D_MAIN_F0002_C000046,2,-1.0252,44,0,0,0.272727,4.005623,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000001;multi_predecessor:WGV33D_MAIN_F0002_C000046,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000003,WGV33D_MAIN_F0000_C000001,WGV33D_MAIN_F0002_C000047,2,3.4525,-4,0,1,0.363636,1.262784,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000001;multi_predecessor:WGV33D_MAIN_F0002_C000047,gap=2;dilated_overlap=1,
WGV33D_EDGE_000004,WGV33D_MAIN_F0000_C000003,WGV33D_MAIN_F0002_C000048,2,-1.4718,36,0,0,2.5,2.182421,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0002_C000048,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000005,WGV33D_MAIN_F0000_C000004,WGV33D_MAIN_F0002_C000048,2,-2.9718,12,0,0,1,2.989452,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0002_C000048,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000006,WGV33D_MAIN_F0000_C000005,WGV33D_MAIN_F0001_C000033,1,5.9353,-2.8374,0.357143,0.642857,0.7,-0.218778,strong_local_continuity,,gap=1;dilated_overlap=0.643,
WGV33D_EDGE_000007,WGV33D_MAIN_F0000_C000007,WGV33D_MAIN_F0001_C000032,1,4.502,0,0,0,0.666667,0.066406,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0001_C000032,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000008,WGV33D_MAIN_F0000_C000008,WGV33D_MAIN_F0001_C000032,1,-5.0122,8,0,0.5,0.333333,0.576172,ambiguous_local_continuity,multi_predecessor:WGV33D_MAIN_F0001_C000032,gap=1;dilated_overlap=0.5,
WGV33D_EDGE_000009,WGV33D_MAIN_F0000_C000009,WGV33D_MAIN_F0001_C000034,1,-1.9543,-43.4446,0,0,0.210526,0.004137,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000009;multi_predecessor:WGV33D_MAIN_F0001_C000034,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000010,WGV33D_MAIN_F0000_C000009,WGV33D_MAIN_F0002_C000049,2,-3.4207,7.1657,0.2,1,0.526316,0.256188,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000009;multi_predecessor:WGV33D_MAIN_F0002_C000049,gap=2;dilated_overlap=1,
WGV33D_EDGE_000011,WGV33D_MAIN_F0000_C000009,WGV33D_MAIN_F0002_C000050,2,-1.8062,-43.9937,0,0,0.947368,0.38581,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000009;multi_predecessor:WGV33D_MAIN_F0002_C000050,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000012,WGV33D_MAIN_F0000_C000010,WGV33D_MAIN_F0001_C000034,1,-4.9612,0.8545,0,0,0.666667,-0.489095,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000010;multi_predecessor:WGV33D_MAIN_F0001_C000034,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000013,WGV33D_MAIN_F0000_C000010,WGV33D_MAIN_F0002_C000050,2,-4.8131,0.3054,0,0.277778,3,-0.107422,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000010;multi_predecessor:WGV33D_MAIN_F0002_C000050,gap=2;dilated_overlap=0.278,
WGV33D_EDGE_000014,WGV33D_MAIN_F0000_C000011,WGV33D_MAIN_F0001_C000037,1,4.5116,44.3226,0,0,1.833333,0.549657,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000011;multi_predecessor:WGV33D_MAIN_F0001_C000037,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000015,WGV33D_MAIN_F0000_C000011,WGV33D_MAIN_F0002_C000052,2,5.6693,43.476,0,0,2.25,0.563947,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000011;multi_predecessor:WGV33D_MAIN_F0002_C000052,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000016,WGV33D_MAIN_F0000_C000011,WGV33D_MAIN_F0002_C000053,2,4.9267,1.0562,0.166667,0.615385,1.083333,0.372046,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000011;multi_predecessor:WGV33D_MAIN_F0002_C000053,gap=2;dilated_overlap=0.615,
WGV33D_EDGE_000017,WGV33D_MAIN_F0000_C000012,WGV33D_MAIN_F0001_C000037,1,2.3634,-0.5551,0.642857,0.772727,1.571429,-0.234895,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000012;multi_predecessor:WGV33D_MAIN_F0001_C000037,gap=1;dilated_overlap=0.773,
WGV33D_EDGE_000018,WGV33D_MAIN_F0000_C000012,WGV33D_MAIN_F0002_C000052,2,3.5211,-1.4017,0.571429,0.518519,1.928571,-0.220605,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000012;multi_predecessor:WGV33D_MAIN_F0002_C000052,gap=2;dilated_overlap=0.519,
WGV33D_EDGE_000019,WGV33D_MAIN_F0000_C000012,WGV33D_MAIN_F0002_C000053,2,2.7785,-43.8215,0,0,0.928571,-0.412506,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000012;multi_predecessor:WGV33D_MAIN_F0002_C000053,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000020,WGV33D_MAIN_F0000_C000013,WGV33D_MAIN_F0001_C000036,1,1.7533,-2.6968,0.5,0.267857,7.5,0.383561,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000013;multi_predecessor:WGV33D_MAIN_F0001_C000036,gap=1;dilated_overlap=0.268,
WGV33D_EDGE_000021,WGV33D_MAIN_F0000_C000013,WGV33D_MAIN_F0001_C000037,1,-2.5168,41.5074,0,0,2.75,0.758478,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000013;multi_predecessor:WGV33D_MAIN_F0001_C000037,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000022,WGV33D_MAIN_F0000_C000013,WGV33D_MAIN_F0002_C000052,2,-1.3591,40.6608,0,0,3.375,0.772768,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000013;multi_predecessor:WGV33D_MAIN_F0002_C000052,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000023,WGV33D_MAIN_F0000_C000013,WGV33D_MAIN_F0002_C000053,2,-2.1017,-1.759,0.5,0.846154,1.625,0.580867,weak_local_continuity,multi_successor:WGV33D_MAIN_F0000_C000013;multi_predecessor:WGV33D_MAIN_F0002_C000053,gap=2;dilated_overlap=0.846,
WGV33D_EDGE_000024,WGV33D_MAIN_F0000_C000014,WGV33D_MAIN_F0001_C000036,1,-3.0472,3.7186,0.571429,0.290909,8.571429,-1.141201,weak_local_continuity,multi_predecessor:WGV33D_MAIN_F0001_C000036,gap=1;dilated_overlap=0.291,
WGV33D_EDGE_000025,WGV33D_MAIN_F0000_C000015,WGV33D_MAIN_F0002_C000054,2,4.1898,-1.1682,0.5,0.461538,4.333333,-0.007111,weak_local_continuity,,gap=2;dilated_overlap=0.462,
WGV33D_EDGE_000026,WGV33D_MAIN_F0000_C000017,WGV33D_MAIN_F0001_C000038,1,2.4819,0.0247,0.857143,1,0.5,-1.016462,strong_local_continuity,,gap=1;dilated_overlap=1,
WGV33D_EDGE_000027,WGV33D_MAIN_F0001_C000031,WGV33D_MAIN_F0002_C000046,1,-2.1281,48,0,0,0.428571,4.314268,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000031;multi_predecessor:WGV33D_MAIN_F0002_C000046,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000028,WGV33D_MAIN_F0001_C000031,WGV33D_MAIN_F0002_C000047,1,2.3496,0,0.75,1,0.571429,1.571429,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000031;multi_predecessor:WGV33D_MAIN_F0002_C000047,gap=1;dilated_overlap=1,
WGV33D_EDGE_000029,WGV33D_MAIN_F0001_C000031,WGV33D_MAIN_F0003_C000067,2,0.0237,-39.3646,0,0,0.857143,-1.115746,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000031;multi_predecessor:WGV33D_MAIN_F0003_C000067,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000030,WGV33D_MAIN_F0001_C000032,WGV33D_MAIN_F0003_C000070,2,2.0096,-12,0,0,1,-0.417969,ambiguous_local_continuity,,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000031,WGV33D_MAIN_F0001_C000033,WGV33D_MAIN_F0002_C000049,1,4.334,50.1815,0,0,0.714286,0.084989,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000033;multi_predecessor:WGV33D_MAIN_F0002_C000049,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000032,WGV33D_MAIN_F0001_C000033,WGV33D_MAIN_F0002_C000050,1,5.9485,-0.9779,0.071429,0.388889,1.285714,0.214611,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000033;multi_predecessor:WGV33D_MAIN_F0002_C000050,gap=1;dilated_overlap=0.389,
WGV33D_EDGE_000033,WGV33D_MAIN_F0001_C000034,WGV33D_MAIN_F0002_C000049,1,-1.4664,50.6103,0,0,2.5,0.252051,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000034;multi_predecessor:WGV33D_MAIN_F0002_C000049,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000034,WGV33D_MAIN_F0001_C000034,WGV33D_MAIN_F0002_C000050,1,0.1481,-0.5491,1,0.888889,4.5,0.381673,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000034;multi_predecessor:WGV33D_MAIN_F0002_C000050,gap=1;dilated_overlap=0.889,
WGV33D_EDGE_000035,WGV33D_MAIN_F0001_C000034,WGV33D_MAIN_F0003_C000071,2,4.3309,0.0646,0.75,0.45,5,0.539063,weak_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000034;multi_predecessor:WGV33D_MAIN_F0003_C000071,gap=2;dilated_overlap=0.45,
WGV33D_EDGE_000036,WGV33D_MAIN_F0001_C000034,WGV33D_MAIN_F0003_C000072,2,0.8174,50.2596,0,0,2.75,-0.021529,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000034;multi_predecessor:WGV33D_MAIN_F0003_C000072,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000037,WGV33D_MAIN_F0001_C000035,WGV33D_MAIN_F0002_C000051,1,1.3047,-0.9927,0.666667,1,1.333333,0.228353,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000035,gap=1;dilated_overlap=1,
WGV33D_EDGE_000038,WGV33D_MAIN_F0001_C000035,WGV33D_MAIN_F0003_C000074,2,4.5735,40,0,0,0.666667,0.835286,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000035;multi_predecessor:WGV33D_MAIN_F0003_C000074,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000039,WGV33D_MAIN_F0001_C000036,WGV33D_MAIN_F0002_C000052,1,-3.1124,43.3576,0,0,0.45,0.389207,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000036;multi_predecessor:WGV33D_MAIN_F0002_C000052,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000040,WGV33D_MAIN_F0001_C000036,WGV33D_MAIN_F0002_C000053,1,-3.855,0.9378,0.769231,1,0.216667,0.197306,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000036;multi_predecessor:WGV33D_MAIN_F0002_C000053,gap=1;dilated_overlap=1,
WGV33D_EDGE_000041,WGV33D_MAIN_F0001_C000036,WGV33D_MAIN_F0003_C000076,2,-1.7714,0.8082,0.578947,1,0.316667,0.659999,weak_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000036;multi_predecessor:WGV33D_MAIN_F0003_C000076,gap=2;dilated_overlap=1,
WGV33D_EDGE_000042,WGV33D_MAIN_F0001_C000036,WGV33D_MAIN_F0003_C000078,2,2.7248,45.0578,0,0,0.383333,0.096037,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000036;multi_predecessor:WGV33D_MAIN_F0003_C000078,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000043,WGV33D_MAIN_F0001_C000037,WGV33D_MAIN_F0002_C000052,1,1.1577,-0.8466,0.727273,0.962963,1.227273,0.01429,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000037;multi_predecessor:WGV33D_MAIN_F0002_C000052,gap=1;dilated_overlap=0.963,
WGV33D_EDGE_000044,WGV33D_MAIN_F0001_C000037,WGV33D_MAIN_F0002_C000053,1,0.4151,-43.2664,0,0,0.590909,-0.177611,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000037;multi_predecessor:WGV33D_MAIN_F0002_C000053,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000045,WGV33D_MAIN_F0001_C000037,WGV33D_MAIN_F0003_C000073,2,-3.9355,-2.8343,0.333333,1,0.409091,-0.749744,weak_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000037;multi_predecessor:WGV33D_MAIN_F0003_C000073,gap=2;dilated_overlap=1,
WGV33D_EDGE_000046,WGV33D_MAIN_F0001_C000037,WGV33D_MAIN_F0003_C000076,2,2.4987,-43.396,0,0,0.863636,0.285082,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0001_C000037;multi_predecessor:WGV33D_MAIN_F0003_C000076,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000047,WGV33D_MAIN_F0001_C000038,WGV33D_MAIN_F0003_C000080,2,-1.902,-4.9556,0.285714,0.8,1.428571,0.662946,weak_local_continuity,,gap=2;dilated_overlap=0.8,
WGV33D_EDGE_000048,WGV33D_MAIN_F0002_C000047,WGV33D_MAIN_F0003_C000067,1,-2.3259,-39.3646,0,0,1.5,-2.687175,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000047;multi_predecessor:WGV33D_MAIN_F0003_C000067,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000049,WGV33D_MAIN_F0002_C000047,WGV33D_MAIN_F0004_C000098,2,-2.3195,-43.3921,0,0,1.5,-1.983399,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000047;multi_predecessor:WGV33D_MAIN_F0004_C000098,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000050,WGV33D_MAIN_F0002_C000047,WGV33D_MAIN_F0004_C000099,2,1.482,-64,0,0,0.75,0.026693,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000047;multi_predecessor:WGV33D_MAIN_F0004_C000099,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000051,WGV33D_MAIN_F0002_C000047,WGV33D_MAIN_F0004_C000100,2,5.8781,-4.6258,0,0,1.25,0.682422,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000047;multi_predecessor:WGV33D_MAIN_F0004_C000100,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000052,WGV33D_MAIN_F0002_C000048,WGV33D_MAIN_F0003_C000068,1,0.4537,-1.9723,0.6,1,1.2,-0.709765,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000048,gap=1;dilated_overlap=1,
WGV33D_EDGE_000053,WGV33D_MAIN_F0002_C000048,WGV33D_MAIN_F0004_C000099,2,-4.0825,-64,0,0,0.6,-0.341275,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000048;multi_predecessor:WGV33D_MAIN_F0004_C000099,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000054,WGV33D_MAIN_F0002_C000048,WGV33D_MAIN_F0004_C000100,2,0.3136,-4.6258,0,1,1,0.314454,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000048;multi_predecessor:WGV33D_MAIN_F0004_C000100,gap=2;dilated_overlap=1,
WGV33D_EDGE_000055,WGV33D_MAIN_F0002_C000049,WGV33D_MAIN_F0003_C000071,1,5.7973,-50.5457,0,0,2,0.287012,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000049;multi_predecessor:WGV33D_MAIN_F0003_C000071,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000056,WGV33D_MAIN_F0002_C000049,WGV33D_MAIN_F0003_C000072,1,2.2838,-0.3507,0.5,0.909091,1.1,-0.27358,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000049;multi_predecessor:WGV33D_MAIN_F0003_C000072,gap=1;dilated_overlap=0.909,
WGV33D_EDGE_000057,WGV33D_MAIN_F0002_C000049,WGV33D_MAIN_F0004_C000102,2,-3.7768,44.3786,0,0,0.3,0.270573,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000049;multi_predecessor:WGV33D_MAIN_F0004_C000102,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000058,WGV33D_MAIN_F0002_C000050,WGV33D_MAIN_F0003_C000071,1,4.1828,0.6137,0.388889,0.7,1.111111,0.15739,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000050;multi_predecessor:WGV33D_MAIN_F0003_C000071,gap=1;dilated_overlap=0.7,
