surface_region_id,subject_frame_id,subject_name,pair_id,sar_frame,split,posthoc_evaluation_label,gate_label_used_for_status,subject_motion_model,persistent_subject_status,axis_name,symmetric_core_axis,offset_m,offset_px,surface_center_x,surface_center_y,subject_zero_center_x,subject_zero_center_y,width_m_grid,height_m_grid,subject_principal_axis_deg,local_range_axis_deg,body_axis_proxy_deg,mean_energy,high_energy_pixel_fraction,response_compactness,response_linearity,principal_axis_deg,local_background_normalized_energy,frame_background_median_mean_energy,observation_status,surface_grid_source
E0_R1_R1_SURF_000315_veh_loc_001,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,-1,-33.333333,768.162542,916.131145,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,38.827827,0.020213,,,-170.913183,0.932884,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_002,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,-0.75,-25,773.840656,922.230608,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,38.906425,0.022649,,,-166.11843,0.934772,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_003,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,-0.45,-15,780.654394,929.549965,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,39.5802,0.044631,,,-160.124984,0.950961,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_004,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,0,0,790.875,940.529,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,40.422443,0.075385,,,-178.637283,0.971196,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_005,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,0.45,15,801.095606,951.508035,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,40.774029,0.086244,,,177.236359,0.979644,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_006,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,0.75,25,807.909344,958.827392,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,40.644176,0.08513,,,175.008768,0.976524,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_007,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_range,true,1,33.333333,813.587458,964.926855,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,40.610809,0.082927,,,174.902858,0.975722,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_008,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_azimuth,true,-1,-33.333333,815.272855,917.816542,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,38.910213,0.026169,,,-167.167071,0.934863,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_009,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_azimuth,true,-0.75,-25,809.173392,923.494656,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,39.166351,0.033901,,,-165.332577,0.941017,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
E0_R1_R1_SURF_000315_veh_loc_010,vehicle_body_axis_reference_sar000315,vehicle_body_axis_reference,WGV35A_PAIR_0003,315,calibration,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,local_azimuth,true,-0.45,-15,801.854035,930.308394,790.875,940.529,4.764934,2.077648,1.362717,47.048914,4.415781,39.636208,0.047636,,,-164.206844,0.952306,41.621286,fully_observed,frozen_e0_r1_r1_grid_-1_-0p75_-0p45_0_0p45_0p75_1m
