sar_frame,segment,admission_policy,prior_position_x,prior_position_y,predicted_position_x,predicted_position_y,observation_supported_position_x,observation_supported_position_y,posterior_position_x,posterior_position_y,position_correction_x,position_correction_y,position_correction_norm_px,prior_velocity_x,prior_velocity_y,posterior_velocity_x,posterior_velocity_y,eligible_track_ids,excluded_track_ids,exclusion_reasons,observation_supported_position,posterior_correction,current_response_association_count,eligible_track_count,no_observation_fallback,last_update_source,cap_triggered,frame_observation_complete,max_sar_frame_read,gt_file_opened,evaluation_file_opened,future_frame_read
361,burn_in,ALL_ASSOCIATED_TRACKS,1081.56,941.827,1090.597,939.8475,1092.021874,938.607971,1091.081457,939.42606,0.484457,-0.42144,0.642114,9.037,-1.9795,9.172648,-2.097503,RT_D1_R1_0001;RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0005;RT_D1_R1_0011,,,"1092.021874,938.607971",0.642114,5,5,false,current_sar_observation_admitted_response_tracks,false,true,361,false,false,false
361,burn_in,TEMPORALLY_SUPPORTED_ONLY,1081.56,941.827,1090.597,939.8475,1092.021874,938.607971,1091.024462,939.475641,0.427462,-0.371859,0.566571,9.037,-1.9795,9.156689,-2.08362,RT_D1_R1_0001;RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0005;RT_D1_R1_0011,,,"1092.021874,938.607971",0.566571,5,5,false,current_sar_observation_admitted_response_tracks,false,true,361,false,false,false
361,burn_in,STRUCTURE_CONSISTENT_ONLY,1081.56,941.827,1090.597,939.8475,,,1090.597,939.8475,0,0,0,9.037,-1.9795,9.037,-1.9795,,RT_D1_R1_0001;RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0005;RT_D1_R1_0011,RT_D1_R1_0001:state=same_motion_candidate+strict_gate_fail;RT_D1_R1_0003:state=same_motion_candidate+strict_gate_fail;RT_D1_R1_0004:state=same_motion_candidate+strict_gate_fail;RT_D1_R1_0005:state=same_motion_candidate+strict_gate_fail;RT_D1_R1_0011:state=same_motion_candidate+strict_gate_fail,,0,5,0,true,prediction_only_no_admissible_tracks,false,true,361,false,false,false
362,burn_in,ALL_ASSOCIATED_TRACKS,1091.081457,939.42606,1100.254105,937.328557,1095.938177,937.381493,1098.786689,937.346555,-1.467416,0.017998,1.467526,9.172648,-2.097503,8.761772,-2.092464,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0007;RT_D1_R1_0011;RT_D1_R1_0012,,,"1095.938177,937.381493",1.467526,5,5,false,current_sar_observation_admitted_response_tracks,false,true,362,false,false,false
362,burn_in,TEMPORALLY_SUPPORTED_ONLY,1091.024462,939.475641,1100.181152,937.392021,1096.748296,943.148218,1099.219952,939.003756,-0.9612,1.611735,1.876591,9.156689,-2.08362,8.887554,-1.632335,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0011;RT_D1_R1_0012,RT_D1_R1_0007,RT_D1_R1_0007:state=reappearance_candidate,"1096.748296,943.148218",1.876591,5,4,false,current_sar_observation_admitted_response_tracks,false,true,362,false,false,false
362,burn_in,STRUCTURE_CONSISTENT_ONLY,1090.597,939.8475,1099.634,937.868,1096.999767,944.237252,1099.054469,939.269235,-0.579531,1.401235,1.51635,9.037,-1.9795,8.874731,-1.587154,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0011,RT_D1_R1_0007;RT_D1_R1_0012,RT_D1_R1_0007:state=reappearance_candidate+strict_gate_fail;RT_D1_R1_0012:state=same_motion_candidate+strict_gate_fail,"1096.999767,944.237252",1.51635,5,3,false,current_sar_observation_admitted_response_tracks,false,true,362,false,false,false
363,burn_in,ALL_ASSOCIATED_TRACKS,1098.786689,937.346555,1107.548461,935.254091,1107.756127,938.452775,1107.627374,936.469591,0.078913,1.2155,1.218059,8.761772,-2.092464,8.783867,-1.752124,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0005;RT_D1_R1_0007;RT_D1_R1_0011;RT_D1_R1_0012;RT_D1_R1_0013,,,"1107.756127,938.452775",1.218059,7,7,false,current_sar_observation_admitted_response_tracks,false,true,363,false,false,false
363,burn_in,TEMPORALLY_SUPPORTED_ONLY,1099.219952,939.003756,1108.107506,937.371421,1108.792221,938.327694,1108.326615,937.677429,0.219109,0.306007,0.376363,8.887554,-1.632335,8.948904,-1.546653,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0007;RT_D1_R1_0011;RT_D1_R1_0012;RT_D1_R1_0013,RT_D1_R1_0005,RT_D1_R1_0005:state=reappearance_candidate,"1108.792221,938.327694",0.376363,7,6,false,current_sar_observation_admitted_response_tracks,false,true,363,false,false,false
363,burn_in,STRUCTURE_CONSISTENT_ONLY,1099.054469,939.269235,1107.9292,937.682081,1107.130065,942.826354,1107.737407,938.916707,-0.191793,1.234625,1.249434,8.874731,-1.587154,8.821029,-1.241459,RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0011;RT_D1_R1_0012,RT_D1_R1_0005;RT_D1_R1_0007;RT_D1_R1_0013,RT_D1_R1_0005:state=reappearance_candidate;RT_D1_R1_0007:state=reappearance_provisionally_supported;RT_D1_R1_0013:state=same_motion_candidate+strict_gate_fail,"1107.130065,942.826354",1.249434,7,4,false,current_sar_observation_admitted_response_tracks,false,true,363,false,false,false
364,burn_in,ALL_ASSOCIATED_TRACKS,1107.627374,936.469591,1116.411241,934.717468,1114.60218,936.876158,1115.723798,935.53777,-0.687443,0.820302,1.070268,8.783867,-1.752124,8.591383,-1.522439,RT_D1_R1_0002;RT_D1_R1_0003;RT_D1_R1_0004;RT_D1_R1_0007;RT_D1_R1_0011;RT_D1_R1_0012;RT_D1_R1_0013,,,"1114.60218,936.876158",1.070268,7,7,false,current_sar_observation_admitted_response_tracks,false,true,364,false,false,false
