gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery;head=ae70bde7cc4ae3710ce79029c38cba283b04b534,
START_COMMIT_ANCESTRY_VALID,PASS,ae70bde7cc4ae3710ce79029c38cba283b04b534,
P0_D1_D1_R1_E0_FROZEN_UNCHANGED,PASS,P0=git diff --quiet 1a3edd9 -- P0 frozen artifact paths; D1=git diff --quiet 57a82b1 -- D1 frozen artifact paths; D1_R1=git diff --quiet 593f898 -- D1_R1 frozen artifact paths; E0=git diff --quiet ae70bde -- E0 frozen artifact paths,
PRE_EVAL_SEAL_VALID,PASS,seal ok,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=7,
CURRENT_CONFIG_METRIC_GRID_VALID,PASS,40m maximum range; 0.03m/px image grid; 2308x1334 canvas,
PIXEL_TO_METER_CONVERSION_VALID,PASS_CURRENT_IMAGING_CONFIG,current imaging configuration only,
PSF_CORRECTED_PHYSICAL_EXTENT_READY,NOT_READY,SAR range/azimuth resolution metadata unresolved,
BODY_AXIS_REFERENCE_AVAILABLE,PASS_PROXY_HIGH_CONF,high_confidence_frames=43,
MOTION_HEADING_PROXY_VALID,PASS,high_confidence_diagnosis_frames=9,
BODY_SUPPORT_MODEL_IDENTIFIABLE,PASS,source=SAR_MOTION_HEADING_PROXY_CALIBRATION_FIT;L=4.764934;W=2.077648,
CALIBRATION_DIAGNOSIS_SEPARATION_VALID,PASS,heading thresholds and body-support fit frozen from SAR<=360; guard not fit; diagnosis not retuned,
MATCHED_BACKGROUND_CONTROLS_VALID,PASS,control_rows=432;no_overlap=True,
WITHIN_FRAME_PAIRED_CONTRAST_COMPLETE,PASS,paired_rows=54,
HARD_NEGATIVE_MULTI_GATE_COMPLETE,PASS,gate_rows=576;physical_confusions=0,
TEMPORAL_PHYSICAL_CONSISTENCY_COMPLETE,PASS,temporal_rows=7,
VISUAL_REVIEW_GROUNDED,PASS,visual_rows=16,
VEHICLE_METRIC_SCALE_PATTERN_SUPPORTED,SUPPORTED,vehicle_principal_gate_fraction=1,
VEHICLE_SPATIAL_CONCENTRATION_SUPPORTED,SUPPORTED,median_fraction_vehicle_higher_local_bg_norm=0.894366,
VEHICLE_DIRECTIONAL_STRUCTURE_SUPPORTED,NOT_READY,directional_gate_fraction=0.138889;high_diag=9,
VEHICLE_HARD_NEGATIVE_REJECTION_SUPPORTED,SUPPORTED,multi_gate_confusions=0;paired_higher=0.894366,
E0_R1_PHYSICAL_SEPARABILITY_SUPPORTED,NOT_READY,requires metric scale + concentration + direction + temporal + hard-negative rejection,
E0_R1_READY_FOR_CROSS_SCENE_VALIDATION,NOT_READY,same-scene posthoc only; cross-scene validation requires frozen transport package,
