scene,window_id,optical_thread_or_edge_id,offset_sar_frames,optical_frame_start,optical_frame_end,sar_frame_start,sar_frame_end,azimuth_source_available,azimuth_sector_or_proxy,sar_prior_evidence_ids,vehicle_like_scatter_in_sector,temporal_continuity_in_sector,boundary_separation_preserved,competitor_signal_not_suppressed,background_risk,gt_quality_risk,offset_decision,notes
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-12,0,25,0,41,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-11,0,25,0,42,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-10,0,25,0,43,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-9,0,25,0,44,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-8,0,25,0,45,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-7,0,25,0,46,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-6,0,25,0,47,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-5,0,25,0,48,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-4,0,25,0,49,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
GM_RM011,WGV16W001,GM_RM011_WGV14T001,-3,0,25,0,50,no_scene_level_source,not_available_for_scene_in_azimuth_audit,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,posthoc_prior_overlap_without_azimuth_proxy,not_supported_by_overlapping_prior_ids,optical_only_boundary_rules_preserved,no_direct_competitor_evidence_linked,background_or_static_reflector_risk_present,posthoc_quality_labels=good=96;review_too_small=34;review_multi_structure=33;review_too_large=19;review_extreme_aspect=13|not_available_in_source|review_too_small=3,offset_not_testable_missing_azimuth_source,GM_RM011 has software-sync metadata but no WGV1.7 direct azimuth/object-stream mapping source
