gt_pair_id,gt_instance_id,physical_vehicle_id,rotation_status,rotation_physical_status,supported_rotation_interval_deg,rotation_90_exchange_status,rotation_90_energy_ratio,rotation_90_density_ratio,non_gt_rotation_with_highest_energy_deg,non_gt_rotation_with_highest_density_deg,rotation_note_cn
WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,ROTATION_INTERVAL_ONLY,ROTATION_INTERVAL_ONLY,"[-30,5]",ROTATION_90_NOT_EQUIVALENT_OR_NOT_PRESENT,0.752523,0.752523,-15,-10,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0205,317,PV_GM19_WHITE_SUV_NEAR_FIELD,ROTATION_INTERVAL_ONLY,ROTATION_INTERVAL_ONLY,"[-10,10]",ROTATION_90_NOT_EQUIVALENT_OR_NOT_PRESENT,0.621422,0.612545,-5,-5,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0206,319,PV_GM19_WHITE_SUV_NEAR_FIELD,ROTATION_NOT_IDENTIFIABLE,ROTATION_NOT_IDENTIFIABLE,"[-30,30]",ROTATION_90_NOT_EQUIVALENT_OR_NOT_PRESENT,0.780036,0.775475,-15,-15,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0207,320,PV_GM19_WHITE_SUV_NEAR_FIELD,ROTATION_INTERVAL_ONLY,ROTATION_INTERVAL_ONLY,"[-30,15]",ROTATION_90_NOT_EQUIVALENT_OR_NOT_PRESENT,0.761012,0.761012,-5,-10,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0208,323,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_NOT_IDENTIFIABLE,ROTATION_NOT_IDENTIFIABLE,"[-30,30]",ROTATION_90_NOT_EQUIVALENT_OR_NOT_PRESENT,0.879791,0.879791,-15,-15,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0209,324,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_90_DEG_SWAP_AMBIGUOUS,ROTATION_90_DEG_SWAP_AMBIGUOUS,"[-30,90]",ROTATION_90_DEG_SWAP_AMBIGUOUS,1.189064,1.189064,90,90,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0210,325,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_90_DEG_SWAP_AMBIGUOUS,ROTATION_90_DEG_SWAP_AMBIGUOUS,"[-30,90]",ROTATION_90_DEG_SWAP_AMBIGUOUS,0.947541,0.947541,-30,-30,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0211,326,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_90_DEG_SWAP_AMBIGUOUS,ROTATION_90_DEG_SWAP_AMBIGUOUS,"[-30,90]",ROTATION_90_DEG_SWAP_AMBIGUOUS,0.992367,0.992367,-30,-30,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0212,327,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_90_DEG_SWAP_AMBIGUOUS,ROTATION_90_DEG_SWAP_AMBIGUOUS,"[-30,90]",ROTATION_90_DEG_SWAP_AMBIGUOUS,1.172728,1.164857,90,90,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
WGV35A_PAIR_0213,328,PV_GM19_SILVER_MPV_NEAR_FIELD,ROTATION_90_DEG_SWAP_AMBIGUOUS,ROTATION_90_DEG_SWAP_AMBIGUOUS,"[-30,90]",ROTATION_90_DEG_SWAP_AMBIGUOUS,1.1459,1.153186,90,90,旋转结论仅描述 GT 响应框局部反事实，不解释为车辆真实航向。
