pair_id,physical_vehicle_id,sar_frame,mask_class,sar_box_same_physical_vehicle,sar_response_mask_censored,sar_box_center_full_vehicle_center,center_closer_to_front_hotspot,center_closer_to_rear_hotspot,center_visible_response_only,temporal_mapping_shift_risk,azimuth_direction_consistent,polar_conversion_consistent,center_semantic_status,review_cn
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,SAR_MASK_S2_CENTER_CENSORED,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_MASK_BIASED,完整车辆中心可能已被mask裁掉，当前框中心是mask内局部响应中心。
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_VISIBLE_RESPONSE_ONLY,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,8,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_VISIBLE_RESPONSE_ONLY,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,27,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,PAIRING_REVIEW_REQUIRED,短片段与同帧车辆并存，SAR中心语义之外仍有配对身份复核风险。
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,27,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,possible,geometry_formula_consistent,true,SAR_CENTER_MASK_BIASED,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,31,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_VISIBLE_RESPONSE_ONLY,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,77,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,possible,geometry_formula_consistent,true,SAR_CENTER_MASK_BIASED,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,81,SAR_MASK_S2_CENTER_CENSORED,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_MASK_BIASED,完整车辆中心可能已被mask裁掉，当前框中心是mask内局部响应中心。
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,212,SAR_MASK_S2_CENTER_CENSORED,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_MASK_BIASED,完整车辆中心可能已被mask裁掉，当前框中心是mask内局部响应中心。
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,238,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,review_only_no_GT_change,true,false,unknown,unknown,true,low_to_possible,geometry_formula_consistent,true,SAR_CENTER_VISIBLE_RESPONSE_ONLY,SAR框仍在mask内，但近距边界使中心更可能表示可见散射响应中心，不能等同完整车辆中心。
