focus_id,sar_frame,diagnostic_png,contact_sheet,review_status,visual_conclusion_cn
full_contact_sheet,371,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar371.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,完整 SAR361-394 接触表，覆盖所有生成帧。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。接触表已打开；主亮带随帧右移，青色响应主要贴近主亮带及右侧局部响应，橙色拒绝集中在远离稳定相对结构的亮斑。
abc_largest_divergence_frame,376,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar376.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,A/B/C 准入中心分歧最大。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；三组中心接近主亮带中段但存在小幅分离，说明准入规则改变状态修正而非执行selector排序。
max_state_correction_frame,366,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar366.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,状态修正幅度最大。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；选中响应横跨主亮带与右侧局部响应，修正方向可解释但仍不是完整车辆成员证明。
background_duplicate_repair_typical_frame,361,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar361.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,背景一对一关联负载最高的典型帧。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；同帧大量候选被拒绝或保留为背景候选，没有看到同一背景track吞并多个同帧component的可视迹象。
relative_structure_reject_max_frame,361,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar361.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,relative structure gate 拒绝最多。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；橙色叉号大量分布在主亮带外侧和右下邻近亮斑，说明relative structure gate不是空字段。
max_center_error_frame,394,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar394.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,D1-R1 strict policy 中心误差最大。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；右侧与上侧背景/邻近响应密集，状态仍可跟随主亮带但不支持稳定物理成员已确认。
suspected_wrong_association_frame,394,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar394.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,D1-R1 误差最大的后验诊断帧，需人工重点核查是否跟错局部响应。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；未见单一明显跳错到远端亮斑，但局部响应密集导致成员解释仍不充分。
representative_missing_frame,361,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar361.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,代表性 temporarily_missing / terminated 状态帧。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；部分初始track未获得当前帧结构一致支持，missing状态与可视拒绝分布一致。
reappearance_first_hit_frame,362,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar362.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,缺失后的首次重新关联，只允许 candidate。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；重新关联落在主亮带附近，但按规则未在同帧升级为supported。
reappeared_supported_confirmed_frame,364,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_semantic_integrity_sar364.png,outputs\wgv3_6b_d1_r1_gm017_semantic_integrity_20260712\visual_review\d1_r1_visual_review_contact_sheet.png,opened_with_view_image_review,后续连续支持后的 confirmed reappearance。 图中青色为选中响应，橙色叉号为relative结构拒绝，绿色/蓝色/紫色分别为A/B/C中心。该帧已打开；后续支持连续性可见，但仍只能说明局部响应重新稳定，不等同完整车辆物理部件重现。
