merge_candidate_id,scene_id,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,gap_frame_count,from_class,to_class,from_x_bin,to_x_bin,endpoint_dx_per_gap_frame_px,candidate_strength,reason_codes,review_required,sar_ready,note
GM_RM011_WGV12M001,GM_RM011,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,3,car,car,mid,mid,6.3,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M002,GM_RM011,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,9,10,0,car,car,mid,mid,184.2,blocked,endpoint_center_offset_too_large;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M003,GM_RM011,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,2,car,car,mid,mid,6.3,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M004,GM_RM011,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,1,car,car,mid,mid,0.9,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M005,GM_RM011,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,5,car,car,right,left,70.8,review_only,endpoint_center_offset_review;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M006,GM_RM011,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,2,car,car,right,right,12.1,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M007,GM_RM011,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,232,233,0,car,car,mid,mid,196.4,blocked,endpoint_center_offset_too_large;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M008,GM_RM011,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,2,car,car,mid,mid,2.2,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M009,GM_RM011,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,239,242,2,car,car,right,left,147.6,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M010,GM_RM011,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,249,250,0,car,car,mid,mid,177.5,blocked,endpoint_center_offset_too_large;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M011,GM_RM011,GM_RM011_WGV12TF014,GM_RM011_WGV12TF015,250,251,0,car,car,mid,mid,176.9,blocked,endpoint_center_offset_too_large;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M012,GM_RM011,GM_RM011_WGV12TF015,GM_RM011_WGV12TF016,259,260,0,car,car,mid,mid,127.6,blocked,endpoint_center_offset_too_large;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M013,GM_RM011,GM_RM011_WGV12TF016,GM_RM011_WGV12TF017,264,265,0,car,car,right,left,453.5,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M014,GM_RM011,GM_RM011_WGV12TF017,GM_RM011_WGV12TF018,266,269,2,car,car,left,left,26.1,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M015,GM_RM011,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,270,279,8,car,car,left,mid,5.8,review_only,endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM011_WGV12M016,GM_RM011,GM_RM011_WGV12TF019,GM_RM011_WGV12TF020,288,289,0,car,car,right,left,459.8,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M001,GM_RM017,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,144,145,0,truck,truck,mid,mid,18.2,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M002,GM_RM017,GM_RM017_WGV12TF002,GM_RM017_WGV12TF003,148,149,0,truck,car,mid,left,370.8,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M003,GM_RM017,GM_RM017_WGV12TF003,GM_RM017_WGV12TF004,155,156,0,car,truck,left,right,455.8,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M004,GM_RM017,GM_RM017_WGV12TF004,GM_RM017_WGV12TF005,157,158,0,truck,car,right,left,567.4,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M005,GM_RM017,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,158,164,5,car,car,left,left,12.7,review_only,endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M006,GM_RM017,GM_RM017_WGV12TF006,GM_RM017_WGV12TF007,168,169,0,car,car,left,mid,279.9,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
GM_RM017_WGV12M007,GM_RM017,GM_RM017_WGV12TF007,GM_RM017_WGV12TF008,173,174,0,car,car,right,mid,270.5,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,yes,no / blocked,diagnostic merge candidate only;not same-vehicle truth
