scene,sar_frame,azimuth_bin_start_deg,azimuth_bin_end_deg,fan_pixel_count,frame_nonzero_pixel_count,frame_nonzero_ratio,frame_mean_intensity,frame_effective_bin
GM_RM011,0,-90,-89,11518,0,0,0,false
GM_RM011,0,-89,-88,11638,0,0,0,false
GM_RM011,0,-88,-87,11654,0,0,0,false
GM_RM011,0,-87,-86,11675,0,0,0,false
GM_RM011,0,-86,-85,11705,0,0,0,false
GM_RM011,0,-85,-84,11741,0,0,0,false
GM_RM011,0,-84,-83,11780,0,0,0,false
GM_RM011,0,-83,-82,11838,0,0,0,false
GM_RM011,0,-82,-81,11888,0,0,0,false
GM_RM011,0,-81,-80,11959,0,0,0,false
GM_RM011,0,-80,-79,12030,0,0,0,false
GM_RM011,0,-79,-78,12114,0,0,0,false
GM_RM011,0,-78,-77,12204,0,0,0,false
GM_RM011,0,-77,-76,12301,0,0,0,false
GM_RM011,0,-76,-75,12411,0,0,0,false
GM_RM011,0,-75,-74,12525,0,0,0,false
GM_RM011,0,-74,-73,12652,0,0,0,false
GM_RM011,0,-73,-72,12789,0,0,0,false
GM_RM011,0,-72,-71,12934,0,0,0,false
GM_RM011,0,-71,-70,13090,0,0,0,false
GM_RM011,0,-70,-69,13258,0,0,0,false
GM_RM011,0,-69,-68,13439,0,0,0,false
GM_RM011,0,-68,-67,13626,0,0,0,false
GM_RM011,0,-67,-66,13831,2,0.0001446,0.0001446,true
GM_RM011,0,-66,-65,14048,4,0.00028474,0.00028474,true
GM_RM011,0,-65,-64,14279,8,0.00056026,0.00070033,true
GM_RM011,0,-64,-63,14525,15,0.0010327,0.00296041,true
GM_RM011,0,-63,-62,14783,45,0.00304404,0.01407022,true
GM_RM011,0,-62,-61,15061,200,0.01327933,0.11035124,true
GM_RM011,0,-61,-60,15355,4220,0.27482905,5.18795181,true
GM_RM011,0,-60,-59,15501,15487,0.99909683,30.42739178,true
GM_RM011,0,-59,-58,15506,15496,0.99935509,30.27505482,true
GM_RM011,0,-58,-57,15491,15481,0.99935446,30.27816151,true
GM_RM011,0,-57,-56,15497,15486,0.99929019,30.40498161,true
GM_RM011,0,-56,-55,15504,15491,0.99916151,30.55134159,true
GM_RM011,0,-55,-54,15496,15485,0.99929014,30.65307176,true
GM_RM011,0,-54,-53,15499,15490,0.99941932,30.54351894,true
GM_RM011,0,-53,-52,15495,15482,0.99916102,30.58373669,true
GM_RM011,0,-52,-51,15501,15488,0.99916134,30.92155345,true
GM_RM011,0,-51,-50,15501,15489,0.99922586,30.83426876,true
GM_RM011,0,-50,-49,15501,15488,0.99916134,30.88226566,true
GM_RM011,0,-49,-48,15499,15486,0.99916124,30.93851216,true
GM_RM011,0,-48,-47,15500,15490,0.99935484,31.0803871,true
GM_RM011,0,-47,-46,15497,15486,0.99929019,31.00864683,true
GM_RM011,0,-46,-45,15597,15584,0.99916651,30.75565814,true
GM_RM011,0,-45,-44,15406,15399,0.99954563,30.70543944,true
GM_RM011,0,-44,-43,15498,15490,0.9994838,30.59594786,true
GM_RM011,0,-43,-42,15500,15488,0.99922581,30.43632258,true
GM_RM011,0,-42,-41,15500,15490,0.99935484,30.61883871,true
GM_RM011,0,-41,-40,15500,15489,0.99929032,30.53219355,true
GM_RM011,0,-40,-39,15500,15489,0.99929032,30.33264516,true
GM_RM011,0,-39,-38,15496,15486,0.99935467,30.1480382,true
GM_RM011,0,-38,-37,15502,15492,0.99935492,30.29196233,true
GM_RM011,0,-37,-36,15500,15488,0.99922581,30.29703226,true
GM_RM011,0,-36,-35,15496,15487,0.9994192,30.17694889,true
GM_RM011,0,-35,-34,15502,15491,0.99929041,30.1776545,true
GM_RM011,0,-34,-33,15500,15491,0.99941935,30.13316129,true
GM_RM011,0,-33,-32,15509,15498,0.99929073,30.3137533,true
GM_RM011,0,-32,-31,15487,15476,0.99928973,30.40291858,true
GM_RM011,0,-31,-30,15501,15488,0.99916134,30.27514354,true
GM_RM011,0,-30,-29,15499,15485,0.99909672,30.45067424,true
GM_RM011,0,-29,-28,15501,15488,0.99916134,30.2037933,true
GM_RM011,0,-28,-27,15499,15482,0.99890316,30.14439641,true
GM_RM011,0,-27,-26,15496,15488,0.99948374,30.26019618,true
GM_RM011,0,-26,-25,15500,15483,0.99890323,30.21251613,true
GM_RM011,0,-25,-24,15500,15481,0.99877419,30.11845161,true
GM_RM011,0,-24,-23,15499,15483,0.99896768,30.20227111,true
GM_RM011,0,-23,-22,15499,15485,0.99909672,30.27511452,true
GM_RM011,0,-22,-21,15499,15481,0.99883863,30.27182399,true
GM_RM011,0,-21,-20,15500,15485,0.99903226,30.56890323,true
GM_RM011,0,-20,-19,15500,15482,0.99883871,30.73296774,true
GM_RM011,0,-19,-18,15497,15484,0.99916113,30.47073627,true
GM_RM011,0,-18,-17,15500,15478,0.99858065,30.57941935,true
GM_RM011,0,-17,-16,15497,15480,0.99890301,30.8430664,true
GM_RM011,0,-16,-15,15501,15483,0.99883878,30.80188375,true
GM_RM011,0,-15,-14,15492,15470,0.99857991,31.87077201,true
GM_RM011,0,-14,-13,15503,15477,0.99832291,32.95723408,true
GM_RM011,0,-13,-12,15503,15482,0.99864542,33.45146101,true
GM_RM011,0,-12,-11,15498,15473,0.99838689,33.662279,true
GM_RM011,0,-11,-10,15501,15480,0.99864525,32.42468228,true
GM_RM011,0,-10,-9,15498,15474,0.99845141,32.05813653,true
GM_RM011,0,-9,-8,15500,15482,0.99883871,31.61483871,true
GM_RM011,0,-8,-7,15498,15470,0.99819332,31.8108143,true
GM_RM011,0,-7,-6,15501,15474,0.99825818,31.4086188,true
GM_RM011,0,-6,-5,15497,15475,0.99858037,31.57146544,true
GM_RM011,0,-5,-4,15503,15478,0.99838741,31.68864091,true
GM_RM011,0,-4,-3,15494,15483,0.99929005,32.1368917,true
GM_RM011,0,-3,-2,15493,15474,0.99877364,31.6411928,true
