sample_id,scene,frame_id,detection_a,detection_b,overlap_proxy,center_distance,class_a,class_b,size_relation,crowding_count,grouping_diagnosis_label,state_tags,safe_for_automatic_grouping,why_not_identity_truth,visual_review_needed
MB01,GM_RM011,47,GM_RM011_000047_002,GM_RM011_000047_003,0.997,0.2,car,truck,similar,3,class_instability_duplicate_like,duplicate_overlap_detection;class_instability;multi_object_competition;edge_contact,diagnostic_candidate_only,same-frame overlap is not identity truth and class conflict remains,yes
MB02,GM_RM011,51,GM_RM011_000051_002,GM_RM011_000051_003,0.997,0.3,car,truck,similar,3,class_instability_duplicate_like,duplicate_overlap_detection;class_instability;multi_object_competition;edge_contact,diagnostic_candidate_only,same-frame overlap is not identity truth and class conflict remains,yes
MB03,GM_RM011,165,GM_RM011_000165_001,GM_RM011_000165_003,0.676,11.1,car,car,moderate_size_difference,3,likely_duplicate_same_vehicle_observation,duplicate_overlap_detection;multi_object_competition,diagnostic_candidate_only,moderate overlap and close centers suggest duplicate-like observation but not identity truth,yes
MB04,GM_RM011,261,GM_RM011_000261_001,GM_RM011_000261_002,0.391,89.2,car,car,one_small_one_large,3,possible_partial_full_same_vehicle_competition,multi_object_competition;partial_visible;shape_instability,no_requires_temporal_state_evidence,same-frame size relation cannot prove same vehicle,yes
MB05,GM_RM011,147,GM_RM011_000147_003,GM_RM011_000147_004,0.062,67.9,car,car,one_small_one_large,4,likely_neighbor_vehicle_competition,multi_object_competition;neighbor_competition;edge_contact,no_blocks_grouping,low overlap with close neighbors suggests competition not identity,yes
MB06,GM_RM011,10,GM_RM011_000010_002,GM_RM011_000010_003,0.633,78.2,car,car,similar,4,multi_vehicle_crowding_unresolved,multi_object_competition,no_unresolved_crowding,crowding creates multiple plausible interpretations,yes
MB07,GM_RM011,7,GM_RM011_000007_001,GM_RM011_000007_002,0.700,77.0,car,car,similar,3,unjudgeable_without_visual_review,multi_object_competition;edge_contact,no,overlap is high but center separation and edge contact leave identity unresolved,yes
MB08,GM_RM019,4,GM_RM019_000004_002,GM_RM019_000004_003,0.998,0.1,car,bus,similar,5,class_instability_duplicate_like,duplicate_overlap_detection;class_instability;multi_object_competition;edge_contact,diagnostic_candidate_only,same-frame overlap is not identity truth and class conflict remains,yes
MB09,GM_RM019,1,GM_RM019_000001_002,GM_RM019_000001_003,0.714,25.5,car,car,moderate_size_difference,3,likely_duplicate_same_vehicle_observation,duplicate_overlap_detection;multi_object_competition;edge_contact,diagnostic_candidate_only,overlap suggests duplicate-like observation but temporal evidence is still needed,yes
MB10,GM_RM019,1,GM_RM019_000001_001,GM_RM019_000001_002,0.507,59.0,car,car,one_small_one_large,3,possible_partial_full_same_vehicle_competition,multi_object_competition;partial_visible;shape_instability;edge_contact,no_requires_temporal_state_evidence,partial/full same-frame competition cannot prove identity,yes
MB11,GM_RM019,77,GM_RM019_000077_002,GM_RM019_000077_003,0.005,31.1,car,car,one_small_one_large,5,likely_neighbor_vehicle_competition,multi_object_competition;neighbor_competition,no_blocks_grouping,low overlap with close centers is more consistent with neighbor competition,yes
MB12,GM_RM019,77,GM_RM019_000077_003,GM_RM019_000077_005,0.656,4.2,car,car,moderate_size_difference,5,multi_vehicle_crowding_unresolved,multi_object_competition,no_unresolved_crowding,crowded frame prevents safe same-target grouping,yes
MB13,GM_RM019,24,GM_RM019_000024_002,GM_RM019_000024_003,0.686,54.1,car,car,similar,3,unjudgeable_without_visual_review,multi_object_competition,no,overlap is substantial but center separation needs visual or temporal context,yes
MB14,GM_RM017,127,GM_RM017_000127_002,GM_RM017_000127_003,0.994,0.6,bus,truck,similar,3,class_instability_duplicate_like,duplicate_overlap_detection;class_instability;multi_object_competition,diagnostic_candidate_only,same-frame overlap is not identity truth and class conflict remains,yes
MB15,GM_RM017,154,GM_RM017_000154_001,GM_RM017_000154_003,0.223,103.0,car,car,one_small_one_large,3,possible_partial_full_same_vehicle_competition,multi_object_competition;partial_visible;shape_instability;edge_contact,no_requires_temporal_state_evidence,partial/full hypothesis needs later temporal/state evidence,yes
MB16,GM_RM017,151,GM_RM017_000151_002,GM_RM017_000151_003,0.088,88.7,car,car,one_small_one_large,3,likely_neighbor_vehicle_competition,multi_object_competition;neighbor_competition;edge_contact,no_blocks_grouping,low overlap and near-neighbor state should block grouping,yes
MB17,GM_RM017,163,GM_RM017_000163_002,GM_RM017_000163_003,0.120,104.1,car,car,one_small_one_large,4,multi_vehicle_crowding_unresolved,multi_object_competition;edge_contact,no_unresolved_crowding,crowded frame has unresolved same-frame competition,yes
MB18,GM_RM017,155,GM_RM017_000155_002,GM_RM017_000155_003,0.195,117.7,car,car,one_small_one_large,3,unjudgeable_without_visual_review,multi_object_competition;edge_contact,no,current summary cannot separate partial/full from neighbor competition,yes
