experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,frame_offset,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,prediction_region_area,first_uncertain_frame,first_irrecoverable_frame_k2,first_irrecoverable_frame_k3,first_irrecoverable_frame_k5,confirmed_assembly_frames,ambiguous_assembly_frames,missing_assembly_frames,ambiguity_recovery_count,association_discontinuity_count,search_ratio,frozen_predictions_sha256_verified,target_box_loaded_phase
ADJ_0204_TO_0205,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,,,,,0,0,0,0,0,0.005,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,28,28,28,,0,4,0,0,0,0.014824,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.097688,83.691418,115200,30,30,,,2,2,0,0,0,0.056616,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0204_TO_0205,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.097688,83.691418,115200,30,30,,,2,2,0,0,0,0.056616,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,0,0,197.11602,11253.641796,,,,,0,0,0,0,0,0.004282,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,0,0,101.100419,11253.641796,32,46,46,46,1,45,0,0,0,0.013522,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,1,0.005021,583.635628,2498688,33,,,,41,5,0,0,1,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0205_TO_0206,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0205,WGV35A_PAIR_0206,77,46,1,0.005021,583.635628,2498688,33,,,,41,5,0,1,1,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,0.898568,0.736034,12.049722,12545.40474,,,,,0,0,0,0,0,0.004773,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,0.898568,0.736034,12.049722,12545.40474,78,78,78,,0,4,0,0,0,0.01436,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,1,0.124725,86.499358,89856,78,,,,3,1,0,0,0,0.108566,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0206_TO_0207,adjacent_hidden_anchor,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0206,WGV35A_PAIR_0207,81,4,1,0.124725,86.499358,89856,78,,,,3,1,0,1,0,0.108566,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.373204,0.192907,96.663416,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.494538,0.272728,54.357845,13003.845572,213,,,,2,24,0,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,1,0.0433,167.219731,229632,227,235,235,,21,5,0,0,0,0.119632,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0208_TO_0209,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,1,0.118414,61.592196,83968,227,,,,23,3,0,2,0,0.063231,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,0.228262,0.131647,108.824796,9942.98256,,,,,0,0,0,0,0,0.003783,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,0.448232,0.296072,49.70154,9942.98256,239,,,,2,29,0,0,0,0.012527,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,1,0.004303,541.930623,2401472,243,,,,28,3,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
