contrast_id,accepted_object_id,alternative_object_id,same_frame_or_cross_frame,accepted_runtime_class,alternative_runtime_class,accepted_blind_judgement,alternative_blind_judgement,accepted_scale_fields,alternative_scale_fields,accepted_part_relations,alternative_part_relations,accepted_lineage,alternative_lineage,accepted_arc_conflict,alternative_arc_conflict,accepted_gt_relation_eval_only,alternative_gt_relation_eval_only,decisive_difference_cn,non_decisive_support_cn,unresolved_difference_cn
R1C0001,BLIND_OBJECT_001,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=128.793914;W=100.111307;centroidL=102.28756;centroidW=79.766131;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT002,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT002；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0002,BLIND_OBJECT_002,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,vehicle_structure,background,L=118.617288;W=110.025427;centroidL=89.917887;centroidW=16.619436;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT002,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;unresolved_atom 和谱系 R1PT002；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0003,BLIND_OBJECT_003,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,vehicle_structure,background,L=117.638979;W=113.087242;centroidL=90.696191;centroidW=14.266509;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT002,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;unresolved_atom 和谱系 R1PT002；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0004,BLIND_OBJECT_004,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=123.908631;W=112.039951;centroidL=91.280834;centroidW=62.280987;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT002;R1PT003,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT002;R1PT003；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0005,BLIND_OBJECT_005,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=144.453489;W=114.922235;centroidL=103.485274;centroidW=49.812008;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT002;R1PT003,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;unresolved_atom 和谱系 R1PT002;R1PT003；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0006,BLIND_OBJECT_007,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=144.695396;W=106.384034;centroidL=104.398969;centroidW=59.38785;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0007,BLIND_OBJECT_008,BLIND_OBJECT_009,same_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=108.398862;W=78.66672;centroidL=88.849634;centroidW=45.411891;deg_fixed=false,L=35.09073;W=7.154184;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,R1PT006;R1PT007;R1PT008,,false,true,no_exact_gt_for_frame,no_exact_gt_for_frame,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom 和谱系 R1PT006;R1PT007;R1PT008；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0008,BLIND_OBJECT_011,BLIND_OBJECT_012,same_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=216.442951;W=83.08784;centroidL=128.113689;centroidW=48.008622;deg_fixed=false,L=27.48932;W=10.06184;centroidL=0;centroidW=0;deg_fixed=true,core_to_side_candidate;core_to_endpoint_candidate;side_to_endpoint_candidate,background_arc_conflict,R1PT004;R1PT006;R1PT007;R1PT008,R1PT005,false,true,no_exact_gt_for_frame,no_exact_gt_for_frame,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;side_ridge_candidate 和谱系 R1PT004;R1PT006;R1PT007;R1PT008；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0009,BLIND_OBJECT_014,BLIND_OBJECT_015,same_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=110.717502;W=42.535746;centroidL=96.041413;centroidW=3.161004;deg_fixed=false,L=132.762232;W=18.321777;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,no_exact_gt_for_frame,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0010,BLIND_OBJECT_017,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_structure,background,L=158.517276;W=124.55859;centroidL=106.497042;centroidW=74.599801;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0011,BLIND_OBJECT_018,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,vehicle_structure,background,L=151.949153;W=116.258017;centroidL=71.480417;centroidW=77.805141;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_side_candidate,background_arc_conflict,R1PT009,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 body_core_candidate;side_ridge_candidate;unresolved_atom 和谱系 R1PT009；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0012,BLIND_OBJECT_019,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_structure,background,L=141.730412;W=119.980177;centroidL=112.114087;centroidW=69.646933;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_side_candidate,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;side_ridge_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0013,BLIND_OBJECT_020,BLIND_OBJECT_021,same_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=159.328549;W=66.494131;centroidL=164.678974;centroidW=12.256065;deg_fixed=false,L=141.297208;W=37.675408;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT011,,false,true,no_exact_gt_for_frame,no_exact_gt_for_frame,接受对象具有 body_core_candidate;unresolved_atom 和谱系 R1PT011；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
