pair_id,physical_vehicle_id,sar_frame,sar_bbox,gt_semantic,gt_semantic_confidence,mask_semantic,mask_confidence,mask_class,gt_full_area_px,gt_visible_area_px,gt_visible_fraction,gt_bbox_intersects_invalid_mask,source_mask_intersection_ratio,computed_display_fan_intersection_ratio,gt_range_min_px,gt_range_max_px,gt_range_width_px,gt_azimuth_min_deg,gt_azimuth_max_deg,gt_azimuth_width_deg,gt_near_side_censored,gt_far_side_censored,gt_left_side_censored,gt_right_side_censored,gt_signed_mask_distance_px,actual_fan_pixel_censored,gt_pair_linked_mask_context,frame_only_mask_context,sar_response_touches_mask,sar_response_truncation_direction,multiple_boundary_variant_uncertainty,absolute_scale_status,gt_range_min_m,gt_range_max_m,gt_range_width_m,gt_cross_range_arc_width_m,gt_cross_range_chord_width_m,notes_cn
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,"1104.480,1165.800,1250.293,1230.300",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S2_CENTER_CENSORED,9702,9702,1,false,1,1,100.101249,191.233522,91.132273,-26.312648,43.950957,70.263606,false,false,false,false,100.3,false,true,false,true,bottom_near_range_mask,false,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,"1112.153,1163.477,1261.526,1228.510",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,9900,9900,1,false,1,1,102.101224,198.692375,96.591151,-22.119984,46.475805,68.59579,false,false,false,false,102.09,false,true,false,true,bottom_near_range_mask,false,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,8,"1123.629,1159.738,1269.835,1230.416",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,10584,10584,1,false,1,1,100.101249,206.435123,106.333874,-16.945733,49.085617,66.031349,false,false,false,false,100.184,false,true,false,true,bottom_near_range_mask,false,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,27,"1207.149,1148.719,1386.602,1224.337",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,13860,13860,1,false,0.956061,1,118.825334,295.324669,176.499335,16.372504,65.470695,49.098191,false,false,false,false,106.263,false,true,false,true,bottom_near_range_mask,true,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,27,"972.572,1167.739,1154.849,1239.839",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,13359,13359,1,false,0.990568,1,91.101372,244.016106,152.914734,-63.346627,0.314463,63.66109,false,false,false,false,90.761,false,true,false,false,no_local_bbox_boundary_hot_band,true,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,31,"990.094,1171.077,1154.017,1239.729",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,11385,11385,1,false,0.999824,1,91.101372,228.133864,137.032492,-60.874036,0.314463,61.1885,false,false,false,false,90.871,false,true,false,true,bottom_near_range_mask,true,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,77,"1184.523,1169.528,1353.813,1243.634",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,12750,12750,1,false,0.952392,1,92.285752,256.424375,164.138623,10.720547,66.414328,55.693782,false,false,false,false,86.966,false,true,false,true,bottom_near_range_mask,true,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,81,"1202.549,1177.058,1355.094,1250.527",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S2_CENTER_CENSORED,11396,11396,1,false,0.908915,1,93.638988,253.064932,159.425945,17.577494,68.321258,50.743764,false,false,false,false,80.073,false,true,false,false,no_local_bbox_boundary_hot_band,true,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,212,"935.174,1162.205,1093.287,1244.449",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S2_CENTER_CENSORED,13197,13197,1,false,0.903008,1,105.230509,275.680721,170.450212,-68.493063,-19.794048,48.699015,false,false,false,false,86.151,false,true,false,false,no_local_bbox_boundary_hot_band,false,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,238,"1041.740,1171.593,1179.860,1243.581",posthoc_sar_response_bbox_visible_or_mask_biased_not_full_vehicle,medium_from_R2C_center_semantic_review,reconstructed_display_fan_support_physical_valid_mask_unconfirmed,medium_for_png_support_low_for_physical_semantics,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,10147,10147,1,false,1,1,87.101435,194.856511,107.755076,-52.252167,16.318286,68.570453,false,false,false,false,87.019,false,true,false,true,bottom_near_range_mask,false,ABSOLUTE_SCALE_UNRESOLVED,,,,,,仅构造PNG像素和角度区间；米制字段因绝对尺度未恢复而留空。
