wgv1_3_thread_id,scene_id,thread_status,folder_path,target_family_ids,frame_start,frame_end,target_family_count,fragment_frame_count,baseline_frame_count,edge_frame_count,missing_fragment_frame_count,missing_edge_frame_count,included_same_vehicle_edge_ids,primary_box_selection_issue_edge_ids,adjacent_split_boundary_edge_ids,review_required,human_review_priority,review_question,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV13T001,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/01_GM_RM011_GM_RM011_WGV13T001_same_vehicle_candidate,GM_RM011_WGV12TF001;GM_RM011_WGV12TF002,0,9,2,7,7,10,0,1,GM_RM011_WGV12M001,,GM_RM011_WGV12M002,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T002,GM_RM011,same_vehicle_thread_candidate_with_primary_box_selection_issue,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/02_GM_RM011_GM_RM011_WGV13T002_primary_box_review,GM_RM011_WGV12TF003;GM_RM011_WGV12TF004;GM_RM011_WGV12TF005,10,25,3,13,13,38,0,1,GM_RM011_WGV12M003;GM_RM011_WGV12M004,GM_RM011_WGV12M003,GM_RM011_WGV12M002;GM_RM011_WGV12M005,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T003,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/03_GM_RM011_GM_RM011_WGV13T003_standalone_split,GM_RM011_WGV12TF006,31,35,1,5,5,18,0,0,,,GM_RM011_WGV12M005,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T004,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/04_GM_RM011_GM_RM011_WGV13T004_standalone_split,GM_RM011_WGV12TF007,135,137,1,3,3,0,0,0,,,,yes,medium,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T005,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/05_GM_RM011_GM_RM011_WGV13T005_same_vehicle_candidate,GM_RM011_WGV12TF008;GM_RM011_WGV12TF009,151,166,2,14,14,16,0,0,GM_RM011_WGV12M006,,,yes,medium,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T006,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/06_GM_RM011_GM_RM011_WGV13T006_standalone_split,GM_RM011_WGV12TF010,231,232,1,2,2,0,0,1,,,GM_RM011_WGV12M007,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T007,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/07_GM_RM011_GM_RM011_WGV13T007_same_vehicle_candidate,GM_RM011_WGV12TF011;GM_RM011_WGV12TF012,233,239,2,5,5,7,0,2,GM_RM011_WGV12M008,,GM_RM011_WGV12M007;GM_RM011_WGV12M009,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T008,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/08_GM_RM011_GM_RM011_WGV13T008_standalone_split,GM_RM011_WGV12TF013,242,249,1,8,4,0,0,2,,,GM_RM011_WGV12M009;GM_RM011_WGV12M010,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T009,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/09_GM_RM011_GM_RM011_WGV13T009_standalone_split,GM_RM011_WGV12TF014,250,250,1,1,0,0,0,2,,,GM_RM011_WGV12M010;GM_RM011_WGV12M011,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T010,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/10_GM_RM011_GM_RM011_WGV13T010_standalone_split,GM_RM011_WGV12TF015,251,259,1,9,4,0,0,2,,,GM_RM011_WGV12M011;GM_RM011_WGV12M012,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
