physical_vehicle_id,frame,source_track_id,observed_bbox,latent_center_x,latent_center_y,latent_full_width,latent_full_height,latent_relative_depth,velocity_x,velocity_y,scale_velocity,depth_velocity,edge_constraint_used,reconstruction_confidence,blocked_reason
PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,bt_0001,"123.223,342.616,705.465,598.302",429.593742,487.413261,639.168498,273.560424,3.484537,0,0,0,0,latent_center~=observed_center;latent_top~=observed_top,0.66,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,1,bt_0001,"172.014,347.161,744.78,598.597",468.232202,489.838604,639.168498,273.560424,3.242964,38.63846,2.425343,0,-0.241573,latent_center~=observed_center;latent_top~=observed_top,0.66,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,bt_0001,"220.345,356.585,772.313,598.682",503.076151,495.289664,639.168498,273.560424,3.068051,34.84395,5.45106,0,-0.174913,latent_center~=observed_center;latent_top~=observed_top,0.66,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,3,bt_0001,"257.156,365.314,788.479,598.221",560.315331,499.745558,639.168498,273.560424,3.066398,57.23918,4.455894,0,-0.001653,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,bt_0001,"295.429,374.187,804.489,597.669",594.35401,503.665711,639.168498,273.560424,3.066521,34.038679,3.920153,0,0.000123,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,5,bt_0001,"328.249,385.319,809.084,596.822",625.666844,508.716052,639.168498,273.560424,2.989024,31.312834,5.050341,0,-0.077497,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,6,bt_0001,"352.329,386.261,826.59,596.532",652.60898,508.670965,639.168498,273.560424,3.019041,26.942137,-0.045087,0,0.030018,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,7,bt_0001,"368.297,380.83,847.785,596.569",675.496002,505.439476,639.168498,273.560424,3.163947,22.887022,-3.231489,0,0.144906,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,8,bt_0001,"380.091,369.42,873.772,596.832",696.295057,499.218073,639.168498,273.560424,3.287349,20.799055,-6.221403,0,0.123402,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,9,bt_0001,"388.948,346.413,900.708,589.829",715.626232,487.198804,639.168498,273.560424,3.411136,19.331175,-12.01927,0,0.123788,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,10,bt_0001,"397.373,322.76,924.938,583.832",734.741571,474.856231,639.168498,273.560424,3.428927,19.115339,-12.342573,0,0.017791,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_BLACK_SEDAN_NEAR_FIELD,11,bt_0001,"427.737,329.573,933.272,591.162",764.825675,477.746599,639.168498,273.560424,3.469232,30.084104,2.890368,0,0.040306,latent_left~=observed_left;latent_top~=observed_top,0.5,
PV_GM19_WHITE_SUV_NEAR_FIELD,5,bt_0003,"10.559,336.835,78.186,516.065",-75.684641,425.524498,397.567734,299.933838,3.758629,0,0,0,0,latent_right~=observed_right,0.53,
