competition_id,extraction_profile,from_component_id,from_sar_frame,candidate_successor_count,selected_successor_id,best_edge_score,second_edge_score,score_gap,candidate_successor_ids,competition_status
WGV34A_COMP_strict_physical_path_000001,strict_physical_path,WGV33D_MAIN_F0000_C000001,0,1,WGV33D_MAIN_F0001_C000031,0.66509965,,,WGV33D_MAIN_F0001_C000031,single_successor
WGV34A_COMP_strict_physical_path_000002,strict_physical_path,WGV33D_MAIN_F0001_C000031,1,1,WGV33D_MAIN_F0002_C000047,0.60545466,,,WGV33D_MAIN_F0002_C000047,single_successor
WGV34A_COMP_strict_physical_path_000003,strict_physical_path,WGV33D_MAIN_F0002_C000048,2,1,WGV33D_MAIN_F0003_C000068,0.7355217,,,WGV33D_MAIN_F0003_C000068,single_successor
WGV34A_COMP_strict_physical_path_000004,strict_physical_path,WGV33D_MAIN_F0002_C000049,2,1,WGV33D_MAIN_F0003_C000072,0.62783297,,,WGV33D_MAIN_F0003_C000072,single_successor
WGV34A_COMP_strict_physical_path_000005,strict_physical_path,WGV33D_MAIN_F0002_C000055,2,1,WGV33D_MAIN_F0003_C000081,0.70084571,,,WGV33D_MAIN_F0003_C000081,single_successor
WGV34A_COMP_strict_physical_path_000006,strict_physical_path,WGV33D_MAIN_F0003_C000067,3,1,WGV33D_MAIN_F0004_C000098,0.77679227,,,WGV33D_MAIN_F0004_C000098,single_successor
WGV34A_COMP_strict_physical_path_000007,strict_physical_path,WGV33D_MAIN_F0003_C000068,3,1,WGV33D_MAIN_F0004_C000100,0.74937792,,,WGV33D_MAIN_F0004_C000100,single_successor
WGV34A_COMP_strict_physical_path_000008,strict_physical_path,WGV33D_MAIN_F0003_C000077,3,1,WGV33D_MAIN_F0004_C000108,0.59962479,,,WGV33D_MAIN_F0004_C000108,single_successor
WGV34A_COMP_strict_physical_path_000009,strict_physical_path,WGV33D_MAIN_F0003_C000081,3,1,WGV33D_MAIN_F0004_C000115,0.69862043,,,WGV33D_MAIN_F0004_C000115,single_successor
WGV34A_COMP_strict_physical_path_000010,strict_physical_path,WGV33D_MAIN_F0004_C000098,4,1,WGV33D_MAIN_F0005_C000134,0.7921822,,,WGV33D_MAIN_F0005_C000134,single_successor
WGV34A_COMP_strict_physical_path_000011,strict_physical_path,WGV33D_MAIN_F0004_C000100,4,1,WGV33D_MAIN_F0005_C000135,0.70087201,,,WGV33D_MAIN_F0005_C000135,single_successor
WGV34A_COMP_strict_physical_path_000012,strict_physical_path,WGV33D_MAIN_F0004_C000108,4,1,WGV33D_MAIN_F0005_C000147,0.78581831,,,WGV33D_MAIN_F0005_C000147,single_successor
WGV34A_COMP_strict_physical_path_000013,strict_physical_path,WGV33D_MAIN_F0004_C000110,4,1,WGV33D_MAIN_F0005_C000149,0.70187499,,,WGV33D_MAIN_F0005_C000149,single_successor
WGV34A_COMP_strict_physical_path_000014,strict_physical_path,WGV33D_MAIN_F0004_C000115,4,1,WGV33D_MAIN_F0005_C000153,0.76906711,,,WGV33D_MAIN_F0005_C000153,single_successor
