family_id,sar_frame,member_response_box_ids,member_core_subgraph_ids,family_relation,member_count,family_common_core_atom_ids,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_member_bbox_variants,family_uncertain_envelope,family_center_dispersion_px,family_width_range_px,family_height_range_px,family_pairwise_min_iou,family_pairwise_max_center_distance_px,family_boundary_reason_cn,generation_provenance
R21R1F00001,27,R21B00001;R21B00006,R21C00001;R21C00006,nested_same_core_family,2,R21A00001,"1036,1131,1186,1203",available_shared_atoms,,common_core_only,"1036,1131,1186,1203 | 1036,1131,1186,1233","1006,1131,1186,1233",15,150-150,72-102,0.705882,15,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00002,27,R21B00002,R21C00002,single_member_family,1,R21A00002,"1096,1209,1144,1233",available_single_member_core,"1096,1209,1144,1233",single_consensus_bbox,"1096,1209,1144,1233","1030,1131,1186,1233",0,48-48,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00003,27,R21B00003,R21C00003,single_member_family,1,R21A00003,"1084,1131,1108,1149",available_single_member_core,"1084,1131,1108,1149",single_consensus_bbox,"1084,1131,1108,1149","1006,1131,1186,1233",0,24-24,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00004,27,R21B00004,R21C00004,single_member_family,1,R21A00004,"1006,1131,1018,1137",available_single_member_core,"1006,1131,1018,1137",single_consensus_bbox,"1006,1131,1018,1137","1006,1131,1186,1233",0,12-12,6-6,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00005,27,R21B00005,R21C00005,single_member_family,1,R21A00005,"1030,1221,1042,1233",available_single_member_core,"1030,1221,1042,1233",single_consensus_bbox,"1030,1221,1042,1233","1006,1131,1186,1233",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00006,28,R21B00007;R21B00011,R21C00007;R21C00011,nested_same_core_family,2,R21A00006,"1036,1131,1192,1203",available_shared_atoms,,common_core_only,"1036,1131,1192,1203 | 1036,1131,1192,1233","1006,1131,1192,1233",15,156-156,72-102,0.705882,15,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00007,28,R21B00008,R21C00008,single_member_family,1,R21A00007,"1096,1203,1150,1233",available_single_member_core,"1096,1203,1150,1233",single_consensus_bbox,"1096,1203,1150,1233","1036,1131,1192,1233",0,54-54,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00008,28,R21B00009,R21C00009,single_member_family,1,R21A00008,"1084,1131,1114,1149",available_single_member_core,"1084,1131,1114,1149",single_consensus_bbox,"1084,1131,1114,1149","1006,1131,1192,1233",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00009,28,R21B00010,R21C00010,single_member_family,1,R21A00009,"1006,1131,1024,1143",available_single_member_core,"1006,1131,1024,1143",single_consensus_bbox,"1006,1131,1024,1143","1006,1131,1192,1203",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00010,29,R21B00012;R21B00015,R21C00012;R21C00015,nested_same_core_family,2,R21A00010,"1042,1131,1192,1197",available_shared_atoms,,common_core_only,"1042,1131,1192,1197 | 1042,1131,1192,1245","1042,1131,1192,1245",24,150-150,66-114,0.578947,24,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00011,29,R21B00013,R21C00013,single_member_family,1,R21A00011,"1096,1203,1156,1245",available_single_member_core,"1096,1203,1156,1245",single_consensus_bbox,"1096,1203,1156,1245","1042,1131,1192,1245",0,60-60,42-42,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00012,29,R21B00014,R21C00014,single_member_family,1,R21A00012,"1090,1131,1114,1149",available_single_member_core,"1090,1131,1114,1149",single_consensus_bbox,"1090,1131,1114,1149","1042,1131,1192,1245",0,24-24,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00013,30,R21B00016;R21B00021;R21B00022,R21C00016;R21C00021;R21C00022,nested_same_core_family,3,R21A00013,"1042,1131,1193,1197",available_shared_atoms,,common_core_only,"1042,1131,1193,1197 | 1042,1131,1193,1245 | 1042,1131,1193,1239","1042,1131,1193,1245",24,151-151,66-114,0.578947,24,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00014,30,R21B00017;R21B00023,R21C00017;R21C00023,nested_same_core_family,2,R21A00014,"1096,1203,1162,1245",available_shared_atoms,,common_core_only,"1096,1203,1162,1245 | 1066,1203,1162,1245","1042,1131,1193,1245",15,66-96,42-42,0.6875,15,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
