forward_case_id,window_id,scene,sar_frame,optical_frame_or_range,physical_vehicle_context,response_instance_id,direct_sar_observation,optical_identity_evidence,metric_geometry_constraint,adjacent_frame_evidence,short_window_evidence,medium_window_evidence,lifecycle_evidence,neighbor_vehicle_explanation,background_explanation,mixed_explanation,supporting_evidence,counterevidence,forward_state,remaining_unknown,falsification_condition,forward_evidence_path,target_gt_access_status
FWD-W1-016-R01,W1,GM_RM011,16,7/8; interpolation ratio 0.68,PV001 principal vehicle; near-field truncation does not terminate identity,W1A_R01,Compact fragmented response field at lower central-left fan; directly visible in raw SAR 16.,P1-E keeps the truncated white vehicle as PV001; no vehicle handoff is inferred from clipping.,"Review region approx 150 x 110 px = 4.5 x 3.3 m on the 0.03 m/px display grid; this is a review extent, not a response boundary or resolution claim.",The local field varies across neighboring raw frames while near-origin arcs and an oblique line remain recurrent.,Early W1 short window preserves PV001 identity despite rapidly changing visible fraction.,"Across optical 0-18, PV001 remains the same physical vehicle; SAR local appearance is not constant.",PV001 is established present; no exit event precedes SAR 16.,"No established principal neighboring vehicle occupies the same early-W1 context, reducing but not eliminating alternative ownership.",Persistent near-origin arcs and a diagonal scene return remain viable owners of part or all of R01.,Vehicle plus background mixture remains possible because range is unconstrained.,Direct SAR observation; reliable PV001 lifecycle; broad diagnostic azimuth compatibility.,No reliable range anchor and no exit-based background subtraction; historical azimuth relation is not frozen for GM11.,ATTRIBUTION_PLAUSIBLE,"Exact owner, range, response boundary, and vehicle/background fraction.","GT reveal places PV001 well away from R01, or R01 persists unchanged outside PV001 lifecycle.",reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W1_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W1-044-R01,W1,GM_RM011,44,21/22; interpolation ratio 0.12,PV003 newly present on optical left; PV001 continues on optical right,W1B_R01,Diffuse local response field on the lower-left/mid fan in raw SAR 44.,PV003 and PV001 are separate physical vehicles during optical 20-35 overlap.,Review region approx 170 x 130 px = 5.1 x 3.9 m display-grid extent; no complete body or mask is claimed.,The field changes locally over adjacent SAR frames; the larger fan background remains structured.,PV003 entry and PV001 continuation create a two-owner competition rather than a single continued vehicle.,"W1 lifecycle shows an actual vehicle turnover/overlap, so response continuity cannot bridge identities automatically.",PV003 has entered; PV001 has not yet exited.,PV001 remains a competing owner because its broad diagnostic sector is nearby and range is unknown.,Diffuse fan texture and stable arcs can explain R01 without vehicle ownership.,PV003/background and PV001/background mixtures remain simultaneously viable.,R01 is directly visible; PV003 presence and left-right order constrain possible explanations.,Two vehicles coexist; sector and background ambiguity prevent exclusivity.,MIXED_ATTRIBUTION,"Whether R01 belongs to PV003, PV001, background, or a mixture.","GT reveal excludes R01 from both vehicle neighborhoods, or exit controls show the same field persists as background.",reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W1_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W1-044-R02,W1,GM_RM011,44,21/22; interpolation ratio 0.12,PV003 newly present; PV001 continuing,W1B_R02,Short oblique/compact response at lower-right of the reviewed fan region in raw SAR 44.,PV001 remains physically present on the optical right while PV003 enters on the left.,Review region approx 130 x 100 px = 3.9 x 3.0 m display-grid extent; orientation is observation-only.,The oblique structure has neighboring-frame support but also resembles a stable scene line.,Two-vehicle overlap prevents current-frame salience from defining ownership.,The same scene contains recurrent oblique structures beyond a single vehicle observation.,PV001 present and approaching its later partial phase; PV003 present after entry.,PV003 is a competing vehicle explanation because the diagnostic sectors are broad and range is absent.,A persistent diagonal scene return is a direct alternative explanation.,Vehicle plus diagonal-background mixture is plausible.,Direct local observation and broad compatibility with PV001 optical side.,The same line family is visible outside a unique vehicle context.,MIXED_ATTRIBUTION,Owner and whether the observed line is scene background.,GT reveal is spatially incompatible or later no-vehicle frames retain the same oblique response.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W1_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W1-070-R01,W1,GM_RM011,70,33/34; interpolation ratio 0.60,PV003 continuing on optical left; PV001 remains only as a late partial view on optical right,W1C_R01,Compact fragmented lower-left response cluster in raw SAR 70.,P1-E keeps PV003 and PV001 identity-distinct; no appearance-based merge is permitted.,Review region approx 180 x 120 px = 5.4 x 3.6 m display-grid extent; not a body box.,Local brightness and fragment arrangement change while the broad scene arc persists.,Late-W1 two-vehicle context supplies side/order constraints.,"PV003 lifecycle continues past W1 while PV001 ends at optical 35, forbidding later response carryover to PV001.",PV003 present; PV001 near the end of its optical lifecycle.,PV001 is less compatible with the left-side sector but cannot be fully excluded without range.,Lower-left fan texture and persistent arcs remain viable.,PV003 plus background mixture remains plausible.,"Direct response, distinct identities, separated optical-side constraints.",No exact SAR location or range; response is incomplete and scene-confounded.,ATTRIBUTION_PLAUSIBLE,Unique PV003 ownership and response boundary.,GT reveal places PV003 away from R01 or R01 remains after PV003 exits.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W1_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W1-070-R02,W1,GM_RM011,70,33/34; interpolation ratio 0.60,PV003 continuing; PV001 late partial on opposite optical side,W1C_R02,Small lower-right response field in raw SAR 70.,PV001 is still visible at optical 33/34 and is not merged with PV003.,Review region approx 150 x 100 px = 4.5 x 3.0 m display-grid extent; no complete boundary claim.,"The local field varies, while a nearby diagonal scene structure shows longer persistence.",PV001/PV003 overlap supplies an explicit competing-owner test.,PV001 ends at optical 35; any later persistence would contradict exclusive PV001 ownership.,PV001 present but near exit; PV003 continues.,PV003 is less compatible with the right-side diagnostic sector but cannot be removed solely by optical order.,Diagonal line/background texture remains viable.,PV001 plus background mixture remains plausible.,Direct response; PV001 presence; right-side broad azimuth compatibility.,No range anchor and known persistent diagonal background.,ATTRIBUTION_PLAUSIBLE,"Owner, background fraction, and post-exit behavior.",R02 persists after PV001 exit or GT reveal is incompatible with PV001 geometry.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W1_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W2-292-R01,W2,GM_RM011,292,140/141; interpolation ratio 0.16,PV008 white Honda; PV007 dark sedan; PV006 edge remnant,W2A_R01,Compact fragmented response cluster within a dense lower-fan field in raw SAR 292.,P1-E records distinct PV008/PV007 and an edge PV006 observation; optical salience is not ownership.,Review region approx 190 x 150 px = 5.7 x 4.5 m display-grid extent; only a local observation region.,"The cluster changes across neighboring frames, but multiple scene structures change or persist nearby.",PV008/PV007 coexist through the local window.,"W2 contains three-vehicle overlap and turnover, so a single response cannot be assigned by visual dominance.",PV007 and PV008 present; PV006 is an edge remnant outside the requested principal pair.,"PV008, PV007, and PV006 broad sectors overlap around R01.",Dense lower-fan background provides a viable non-vehicle explanation.,Any of the three vehicles plus background remains possible.,Direct observation and complete multi-vehicle context.,"No exclusivity: overlapping diagnostic sectors, no range, response-rich background.",MIXED_ATTRIBUTION,Vehicle owner and whether R01 is primarily background.,GT reveal excludes all vehicle neighborhoods or wrong-time controls reproduce R01 equally well.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W2_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W2-304-R01,W2,GM_RM011,304,145/146; interpolation ratio 0.92,PV008 white Honda and PV007 dark sedan both present during optical dominance competition,W2B_R01,Compact central/lower fragmented response in raw SAR 304.,PV008 and PV007 remain separate physical identities despite which body dominates the current optical frame.,Review region approx 200 x 140 px = 6.0 x 4.2 m display-grid extent; it is not a target box.,Local pattern changes in adjacent SAR frames without yielding a unique trajectory.,Short-window optical salience changes do not terminate either lifecycle.,PV007 later exits while PV008 continues; that future exclusion is not yet sufficient at SAR 304.,Both PV007 and PV008 present.,Each vehicle is a serious competing owner because the sectors overlap.,Structured lower-fan clutter remains viable.,PV007/PV008/background mixtures cannot be separated.,Direct local response and reliable dual-identity context.,No range or exclusive spatial relation; background persists.,MIXED_ATTRIBUTION,Unique owner and whether response follows either vehicle.,GT reveal favors neither vehicle or negative controls reproduce the same explanation at wrong positions.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W2_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W2-338-R01,W2,GM_RM011,338,162/163; interpolation ratio 0.24,PV009 covered vehicle on optical left; PV008 visible but unboxed on optical right; PV007 exited,W2C_R01,Small lower-left fragmented response in raw SAR 338.,Optical registry keeps PV009 and PV008 distinct and explicitly preserves visible-but-unboxed PV008.,Review region approx 170 x 130 px = 5.1 x 3.9 m display-grid extent; not a full vehicle boundary.,Local fragments change; the near-origin arc persists.,"After PV007 exit, the remaining two vehicles occupy separated optical sides.",W2 lifecycle prevents assigning later responses to departed PV007.,PV009 and PV008 present; PV007 absent after optical 151.,PV008 is less compatible with R01's broad left-side sector but remains a secondary alternative because mapping is blocked.,Persistent lower-left fan structure remains viable.,PV009 plus background mixture remains plausible.,Direct response; lifecycle exclusion of PV007; separated optical-side identities.,No range anchor and broad diagnostic mapping only.,ATTRIBUTION_PLAUSIBLE,PV009 ownership and background contribution.,GT reveal is incompatible with PV009 or R01 persists in wrong-time/background controls.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W2_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W2-338-R02,W2,GM_RM011,338,162/163; interpolation ratio 0.24,PV009 left; PV008 visible but unboxed right; PV007 exited,W2C_R02,Compact right-of-center response field in raw SAR 338.,PV008 remains optically present even though frame 162 lacks a detector box; identity is not equated with box presence.,Review region approx 170 x 130 px = 5.1 x 3.9 m display-grid extent; not a response mask.,The field varies over adjacent frames while neighboring lines persist.,PV008 persists through optical 166 while PV007 has already exited.,Full lifecycle rules out continuing PV007 ownership.,PV008 present; PV007 absent; PV009 present on opposite side.,PV009 is less compatible with the right-side sector but not fully excluded without range.,Right-side stable line/texture remains viable.,PV008 plus background mixture remains plausible.,Direct response; visible PV008 identity; exit-based rejection of PV007.,Mapping and range are not frozen; background persistence is unresolved.,ATTRIBUTION_PLAUSIBLE,PV008 ownership and whether the response is background.,GT reveal is incompatible with PV008 or the same structure survives after PV008 exit.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W2_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
FWD-W3-494-R01,W3,GM_RM011,494,237/238; interpolation ratio 0.12,PV010 present; visually similar later vehicles not yet merged into its identity,W3A_R01,Short right-of-center oblique response in raw SAR 494.,PV010 identity is stable through optical 245; later PV011 is a separate physical vehicle.,Review region approx 170 x 130 px = 5.1 x 3.9 m display-grid extent; orientation is not a fixed vehicle part.,The local return changes while a longer oblique background line remains visible in the scene.,PV010 is the only established principal vehicle at optical 237/238.,"Later similar white vehicles create a prospective identity counterexample, not continuity evidence for PV010.",PV010 present; PV011 entry begins later at optical 243.,"No established principal neighbor in the immediate frame, reducing neighbor competition.",A stable oblique scene structure crosses the same broad region.,PV010 plus background mixture remains plausible.,Direct response; stable PV010 lifecycle; broad side compatibility.,No range and explicit oblique-background alternative.,ATTRIBUTION_PLAUSIBLE,"Whether R01 is vehicle, background, or mixed.",GT reveal excludes R01 or wrong-time frames reproduce the same oblique response.,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/F_W3_FORWARD_BLIND_EVIDENCE.png,NOT_ACCESSED_BEFORE_FREEZE
