context_edge_id,scene_id,from_fragment_id,to_fragment_id,context_relation_type,context_evidence,identity_relation,note
GM_RM011_WGTCE001,GM_RM011,GM_RM011_WGF004,GM_RM011_WGF005,same_frame_competition,26-30 center jumps over 497px inside old Y26N004,blocked_not_same_vehicle,diagnostic context edge only;records why old Y26N004 is split
GM_RM011_WGTCE002,GM_RM011,GM_RM011_WGF005,GM_RM011_WGF006,vehicle_turnover_context,post-switch fragment 31-35 appears after ambiguous jump zone,unknown_identity_relation,do not make a same-vehicle edge without human review
GM_RM011_WGTCE003,GM_RM011,GM_RM011_WGF007,GM_RM011_WGF008,occlusion_context,137-138 center jump and likely white-to-black subject change,temporal_context_not_identity,handles GM_RM011 135-166 occlusion subject switch
GM_RM011_WGTCE004,GM_RM011,GM_RM011_WGF008,GM_RM011_WGF009,occlusion_context,150-151 area ratio jump 3.82 and reappearance risk,temporal_context_not_identity,keeps occlusion-driven target switch out of same-vehicle edges
GM_RM011_WGTCE005,GM_RM011,GM_RM011_WGF009,GM_RM011_WGF010,occlusion_context,thin right-edge crop follows previous occlusion window,unknown_identity_relation,review-only context;not same-vehicle evidence
GM_RM011_WGTCE006,GM_RM011,GM_RM011_WGF012,GM_RM011_WGF013,front_to_front_encounter,manual risk case says around 237 and 245 may be different vehicles facing each other,different_vehicle_context,temporal context is the identity-safe default for fragment A to B
GM_RM011_WGTCE007,GM_RM011,GM_RM011_WGF013,GM_RM011_WGF014,rear_to_front_adjacency,264-265 center jump 453.9px and 262 versus 270 may be different vehicles,different_vehicle_context,GM_RM011 237-270 is no longer a single Y26N009 same-vehicle node
GM_RM011_WGTCE008,GM_RM011,GM_RM011_WGF014,GM_RM011_WGF015,vehicle_turnover_context,late handoff from 270 to 279 is not identity-safe after fragment C,unknown_identity_relation,requires human review before any same-vehicle relation
GM_RM011_WGTCE009,GM_RM011,GM_RM011_WGF015,GM_RM011_WGF016,vehicle_turnover_context,old Y26N012 has 288-289 center jump around 463px,unknown_identity_relation,late central white vehicle candidate split before accepting identity
GM_RM011_WGTCE010,GM_RM011,GM_RM011_WGF015,GM_RM011_WGF017,competitor_vehicle_context,left-edge competitor overlaps late central white vehicle window,forbidden_context_not_identity,keeps GM_RM011_E007 as forbidden guard context
GM_RM017_WGTCE001,GM_RM017,GM_RM017_WGF001,GM_RM017_WGF002,competitor_vehicle_context,pre-145 truck or context vehicle must be separated from leading dark or mixed target,different_vehicle_context,GM_RM017 118-214 is split into review targets
GM_RM017_WGTCE002,GM_RM017,GM_RM017_WGF002,GM_RM017_WGF003,same_frame_competition,159-163 dense window contains large center jumps and multiple candidate families,blocked_not_same_vehicle,transition zone is context evidence only
GM_RM017_WGTCE003,GM_RM017,GM_RM017_WGF003,GM_RM017_WGF004,occlusion_context,target switch zone precedes white sedan or SUV review target,unknown_identity_relation,do not use detector-only identity for white vehicle target
GM_RM017_WGTCE004,GM_RM017,GM_RM017_WGF004,GM_RM017_WGF005,vehicle_turnover_context,white vehicle around 164-185 differs from trailing dark vehicle around 200-214,different_vehicle_context,keeps GM_RM017 dark and white review targets separated
GM_RM017_WGTCE005,GM_RM017,GM_RM017_WGF002,GM_RM017_WGF005,competitor_vehicle_context,leading and trailing dark vehicle relation remains forbidden guard review,forbidden_context_not_identity,GM_RM017_E001 remains forbidden guard;not SAR-ready
