gate_id,status,evidence,notes
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-gm017-physical-factor-discovery,
START_COMMIT_ANCESTRY_VALID,PASS,4ec662b36d0dc203dde5e165b94c786798ee0bde,
E0_R1_R1_FROZEN_UNCHANGED,PASS,E0_R1_R1=unchanged_since_start,
PRE_EVAL_SEAL_VALID,PASS,seal ok,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=8,
HEADING_OBSERVABILITY_AUDIT_COMPLETE,PASS,all_frames=71 observable;unresolved=0,
DIAGNOSIS_ASPECT_OBSERVABLE,PASS,diag_obs=24;diag_high=0,
ASPECT_SPAN_SUFFICIENT,NOT_READY,cal_span=35.868228;diag_span=18.756001;diag_inside_cal=false,
ASPECT_UNCERTAINTY_BOUNDED,PASS,median_ci_all=0.921609,
RESPONSE_DESCRIPTOR_COMPLETE,PASS,vehicle_observable_rows=71,
ASPECT_RESPONSE_MODEL_FROZEN,PASS,descriptor set and Gate thresholds fixed from calibration,
ASPECT_RESPONSE_SMOOTHNESS_SUPPORTED,NOT_READY,smoothness=-0.006206;abrupt=16;large=0,
SAME_ASPECT_REPEATABILITY_SUPPORTED,NOT_READY,same_pairs=30;different_pairs=0;effect=0.379348,
RANGE_CONFOUNDER_REJECTED,SUPPORTED,r2_aspect=0.362385;r2_range=0.056597,
TIME_ORDER_CONFOUNDER_REJECTED,NOT_READY,r2_aspect=0.362385;r2_time=0.06148;shuffle_ok=False,
GT_ATTACHED_BACKGROUND_CONTROL_COMPLETE,PASS,corridor_groups=4,
PERSISTENT_STRONG_COUNTERFACTUAL_COMPLETE,PASS,persistent_groups=1,
FIXED_BACKGROUND_ASPECT_CONTROL_COMPLETE,PASS,fixed_groups=3,
GT_ATTACHED_BACKGROUND_REJECTED,SUPPORTED,corridor_groups=4;reproducing_groups=0,
PERSISTENT_STRONG_COUNTERFACTUAL_REJECTED,SUPPORTED,persistent_groups=1;reproducing_groups=0,
FIXED_BACKGROUND_ASPECT_COUPLING_REJECTED,SUPPORTED,fixed_groups=3;reproducing_groups=0,
VEHICLE_MULTI_ASPECT_RESPONSE_SUPPORTED,NOT_READY,all_primary_gates_pass=False,same-scene GT-conditioned posthoc only
E0_R2_PHYSICAL_MECHANISM_SUPPORTED,NOT_READY,requires all E0-R2 multi-aspect Gates to pass,
E0_R2_READY_FOR_CROSS_VEHICLE_VALIDATION,NOT_READY,GM_RM017 same-scene audit only; no cross-vehicle package,
