reverse_case_id,forward_case_id,gt_quality,gt_center_size_angle,actual_vehicle_identity,response_inside_or_near_gt,vehicle_present_response_weak_or_absent,forward_identity_correct,forward_region_compatible,forward_background_error,forward_neighbor_error,missed_vehicle_evidence,gt_conflict,reverse_explanation,reverse_counterexample,reverse_state,reverse_evidence_path
REV-W1-016-R01,FWD-W1-016-R01,same-frame PV001 usable; linked high; two near-identical rows,"SAR16 PV001 preferred: center=(1155.377,1248.565); size=(135.333,64.847) px; angle=-10 deg",GM_RM011:PV001,GT encloses a local near-origin response mixed with strong arc/fan structure; it is not a complete response mask.,vehicle present; partial local response visible; ownership of all GT-internal brightness remains unproven,"yes, PV001 identity was correct",no; frozen W1A_R01 is roughly 160 px higher in range than the same-frame GT,yes; the selected upper field followed a response-like scene structure while the actual GT was near origin,"no principal neighbor selected, but GT audit marks multi-vehicle/neighbor risk in the source row",near-origin GT-local response at SAR16 was not selected forward,two usable PV001 boxes overlap by 0.991 and are redundant links; not a second vehicle,The forward vehicle identity was right but the response region was wrong. The correct GT-local observation became visible only after reveal and remains background-mixed.,A wrong-position box shifted upward captures response-like texture and would support the same loose explanation.,FORWARD_FALSE_ATTRIBUTION,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W1_REVERSE_GT_AUDIT.png
REV-W1-044-R01,FWD-W1-044-R01,no same-frame GT; direct bracket anchors: PV001 usable@36; PV001 diagnostic-only and PV003 usable@58,"no SAR44 GT; SAR36 PV001=(1188.642,1250.802,127.942,63.440,-23); SAR58 PV003=(1094.639,1202.166,70.306,166.516,-27)",GM_RM011:PV001 and GM_RM011:PV003 both optically present,cannot be decided at SAR44 without interpolation,both vehicles present; direct SAR response ownership unresolved,"yes, the two identities were kept separate",not directly testable; neither bracketing anchor supports treating W1B_R01 as a known vehicle region,possible; diffuse fan texture remains a full alternative,unresolved between PV001 and PV003,bracketing direct GTs lie near the origin rather than in the frozen upper-left region,GT gap; PV001 anchor at58 is diagnostic-only,"The forward mixed state was appropriately non-unique, but no same-frame GT can close or refute ownership.",Interpolating between 36 and58 would fabricate a SAR position and is explicitly rejected.,BOUNDED_UNRESOLVED,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W1_REVERSE_GT_AUDIT.png
REV-W1-044-R02,FWD-W1-044-R02,no same-frame GT; same direct bracket anchors as REV-W1-044-R01,no SAR44 GT; direct GT only at36 and58,GM_RM011:PV001 and GM_RM011:PV003,cannot be decided at SAR44,vehicles present; R02 may be a persistent diagonal background return,yes,not supported by direct GT anchors; no authorized interpolation,likely risk; the oblique line family persists,PV001/PV003 competition unresolved,near-origin direct anchor evidence was not represented by R02,GT gap and diagnostic-only PV001 anchor at58,R02 cannot be upgraded. Its strongest reverse interpretation is still background or mixture.,The same oblique family is present outside a unique vehicle interval.,BOUNDED_UNRESOLVED,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W1_REVERSE_GT_AUDIT.png
REV-W1-070-R01,FWD-W1-070-R01,no same-frame GT; nearest direct PV003 anchor@73 usable and linked high,"SAR73 PV003 center=(1119.998,1202.761); size=(69.777,169.918) px; angle=157 deg",GM_RM011:PV003,"anchor GT contains a vertical, incomplete, background-mixed near-origin response",vehicle present; response is weak/partial rather than a complete body,yes for PV003,no direct support; W1C_R01 is far above-left of the three-frame-later anchor,possible; selected cluster is outside the direct anchor neighborhood,"PV001/PV003 overlap was preserved, but actual PV003 evidence was missed",PV003 near-origin vertical GT-local response appears only in reverse anchor review,no same-frame GT; anchor is usable but cannot be copied back,"The physical vehicle identity was available, but the correct local SAR evidence could only be identified after revealing the nearby GT anchor.","A shifted region can capture other bright fragments, so reverse-only GT localization has no forward discriminative force.",REVERSE_POSTHOC_ONLY,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W1_REVERSE_GT_AUDIT.png
REV-W1-070-R02,FWD-W1-070-R02,no same-frame GT; nearest PV003 anchor@73; no PV001 direct GT at73,"SAR73 PV003 only: center=(1119.998,1202.761); size=(69.777,169.918); angle=157",PV001 near optical exit; PV003 continuing,W1C_R02 has no direct GT support and lies away from the PV003 anchor,PV001 optical presence does not provide SAR geometry,"PV001 existence was correctly retained, but SAR ownership was not established",unsupported; no PV001 GT and region is inconsistent with the only nearby direct PV003 anchor,yes risk; right-side compact field can be scene structure,PV003 is the only nearby direct GT vehicle and does not support R02,PV003 GT-local evidence was elsewhere; PV001 SAR evidence remains unknown,GT absence for PV001 at the boundary; must remain unknown,The forward plausible PV001 ownership cannot survive reverse audit. Optical lifecycle alone did not create SAR evidence.,Persisting right-side/diagonal texture after PV001 exit defeats exclusive ownership.,FORWARD_FALSE_ATTRIBUTION,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W1_REVERSE_GT_AUDIT.png
REV-W2-292-R01,FWD-W2-292-R01,no same-frame GT; nearest anchor@284 has diagnostic-only PV006/PV007/PV008 rows,"SAR284 centers: PV008=(1100.239,1165.425), PV007=(1171.607,1178.820), PV006=(1246.823,1187.062); vertical vehicle-scale boxes","PV008, PV007 and PV006 context",not decidable at292; anchor boxes lie near origin and contain weak/diffuse responses,vehicles present; local responses are incomplete and mutually crowded,"yes, multi-vehicle context was retained",not directly testable and not supported by the nearest direct anchor,possible; frozen R01 sits in response-rich central clutter,unresolved among three adjacent vehicles,near-origin multi-box geometry was absent from forward R01,all nearest anchors diagnostic-only and neighbor-risk marked,"The mixed forward state was prudent, but there is no direct same-frame basis for ownership.",Three nearby wrong-owner assignments can all find structure under a loose brightness explanation.,BOUNDED_UNRESOLVED,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W2_REVERSE_GT_AUDIT.png
REV-W2-304-R01,FWD-W2-304-R01,no same-frame GT; nearest anchor@315 has usable PV008/PV007 rows,"SAR315 PV008=(1196.194,1196.731,73.900,163.084,5); PV007=(1267.660,1209.040,70.111,142.840,9)",GM_RM011:PV008 and GM_RM011:PV007,anchor boxes contain weak fragmented near-origin responses with slight box overlap,both vehicles present; no complete response boundary,yes,not supported by anchor; frozen region is substantially farther in range,possible; central clutter explains R01,PV008/PV007 remain inseparable at304 without direct GT,near-origin dual-vehicle response was not selected,no same-frame GT; slight neighboring overlap at315,Identity was correct but geometry was not closed; the result remains bounded rather than repaired.,Back-interpolating usable boxes from315 would alter the frozen forward answer.,BOUNDED_UNRESOLVED,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W2_REVERSE_GT_AUDIT.png
REV-W2-338-R01,FWD-W2-338-R01,nearest anchor@335: PV009 diagnostic-only; linked high,"SAR335 PV009 center=(1072.276,1251.935); size=(139.765,65.852); angle=-2 deg",GM_RM011:PV009,"GT-local region lies at the near-origin horizontal response/arc, not frozen W2C_R01",vehicle present; GT-local return is background-confounded,PV009 identity/context correct,no; three-frame separation cannot explain the large radial mismatch,yes; frozen R01 selected unrelated upper-left response-like texture,PV008 was correctly separated but neither frozen region matches its direct anchor,PV009 near-origin horizontal GT-local response missed,PV009 row is diagnostic-only,The forward plausible region is falsified by nearby direct geometry; GT-local evidence is weak and cannot be called a complete response.,"Up-shifted wrong-position boxes still capture structure, demonstrating the forward rule was too permissive.",FORWARD_FALSE_ATTRIBUTION,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W2_REVERSE_GT_AUDIT.png
REV-W2-338-R02,FWD-W2-338-R02,nearest anchor@335: PV008 usable; linked high,"SAR335 PV008 center=(1254.000,1145.258); size=(80.290,201.710); angle=355 deg",GM_RM011:PV008,GT-local vertical region contains weak/diffuse response and background line interaction,vehicle present; response partial/weak,yes; visible-but-unboxed PV008 was correctly preserved,no; frozen W2C_R02 is far above the three-frame-prior usable GT,yes risk; forward selected a higher response-like field,"PV009 separated correctly, but geometry did not identify PV008",actual PV008 vertical near-origin evidence found only after GT reveal,none severe; PV008 usable but response completeness not established,"The correct vehicle identity survived, yet the correct SAR evidence was only explainable posthoc from GT.","Wrong-position and wrong-orientation boxes also contain response-like texture, so the reverse explanation cannot validate the forward mechanism.",REVERSE_POSTHOC_ONLY,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W2_REVERSE_GT_AUDIT.png
REV-W3-494-R01,FWD-W3-494-R01,no same-frame GT; first direct anchors@506/510 for PV010/PV011 are usable,"SAR506 PV010=(1269.064,1259.405,149.711,72.746,3); PV011=(1058.974,1249.690,144.761,71.310,1)",PV010 at494; PV011 enters by later anchor interval,later direct GTs contain weak near-origin returns; frozen R01 follows an upper oblique structure,PV010 present; direct GT-local response at later anchors is weak/partial,yes for PV010; no identity merge,no support; first anchors are far lower in range and introduce a second vehicle,yes; upper oblique structure is a persistent scene alternative,later PV011 geometry cannot be backfilled into494,near-origin PV010 evidence appears only in later direct anchors,GT gap at494 and lifecycle change before first anchor,The frozen R01 is not supported by direct geometry; using later GT to explain494 exactly would be invalid backfill.,Wrong-position boxes on upper line-like texture look plausible under the same loose explanation.,FORWARD_FALSE_ATTRIBUTION,reports/oty2/samples/oty2_rsa2_o2_bidirectional_review_pack_20260718/R_W3_REVERSE_GT_AUDIT.png
