eval_id,runtime_entity_id,structure_id,sar_frame,discovery_label_eval_only,vehicle_identity_eval_only,runtime_class,blind_object_id,blind_judgement,gt_exact_frame_available,gt_relation_eval_only,gt_overlap_eval_only,gt_center_distance_eval_only,runtime_false_reject,runtime_false_accept,runtime_blind_disagreement,blind_gt_disagreement,gt_assisted_explanation_cn,provenance
R1EV0001,R1Y0001,R1S0001,27,discovery_positive_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_001,vehicle_structure,true,overlaps_gt_eval_only,0.577259,50.482441,true,false,true,false,运行时拒绝或未判定 body_core_candidate;isolated_small_atom;unresolved_atom，但盲审认为有车辆部件支持；若 GT 关系接近目标，这是 R1 误拒候选。,eval_only_gt_assisted
R1EV0002,R1Y0002,R1S0002,28,discovery_positive_eval_only,white_suv_eval_only,vehicle_supported_runtime,BLIND_OBJECT_002,vehicle_structure,false,no_exact_gt_for_frame,,,false,false,false,false,冻结结构 body_core_candidate;unresolved_atom 与盲审车辆支持一致；GT 关系为 no_exact_gt_for_frame。若只重叠局部目标，说明 SAR 车辆响应是部件级而非完整框。,eval_only_gt_assisted
R1EV0003,R1Y0003,R1S0003,29,discovery_positive_eval_only,white_suv_eval_only,vehicle_supported_runtime,BLIND_OBJECT_003,vehicle_structure,false,no_exact_gt_for_frame,,,false,false,false,false,冻结结构 body_core_candidate;unresolved_atom 与盲审车辆支持一致；GT 关系为 no_exact_gt_for_frame。若只重叠局部目标，说明 SAR 车辆响应是部件级而非完整框。,eval_only_gt_assisted
R1EV0004,R1Y0004,R1S0004,30,discovery_positive_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_004,vehicle_structure,false,no_exact_gt_for_frame,,,true,false,true,false,运行时拒绝或未判定 body_core_candidate;isolated_small_atom;unresolved_atom，但盲审认为有车辆部件支持；若 GT 关系接近目标，这是 R1 误拒候选。,eval_only_gt_assisted
R1EV0005,R1Y0005,R1S0005,31,discovery_positive_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_005,vehicle_part,true,overlaps_gt_eval_only,0.67115,49.597943,true,false,true,false,运行时拒绝或未判定 endpoint_hotspot_candidate;unresolved_atom，但盲审认为有车辆部件支持；若 GT 关系接近目标，这是 R1 误拒候选。,eval_only_gt_assisted
R1EV0006,R1Y0006,R1S0006,32,discovery_negative_or_uncertain_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_006,unresolved,false,no_exact_gt_for_frame,,,false,false,false,false,运行时 unresolved_runtime、盲审 unresolved、GT 关系 no_exact_gt_for_frame；保留为背景、未解或机制反例。,eval_only_gt_assisted
R1EV0007,R1Y0007,R1S0007,34,blind_holdout_unlabeled_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_007,vehicle_structure,false,no_exact_gt_for_frame,,,false,false,true,false,运行时拒绝或未判定 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom，但盲审认为有车辆部件支持；若 GT 关系接近目标，这是 R1 误拒候选。,eval_only_gt_assisted
R1EV0008,R1Y0008,R1S0008,39,blind_holdout_unlabeled_eval_only,white_suv_eval_only,unresolved_runtime,BLIND_OBJECT_008,vehicle_structure,false,no_exact_gt_for_frame,,,false,false,true,false,运行时拒绝或未判定 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom，但盲审认为有车辆部件支持；若 GT 关系接近目标，这是 R1 误拒候选。,eval_only_gt_assisted
R1EV0009,R1Y0009,R1S0009,39,blind_holdout_unlabeled_eval_only,white_suv_eval_only,background_like_runtime,BLIND_OBJECT_009,background,false,no_exact_gt_for_frame,,,false,false,false,false,运行时 background_like_runtime、盲审 background、GT 关系 no_exact_gt_for_frame；保留为背景、未解或机制反例。,eval_only_gt_assisted
R1EV0010,R1Y0010,R1S0010,39,blind_holdout_unlabeled_eval_only,white_suv_eval_only,background_like_runtime,BLIND_OBJECT_010,background,false,no_exact_gt_for_frame,,,false,false,false,false,运行时 background_like_runtime、盲审 background、GT 关系 no_exact_gt_for_frame；保留为背景、未解或机制反例。,eval_only_gt_assisted
