independent_geometry_id,sar_frame,from_threshold_setting,to_threshold_setting,component_overlap_iou,high_threshold_contained_in_low_threshold,component_centroid_shift_m,component_area_retention_ratio,component_axis_change_deg,from_component_count,to_component_count,threshold_component_identity_status
GM019IG0001,34,positive_weight_q50,positive_weight_q70,0.461538,true,0.07515,0.461538,7.649365,26,17,SAME_COMPONENT_PERSISTENT
GM019IG0001,34,positive_weight_q70,positive_weight_q85,0.518018,true,0.070111,0.518018,2.65749,17,17,SAME_COMPONENT_PERSISTENT
GM019IG0002,212,positive_weight_q50,positive_weight_q70,0.175922,true,0.341807,0.175922,58.979949,794,749,COMPONENT_IDENTITY_SWITCH
GM019IG0002,212,positive_weight_q70,positive_weight_q85,0.170507,true,0.30023,0.170507,74.962663,749,591,COMPONENT_IDENTITY_SWITCH
GM019IG0003,213,positive_weight_q50,positive_weight_q70,0.692308,true,0.036449,0.692308,7.316967,55,50,SAME_COMPONENT_PERSISTENT
GM019IG0003,213,positive_weight_q70,positive_weight_q85,0.474747,true,0.066228,0.474747,70.961042,50,30,SAME_COMPONENT_PERSISTENT
GM019IG0004,216,positive_weight_q50,positive_weight_q70,0,false,1.841071,0.208624,2.913148,818,711,COMPONENT_SPLIT_OR_MERGE
GM019IG0004,216,positive_weight_q70,positive_weight_q85,0,false,1.900428,0.318136,40.234017,711,495,COMPONENT_SPLIT_OR_MERGE
GM019IG0005,213,positive_weight_q50,positive_weight_q70,0.186604,true,0.444248,0.186604,3.04824,681,661,COMPONENT_IDENTITY_SWITCH
GM019IG0005,213,positive_weight_q70,positive_weight_q85,0.19942,true,0.206346,0.19942,3.238222,661,522,COMPONENT_IDENTITY_SWITCH
GM019IG0006,213,positive_weight_q50,positive_weight_q70,0.186604,true,0.444336,0.186604,2.982888,725,673,COMPONENT_IDENTITY_SWITCH
GM019IG0006,213,positive_weight_q70,positive_weight_q85,0.19942,true,0.206346,0.19942,3.238222,673,522,COMPONENT_IDENTITY_SWITCH
GM019IG0007,39,positive_weight_q50,positive_weight_q70,0.569853,true,0.036985,0.569853,1.983122,51,30,SAME_COMPONENT_PERSISTENT
GM019IG0007,39,positive_weight_q70,positive_weight_q85,0.425806,true,0.121766,0.425806,1.307574,30,15,SAME_COMPONENT_PERSISTENT
GM019IG0008,220,positive_weight_q50,positive_weight_q70,0.560386,true,0.060773,0.560386,7.933058,25,34,SAME_COMPONENT_PERSISTENT
GM019IG0008,220,positive_weight_q70,positive_weight_q85,0.37069,true,0.112623,0.37069,4.03025,34,20,SAME_COMPONENT_PERSISTENT
GM019IG0009,40,positive_weight_q50,positive_weight_q70,0.654714,true,0.023445,0.654714,0.305776,212,93,COMPONENT_IDENTITY_SWITCH
GM019IG0009,40,positive_weight_q70,positive_weight_q85,0.29716,true,0.618894,0.29716,22.209908,93,47,COMPONENT_IDENTITY_SWITCH
GM019IG0010,224,positive_weight_q50,positive_weight_q70,0.420721,true,0.279528,0.420721,3.472144,607,510,COMPONENT_IDENTITY_SWITCH
GM019IG0010,224,positive_weight_q70,positive_weight_q85,0.14195,true,1.018561,0.14195,57.632278,510,407,COMPONENT_IDENTITY_SWITCH
GM019IG0011,224,positive_weight_q50,positive_weight_q70,0.321289,true,0.491079,0.321289,29.308243,673,522,COMPONENT_IDENTITY_SWITCH
GM019IG0011,224,positive_weight_q70,positive_weight_q85,0.137637,true,0.979662,0.137637,58.491974,522,420,COMPONENT_IDENTITY_SWITCH
GM019IG0012,212,positive_weight_q50,positive_weight_q70,0,false,0.543588,0.429577,56.577962,33,26,COMPONENT_SPLIT_OR_MERGE
GM019IG0012,212,positive_weight_q70,positive_weight_q85,0.606557,true,0.014667,0.606557,26.170884,26,23,COMPONENT_SPLIT_OR_MERGE
GM019IG0013,213,positive_weight_q50,positive_weight_q70,0.575592,true,0.046463,0.575592,2.045864,43,42,COMPONENT_IDENTITY_SWITCH
GM019IG0013,213,positive_weight_q70,positive_weight_q85,0.237342,true,0.247424,0.237342,26.586237,42,27,COMPONENT_IDENTITY_SWITCH
GM019IG0014,27,positive_weight_q50,positive_weight_q70,0.695652,true,0.015075,0.695652,0.455624,4,2,SAME_COMPONENT_PERSISTENT
GM019IG0014,27,positive_weight_q70,positive_weight_q85,0.5,true,0.008498,0.5,2.818376,2,2,SAME_COMPONENT_PERSISTENT
GM019IG0015,28,positive_weight_q50,positive_weight_q70,0.755319,true,0.005113,0.755319,0.876027,23,17,SAME_COMPONENT_PERSISTENT
GM019IG0015,28,positive_weight_q70,positive_weight_q85,0.521127,true,0.019803,0.521127,11.229184,17,6,SAME_COMPONENT_PERSISTENT
GM019IG0016,220,positive_weight_q50,positive_weight_q70,0.140335,true,0.809452,0.140335,58.079332,586,485,COMPONENT_IDENTITY_SWITCH
GM019IG0016,220,positive_weight_q70,positive_weight_q85,0,false,1.608598,0.314465,67.963373,485,361,COMPONENT_IDENTITY_SWITCH
GM019IG0017,224,positive_weight_q50,positive_weight_q70,0.642857,true,0.017287,0.642857,3.762276,150,96,SAME_COMPONENT_PERSISTENT
GM019IG0017,224,positive_weight_q70,positive_weight_q85,0.261905,true,0.256319,0.261905,33.453015,96,59,SAME_COMPONENT_PERSISTENT
GM019IG0018,224,positive_weight_q50,positive_weight_q70,0.582609,true,0.035058,0.582609,18.072382,15,10,COMPONENT_IDENTITY_SWITCH
GM019IG0018,224,positive_weight_q70,positive_weight_q85,0.223881,true,0.123867,0.223881,36.090023,10,7,COMPONENT_IDENTITY_SWITCH
GM019IG0019,227,positive_weight_q50,positive_weight_q70,0.254882,true,0.452343,0.254882,57.961836,517,465,COMPONENT_IDENTITY_SWITCH
GM019IG0019,227,positive_weight_q70,positive_weight_q85,0.126344,true,0.470873,0.126344,6.914927,465,349,COMPONENT_IDENTITY_SWITCH
GM019IG0020,227,positive_weight_q50,positive_weight_q70,0.315663,true,0.586509,0.315663,48.090878,542,474,COMPONENT_IDENTITY_SWITCH
GM019IG0020,227,positive_weight_q70,positive_weight_q85,0.122391,true,1.099599,0.122391,49.259935,474,367,COMPONENT_IDENTITY_SWITCH
GM019IG0021,216,positive_weight_q50,positive_weight_q70,0.282895,true,0.246413,0.282895,36.735328,30,27,SAME_COMPONENT_PERSISTENT
GM019IG0021,216,positive_weight_q70,positive_weight_q85,0.418605,true,0.042463,0.418605,38.090574,27,18,SAME_COMPONENT_PERSISTENT
GM019IG0022,34,positive_weight_q50,positive_weight_q70,0.551136,true,0.042729,0.551136,1.896669,42,33,SAME_COMPONENT_PERSISTENT
GM019IG0022,34,positive_weight_q70,positive_weight_q85,0.659794,true,0.016314,0.659794,0.461716,33,6,SAME_COMPONENT_PERSISTENT
GM019IG0023,228,positive_weight_q50,positive_weight_q70,0.313108,true,0.492691,0.313108,53.229589,584,493,COMPONENT_IDENTITY_SWITCH
GM019IG0023,228,positive_weight_q70,positive_weight_q85,0.131073,true,1.082753,0.131073,44.251786,493,386,COMPONENT_IDENTITY_SWITCH
GM019IG0024,227,positive_weight_q50,positive_weight_q70,0.590278,true,0.037361,0.590278,1.402508,15,10,SAME_COMPONENT_PERSISTENT
GM019IG0024,227,positive_weight_q70,positive_weight_q85,0.270588,true,0.142466,0.270588,69.150055,10,5,SAME_COMPONENT_PERSISTENT
GM019IG0025,52,positive_weight_q50,positive_weight_q70,0.439301,true,0.421297,0.439301,13.615152,552,336,SAME_COMPONENT_PERSISTENT
GM019IG0025,52,positive_weight_q70,positive_weight_q85,0.387997,true,0.460167,0.387997,2.114999,336,165,SAME_COMPONENT_PERSISTENT
GM019IG0026,46,positive_weight_q50,positive_weight_q70,0,false,2.207121,0.28487,13.657736,967,690,COMPONENT_SPLIT_OR_MERGE
GM019IG0026,46,positive_weight_q70,positive_weight_q85,0.349164,true,0.162741,0.349164,0.61044,690,352,COMPONENT_SPLIT_OR_MERGE
GM019IG0027,27,positive_weight_q50,positive_weight_q70,0.625,true,0.02329,0.625,3.137569,8,5,SAME_COMPONENT_PERSISTENT
GM019IG0027,27,positive_weight_q70,positive_weight_q85,0.292308,true,0.091236,0.292308,66.362692,5,2,SAME_COMPONENT_PERSISTENT
GM019IG0028,27,positive_weight_q50,positive_weight_q70,0.480563,true,0.428502,0.480563,22.629843,405,370,COMPONENT_IDENTITY_SWITCH
GM019IG0028,27,positive_weight_q70,positive_weight_q85,0.092308,true,1.073768,0.092308,12.344375,370,286,COMPONENT_IDENTITY_SWITCH
GM019IG0029,27,positive_weight_q50,positive_weight_q70,0.428943,true,0.401063,0.428943,17.16892,635,425,COMPONENT_IDENTITY_SWITCH
GM019IG0029,27,positive_weight_q70,positive_weight_q85,0.216544,true,0.856921,0.216544,30.55908,425,330,COMPONENT_IDENTITY_SWITCH
GM019IG0030,28,positive_weight_q50,positive_weight_q70,0.327028,true,0.702026,0.327028,34.229655,433,379,COMPONENT_IDENTITY_SWITCH
GM019IG0030,28,positive_weight_q70,positive_weight_q85,0,false,1.350815,0.184932,79.719375,379,337,COMPONENT_IDENTITY_SWITCH
GM019IG0031,28,positive_weight_q50,positive_weight_q70,0.573763,true,0.153815,0.573763,9.571553,667,473,COMPONENT_IDENTITY_SWITCH
GM019IG0031,28,positive_weight_q70,positive_weight_q85,0.110808,true,0.738838,0.110808,34.518831,473,367,COMPONENT_IDENTITY_SWITCH
