source_path,source_category,current_use,reuse_value,known_risk_or_correction,must_not_use_for,notes
docs/OTY2_CROSS_MODAL_MECHANISM_FACTOR_GRAPH_DESIGN.md,correct_active_source,current WGV2.0 schema and permission design,"node/factor/relation vocabulary; scene role framing; not one-to-one mapping boundary","schema is design-only and does not instantiate graph windows","selector; scoring; final boxes; runtime prediction; identity truth","WGV2.0 design"
reports/oty2/oty2_wgv2_1_small_window_factor_graph_instantiation_20260709.md,correct_active_source,current WGV2.1 bounded instantiation summary,"nine-window conservative graph examples; weak and blocked items preserved","instantiated windows only; not a general candidate bank","broad expansion; SAR-ready annotation; boundary relaxation","WGV2.1 instantiation"
reports/oty2/oty2_wgv2_2_factor_graph_constraint_propagation_and_missing_factor_audit_20260709.md,correct_active_source,current WGV2.2 constraint and missing-factor audit,"missing-factor priorities; propagated blockers; GM_RM011 and GM_RM017 scene roles","does not add windows or select candidates","candidate generation; ranking; threshold tuning","WGV2.2 missing-factor audit"
docs/OTY2_CROSS_MODAL_FACTOR_IDEA_BANK.md,correct_active_source,current WGV2.3 idea bank,"factor lifecycle; divergent discovery; strict admission; GT posthoc validation boundary","idea seeds are not admitted factors","runtime factor construction from GT; annotation permission","WGV2.3 idea bank"
reports/oty2/oty2_wgv2_3_factor_idea_bank_gt_validation_boundary_and_joint_factor_admission_rules_20260709.md,correct_active_source,current WGV2.3 report,"joint-factor gates; forbidden shortcuts; positive GT-local fit and negative contrast requirement","candidate factors remain design-only","WGV2.4 launch; selector; runtime priors from GT","WGV2.3 GT validation boundary"
docs/oty2_physical_structure_first_not_weighted_fusion_archive.md,archived_correction,guardrail against weighted fusion,"atom/part/shell hierarchy; temporal non-jump concept; physical structure first","archive records correction; not an active scoring route","weighted heuristic fusion; score optimization; best-weight selection","physical-structure-first archive"
docs/oty2_gt_support_failure_concept_correction_archive.md,archived_correction,guardrail for GT-anchored morphology and support miss,"support miss diagnosis; GT quality versus support issue split","GT anchor is posthoc only","GT-guided runtime prediction; revised GT; support-internal baby-car search","GT support failure correction archive"
docs/oty2_gt_local_energy_field_atlas_correction_archive.md,archived_correction,guardrail for failed atlas interpretation,"failed visualization warning; corrected GT-crop visualization contract","old support-wide atlas must be treated as failed evidence","citing failed atlas as vehicle shell proof; final boxes","GT-local energy field atlas correction archive"
docs/OTY2_OPTICAL_STREAM_MECHANISM_ADJUSTMENT_DESIGN.md,correct_active_source,optical stream mechanism design boundary,"uncertainty-aware optical hypothesis field; tracker/P4G ID not identity truth","design-only; does not authorize implementation","clean identity stream claim; SAR pairing; final annotation","optical stream adjustment design"
reports/oty2/oty2_wgv1_8_gm011_optical_behavior_to_sar_gt_local_mechanism_audit_20260709.md,correct_active_source,GM_RM011 mechanism-construction evidence,"near-field truncation; edge contact; same-color competitor; preserved boundaries; GT-local morphology vocabulary","GM_RM011 is useful but still not SAR-ready","SAR-ready annotation; boundary bridge; identity proof","GM_RM011 WGV1.8 mechanism audit"
reports/oty2/oty2_wgv1_7_azimuth_constrained_optical_sar_temporal_alignment_audit_20260709.md,correct_active_source,azimuth and temporal alignment limitation evidence,"GM_RM011 missing direct azimuth source; GM_RM017 ambiguous posthoc overlap","posthoc azimuth proxy does not select runtime offset","runtime offset selection; weak-thread upgrade","WGV1.7 azimuth audit"
reports/oty2/oty2_wgv1_6_small_window_optical_sar_dual_evidence_closure_audit_20260709.md,correct_active_source,dual-evidence conservative closure evidence,"selected windows; weak remains weak; boundary preserved; mapping unresolved","dual evidence consistency is not identity truth","SAR consumption; final annotation; boundary relaxation","WGV1.6 dual-evidence audit"
reports/oty2/oty2_wgv1_5c_prior_sar_evidence_inheritance_and_alignment_20260709.md,correct_active_source,prior SAR evidence inheritance source,"60 inherited posthoc SAR evidence units; provenance split; alignment conservativeness","prior evidence is posthoc and mapping remains unresolved","runtime prior construction; SAR-ready annotations","WGV1.5C prior SAR evidence inheritance"
docs/oty2_support_wide_energy_structure_and_temporal_morphology_correction_archive.md,archived_correction,guardrail for support-wide interpretation,"top-k peak is scattering atom; support is feasible region; temporal drift is mechanism cue","support-wide conclusions were corrected and bounded","selected component; support shell as annotation rule; identity truth","old support-wide/component-box mistake correction"
reports/oty2/oty2_support_wide_energy_structure_and_temporal_morphology_report_20260703_212811.md,failed_or_superseded_report,negative evidence and source table pointer,"support-wide atoms/components; shell proxies; support failure taxonomy; temporal drift probes","later corrections require GT-anchored vehicle-scale reading and anti-baby-car boundary","automatic vehicle shell proof; selector feature; final box","old support-wide report family"
reports/oty2/oty2_detection_dropout_temporal_sar_support_report_20260702_200455.md,failed_or_superseded_report,dropout/no-match special-pool reference,"12 no_oty_iou_match cases; temporal continuation; SAR posthoc support","dropout rows stay outside clean paired validation","clean paired morphology statistics; automatic annotation; identity truth","dropout/no-match audit"
reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,correct_active_source,SAR GT-local morphology and GT quality reference,"442 GT scale audit; atom/part/shell hierarchy; support miss cases","GT quality flags are review candidates not revised labels","revised GT; threshold tuning; runtime construction","SAR morphology / GT-local report"
reports/oty2/oty2_gt_local_energy_field_atlas_report_20260704_145752.md,failed_or_superseded_report,atlas source to read with correction archive,"GT-local energy-field features and visual vocabulary","correction archive says prior atlas framing must be treated carefully","vehicle shell proof without corrected visualization contract","GT-local atlas report if traceable"
reports/oty2/oty2_counterfactual_confounder_triage_report_20260703_105108.md,failed_or_superseded_report,negative-control and confounder reference,"wrong-frame wrong-object azimuth-shift and range-shift triage patterns","controls can remain high and block runtime-rule claims","runtime rule claim; selector/ranking; identity proof","negative examples for future contrast design"
