offset_axis,offset_value,region_count,mean_energy_mean,mean_energy_median,mean_energy_p90,total_energy_mean,total_energy_median,total_energy_p90,high_energy_pixel_fraction_mean,high_energy_pixel_fraction_median,high_energy_pixel_fraction_p90,response_occupancy_ratio_mean,response_occupancy_ratio_median,response_occupancy_ratio_p90,range_energy90_width_px_mean,range_energy90_width_px_median,range_energy90_width_px_p90,azimuth_energy90_width_px_mean,azimuth_energy90_width_px_median,azimuth_energy90_width_px_p90,inside_gt_energy_fraction_mean,inside_gt_energy_fraction_median,inside_gt_energy_fraction_p90,mask_contact_ratio_mean,mask_contact_ratio_median,mask_contact_ratio_p90,component_count_mean,component_count_median,component_count_p90,best_offset_for_axis,gt_centered_peak,interpretation
image_x,-1,72,44.914042,44.429692,51.393648,570253.430556,575512,677311.9,0.073811,0.061391,0.116812,0.073811,0.061391,0.116812,80.682958,78.613312,97.548899,122.458173,125.386038,140.410847,0,0,0,0,0,0,216.763889,211,285,0.25,false,"controlled translation surface, not a localization selector"
image_x,-0.5,72,47.424934,47.869772,53.11509,602272.208333,613587.5,708667.8,0.146086,0.129807,0.227045,0.146086,0.129807,0.227045,89.403919,88.038097,120.479472,133.051272,131.453342,156.292094,0.511813,0.508236,0.537834,0,0,0,259.361111,241,359.7,0.25,false,"controlled translation surface, not a localization selector"
image_x,-0.25,72,48.952946,50.421284,54.456793,622112.916667,637563,725785.9,0.190575,0.195037,0.277752,0.190575,0.195037,0.277752,81.229847,78.179798,108.168195,126.979206,128.780796,164.623053,0.754013,0.752761,0.76871,0,0,0,272.263889,265.5,366.6,0.25,false,"controlled translation surface, not a localization selector"
image_x,0.25,72,49.343448,50.288927,55.890896,626280.347222,632705.5,739785.2,0.199374,0.199794,0.259666,0.199374,0.199794,0.259666,64.028602,60.069779,78.915278,119.51989,119.480885,131.649914,0.765109,0.765195,0.777232,0,0,0,298.333333,306,378.2,0.25,false,"controlled translation surface, not a localization selector"
image_x,0.5,72,47.848058,48.242541,54.621038,607529.152778,605802.5,714971.9,0.156525,0.161181,0.199494,0.156525,0.161181,0.199494,59.763133,58.272975,72.594315,112.594131,111.24786,130.619732,0.533925,0.532965,0.549987,0,0,0,283.416667,289.5,345.8,0.25,false,"controlled translation surface, not a localization selector"
image_x,1,72,44.059025,43.23894,51.368781,559010.180556,550585,661928.7,0.046905,0.043466,0.068185,0.046905,0.043466,0.068185,85.841583,84.239868,117.140075,142.433179,141.779277,161.691651,0.006409,0.00628,0.006932,0,0,0,255.180556,255.5,309.9,0.25,false,"controlled translation surface, not a localization selector"
image_y,-1,72,45.082606,44.409149,51.270105,571510.763889,567490.5,683088,0.077064,0.078882,0.098369,0.077064,0.078882,0.098369,86.973243,86.749043,106.02976,144.774247,142.684335,162.084182,0.000169,0,0,0,0,0,311.944444,307,393.7,0.25,false,"controlled translation surface, not a localization selector"
image_y,-0.5,72,44.588685,44.215153,50.973043,565344.097222,560432.5,664795.3,0.061878,0.062304,0.097686,0.061878,0.062304,0.097686,87.744128,86.565857,113.721337,140.107975,137.61852,162.479104,0.49882,0.498829,0.506469,0,0,0,299.277778,312.5,409,0.25,false,"controlled translation surface, not a localization selector"
image_y,-0.25,72,46.289453,46.694815,52.397493,587318.111111,586783.5,685086.2,0.118197,0.128841,0.173346,0.118197,0.128841,0.173346,80.81569,78.145487,107.975007,135.775839,137.581246,164.325361,0.748916,0.749599,0.757644,0,0,0,317.972222,325,427.7,0.25,false,"controlled translation surface, not a localization selector"
image_y,0.25,72,50.356133,51.806446,56.668537,638852.833333,648187.5,743796.7,0.23078,0.235835,0.309967,0.23078,0.235835,0.309967,58.73596,56.614659,75.715944,132.065395,130.099337,153.024279,0.77671,0.778358,0.788075,0,0,0,283.763889,277,362.9,0.25,false,"controlled translation surface, not a localization selector"
