blind_review_id,blind_frame_id,blind_object_id,review_object_type,candidate_role_summary,runtime_png
BRV_0001,BLIND_FRAME_001,BLIND_OBJECT_001,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0002,BLIND_FRAME_002,BLIND_OBJECT_002,structure_candidate,body_core_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0003,BLIND_FRAME_003,BLIND_OBJECT_003,structure_candidate,body_core_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0004,BLIND_FRAME_004,BLIND_OBJECT_004,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0005,BLIND_FRAME_005,BLIND_OBJECT_005,structure_candidate,endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0006,BLIND_FRAME_006,BLIND_OBJECT_006,structure_candidate,unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0007,BLIND_FRAME_007,BLIND_OBJECT_007,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0008,BLIND_FRAME_008,BLIND_OBJECT_008,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0009,BLIND_FRAME_008,BLIND_OBJECT_009,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0010,BLIND_FRAME_008,BLIND_OBJECT_010,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0011,BLIND_FRAME_009,BLIND_OBJECT_011,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;side_ridge_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0012,BLIND_FRAME_009,BLIND_OBJECT_012,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0013,BLIND_FRAME_010,BLIND_OBJECT_013,structure_candidate,isolated_small_atom;side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0014,BLIND_FRAME_011,BLIND_OBJECT_014,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0015,BLIND_FRAME_011,BLIND_OBJECT_015,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0016,BLIND_FRAME_011,BLIND_OBJECT_016,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0017,BLIND_FRAME_012,BLIND_OBJECT_017,structure_candidate,body_core_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0018,BLIND_FRAME_013,BLIND_OBJECT_018,structure_candidate,body_core_candidate;side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0019,BLIND_FRAME_014,BLIND_OBJECT_019,structure_candidate,body_core_candidate;side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0020,BLIND_FRAME_015,BLIND_OBJECT_020,structure_candidate,body_core_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
