blind_review_id,blind_frame_id,blind_object_id,response_box_id,raw_visible_structure,raw_vehicle_part_support,raw_background_support,raw_unresolved,raw_decisive_reason,raw_visual_confidence,raw_png
R2RAW_0001,R2_BLIND_FRAME_001,R2_BLIND_OBJECT_001,R2B0001,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0002,R2_BLIND_FRAME_001,R2_BLIND_OBJECT_002,R2B0002,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0003,R2_BLIND_FRAME_002,R2_BLIND_OBJECT_003,R2B0003,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0004,R2_BLIND_FRAME_002,R2_BLIND_OBJECT_004,R2B0004,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0005,R2_BLIND_FRAME_003,R2_BLIND_OBJECT_005,R2B0005,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0006,R2_BLIND_FRAME_003,R2_BLIND_OBJECT_006,R2B0006,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0007,R2_BLIND_FRAME_004,R2_BLIND_OBJECT_007,R2B0007,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0008,R2_BLIND_FRAME_004,R2_BLIND_OBJECT_008,R2B0008,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0009,R2_BLIND_FRAME_005,R2_BLIND_OBJECT_009,R2B0009,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0010,R2_BLIND_FRAME_006,R2_BLIND_OBJECT_010,R2B0010,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0011,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_011,R2B0011,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0012,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_012,R2B0012,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0013,R2_BLIND_FRAME_007,R2_BLIND_OBJECT_013,R2B0013,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0014,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_014,R2B0014,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0015,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_015,R2B0015,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
