pair_id,sar_frame,split,method,body_axis_proxy_deg,motion_heading_directed_deg,speed_px_per_sar_frame,along_track_residual_px,cross_track_residual_px,total_residual_px,support_frame_count,support_frames,posthoc_or_runtime,used_for_main_body_axis_proxy
WGV35A_PAIR_0003,315,calibration,symmetric_local_line_tangent,4.415781,4.415781,6.034914,2.43374,1.275559,2.747752,5,315;317;319;321;323,posthoc_diagnostic,true
WGV35A_PAIR_0003,315,calibration,local_quadratic_tangent,178.239968,-1.760032,5.695258,2.423325,1.147877,2.681441,5,315;317;319;321;323,posthoc_diagnostic,false
WGV35A_PAIR_0003,315,calibration,history_only_line_tangent,,,0,999,999,999,1,315,posthoc_diagnostic,false
WGV35A_PAIR_0003,315,calibration,robust_median_displacement_direction,0.952063,0.952063,5.499259,2.213648,1.244911,2.539693,5,315;317;319;321;323,posthoc_diagnostic,false
WGV35A_PAIR_0003,315,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,3.838927,,,,,,16,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0006,317,calibration,symmetric_local_line_tangent,0.838679,0.838679,6.318055,2.511148,1.882573,3.138462,6,315;317;319;321;323;325,posthoc_diagnostic,true
WGV35A_PAIR_0006,317,calibration,local_quadratic_tangent,6.152299,6.152299,5.695728,2.231467,1.715857,2.814891,6,315;317;319;321;323;325,posthoc_diagnostic,false
WGV35A_PAIR_0006,317,calibration,history_only_line_tangent,6.964621,6.964621,2.824592,0,0,0,2,315;317,posthoc_diagnostic,false
WGV35A_PAIR_0006,317,calibration,robust_median_displacement_direction,178.611823,-1.388177,6.594185,2.366576,1.469494,2.785695,6,315;317;319;321;323;325,posthoc_diagnostic,false
WGV35A_PAIR_0006,317,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.427659,,,,,,18,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0007,319,calibration,symmetric_local_line_tangent,2.172565,2.172565,6.126931,2.5081,1.919843,3.158538,7,315;317;319;321;323;325;327,posthoc_diagnostic,true
WGV35A_PAIR_0007,319,calibration,local_quadratic_tangent,2.147296,2.147296,6.149434,2.507292,1.919292,3.157562,7,315;317;319;321;323;325;327,posthoc_diagnostic,false
WGV35A_PAIR_0007,319,calibration,history_only_line_tangent,177.175615,-2.824385,5.73822,2.785768,0.452773,2.822323,3,315;317;319,posthoc_diagnostic,false
WGV35A_PAIR_0007,319,calibration,robust_median_displacement_direction,0.952063,0.952063,5.499259,2.349811,1.746214,2.927606,7,315;317;319;321;323;325;327,posthoc_diagnostic,false
WGV35A_PAIR_0007,319,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.8367,,,,,,19,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0010,321,calibration,symmetric_local_line_tangent,2.172565,2.172565,6.126931,2.5081,1.919843,3.158538,7,315;317;319;321;323;325;327,posthoc_diagnostic,true
WGV35A_PAIR_0010,321,calibration,local_quadratic_tangent,2.172565,2.172565,6.126931,2.506888,1.91982,3.157562,7,315;317;319;321;323;325;327,posthoc_diagnostic,false
WGV35A_PAIR_0010,321,calibration,history_only_line_tangent,4.006796,4.006796,6.297693,2.591833,1.41781,2.954282,4,315;317;319;321,posthoc_diagnostic,false
WGV35A_PAIR_0010,321,calibration,robust_median_displacement_direction,0.952063,0.952063,5.499259,2.349811,1.746214,2.927606,7,315;317;319;321;323;325;327,posthoc_diagnostic,false
WGV35A_PAIR_0010,321,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,2.196505,,,,,,19,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0012,323,calibration,symmetric_local_line_tangent,0.921703,0.921703,6.276623,2.514002,1.925983,3.166957,8,315;317;319;321;323;325;327;331,posthoc_diagnostic,true
WGV35A_PAIR_0012,323,calibration,local_quadratic_tangent,0.846845,0.846845,6.285467,2.419686,1.815804,3.025231,8,315;317;319;321;323;325;327;331,posthoc_diagnostic,false
WGV35A_PAIR_0012,323,calibration,history_only_line_tangent,4.415781,4.415781,6.034914,2.43374,1.275559,2.747752,5,315;317;319;321;323,posthoc_diagnostic,false
WGV35A_PAIR_0012,323,calibration,robust_median_displacement_direction,178.611823,-1.388177,6.594185,2.355044,1.633258,2.865966,8,315;317;319;321;323;325;327;331,posthoc_diagnostic,false
WGV35A_PAIR_0012,323,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.994911,,,,,,20,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0014,325,calibration,symmetric_local_line_tangent,0.338618,0.338618,6.564818,2.179209,2.078113,3.01123,9,317;319;321;323;325;327;331;332;333,posthoc_diagnostic,true
WGV35A_PAIR_0014,325,calibration,local_quadratic_tangent,0.510659,0.510659,6.55974,2.170169,1.96733,2.929167,9,317;319;321;323;325;327;331;332;333,posthoc_diagnostic,false
WGV35A_PAIR_0014,325,calibration,history_only_line_tangent,0.838679,0.838679,6.318055,2.511148,1.882573,3.138462,6,315;317;319;321;323;325,posthoc_diagnostic,false
WGV35A_PAIR_0014,325,calibration,robust_median_displacement_direction,175.833502,-4.166498,7.056462,2.110336,2.502252,3.273344,9,317;319;321;323;325;327;331;332;333,posthoc_diagnostic,false
WGV35A_PAIR_0014,325,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.155167,,,,,,21,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0016,327,calibration,symmetric_local_line_tangent,179.544664,-0.455336,6.580243,2.726156,2.161965,3.479371,10,319;321;323;325;327;331;332;333;334;335,posthoc_diagnostic,true
WGV35A_PAIR_0016,327,calibration,local_quadratic_tangent,179.737391,-0.262609,6.545699,2.278932,1.9454,2.99635,10,319;321;323;325;327;331;332;333;334;335,posthoc_diagnostic,false
WGV35A_PAIR_0016,327,calibration,history_only_line_tangent,2.156424,2.156424,6.35776,2.383871,2.073281,3.159325,6,317;319;321;323;325;327,posthoc_diagnostic,false
WGV35A_PAIR_0016,327,calibration,robust_median_displacement_direction,178.611823,-1.388177,6.594185,3.314498,2.732552,4.295665,10,319;321;323;325;327;331;332;333;334;335,posthoc_diagnostic,false
WGV35A_PAIR_0016,327,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.617143,,,,,,22,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0021,331,calibration,symmetric_local_line_tangent,179.351546,-0.648454,6.783021,2.396879,1.814124,3.006006,12,323;325;327;331;332;333;334;335;336;337;338;339,posthoc_diagnostic,true
WGV35A_PAIR_0021,331,calibration,local_quadratic_tangent,179.342811,-0.657189,6.782251,2.38797,1.792255,2.985729,12,323;325;327;331;332;333;334;335;336;337;338;339,posthoc_diagnostic,false
WGV35A_PAIR_0021,331,calibration,history_only_line_tangent,178.073588,-1.926412,6.327847,2.321716,1.806541,2.94176,5,321;323;325;327;331,posthoc_diagnostic,false
WGV35A_PAIR_0021,331,calibration,robust_median_displacement_direction,6.438597,6.438597,7.530875,3.812198,2.816805,4.739962,12,323;325;327;331;332;333;334;335;336;337;338;339,posthoc_diagnostic,false
WGV35A_PAIR_0021,331,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.583705,,,,,,24,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0023,332,calibration,symmetric_local_line_tangent,0.891219,0.891219,6.743539,2.36939,2.112689,3.174502,12,325;327;331;332;333;334;335;336;337;338;339;340,posthoc_diagnostic,true
WGV35A_PAIR_0023,332,calibration,local_quadratic_tangent,0.585771,0.585771,6.727063,2.35976,2.023149,3.108312,12,325;327;331;332;333;334;335;336;337;338;339;340,posthoc_diagnostic,false
WGV35A_PAIR_0023,332,calibration,history_only_line_tangent,0.683445,0.683445,6.801173,2.201799,2.048147,3.00713,5,323;325;327;331;332,posthoc_diagnostic,false
WGV35A_PAIR_0023,332,calibration,robust_median_displacement_direction,13.570976,13.570976,7.093552,3.558355,3.073312,4.701822,12,325;327;331;332;333;334;335;336;337;338;339;340,posthoc_diagnostic,false
WGV35A_PAIR_0023,332,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.364816,,,,,,24,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0025,333,calibration,symmetric_local_line_tangent,0.622526,0.622526,6.654384,2.464542,2.05153,3.206671,13,325;327;331;332;333;334;335;336;337;338;339;340;341,posthoc_diagnostic,true
WGV35A_PAIR_0025,333,calibration,local_quadratic_tangent,0.578221,0.578221,6.658844,2.450631,2.027524,3.180636,13,325;327;331;332;333;334;335;336;337;338;339;340;341,posthoc_diagnostic,false
