response_unit_id,source_response_box_id,source_r1_family_id,sar_frame,measurement_region_type,geometry_origin_status,sar_origin_x,sar_origin_y,response_center_x,response_center_y,range_unit_x,range_unit_y,azimuth_unit_x,azimuth_unit_y,boundary_family_id,boundary_contact_state,mask_state,sample_group,is_gt_local_positive_control,is_registered_background_counterexample,is_boundary_censored_response,is_unresolved_control,core_atom_ids,optional_atom_ids,core_atom_roles,all_atom_roles,background_counterexample_atom_ids,region_bbox,pixel_count,rect_pixel_count,raw_intensity_sum,background_estimate,background_sample_count,background_source,background_subtracted_energy,energy_valid,range_weighted_mean,azimuth_weighted_mean,range_weighted_std,azimuth_weighted_std,range_p50_width,range_p80_width,range_p90_width,azimuth_p50_width,azimuth_p80_width,azimuth_p90_width,range_to_azimuth_p80_ratio,range_to_azimuth_p90_ratio,principal_axis_major_std,principal_axis_minor_std,principal_axis_ratio,principal_axis_angle_image_deg,principal_axis_angle_to_range_deg,principal_axis_angle_to_azimuth_deg,energy_centroid_x,energy_centroid_y,energy_centroid_offset_px,boundary_variant_count,boundary_variant_range_p80_min,boundary_variant_range_p80_max,boundary_variant_range_p80_dispersion,boundary_variant_azimuth_p80_min,boundary_variant_azimuth_p80_max,boundary_variant_azimuth_p80_dispersion,gt_pair_ids,matched_gt_pair_id,matched_gt_instance_id,gt_max_iou,gt_max_coverage,gt_max_prediction_purity,matched_gt_bbox_width_px,matched_gt_bbox_height_px,low_energy_flag,too_few_pixels_flag,boundary_censored_flag,mask_censored_flag,background_contaminated_flag,measurement_reliability,measurement_exclusion_reason,sar_gray_image_relpath,visual_review_relpath
R21B00001,R21B00001,R21R1F00001,27,core_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1111,1167,-0.254202,-0.967151,0.967151,-0.254202,R21R11BF00001,multiple_boundary_variants,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+boundary_censored_response,true,false,true,false,R21A00001,R21A00002;R21A00003;R21A00004;R21A00005,unresolved_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1036,1131,1186,1203",10800,10800,586545,43,16524,local_ring_excluding_frozen_responses,137506,true,2.875286,5.221765,17.991752,37.67312,26.142637,46.683365,58.587127,56.287483,102.462444,122.331605,0.455614,0.478921,37.95764,17.38346,2.183549,173.17538,82.098297,7.901703,1115.319332,1162.891779,5.961049,2,46.683365,69.114649,22.431284,102.462444,102.86562,0.403177,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.212174,0.318877,0.388031,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00001,R21B00001,R21R1F00001,27,conservative_response_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1111,1167,-0.254202,-0.967151,0.967151,-0.254202,R21R11BF00001,multiple_boundary_variants,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+boundary_censored_response,true,false,true,false,R21A00001,R21A00002;R21A00003;R21A00004;R21A00005,unresolved_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1036,1131,1186,1203",10800,10800,586545,43,16524,local_ring_excluding_frozen_responses,137506,true,2.875286,5.221765,17.991752,37.67312,26.142637,46.683365,58.587127,56.287483,102.462444,122.331605,0.455614,0.478921,37.95764,17.38346,2.183549,173.17538,82.098297,7.901703,1115.319332,1162.891779,5.961049,2,46.683365,69.114649,22.431284,102.462444,102.86562,0.403177,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.212174,0.318877,0.388031,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00002,R21B00002,R21R1F00002,27,core_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1120,1221,-0.29629,-0.955098,0.955098,-0.29629,R21R11BF00002,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+boundary_censored_response,true,false,true,false,R21A00002,R21A00001;R21A00003;R21A00005,body_core_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,,"1096,1209,1144,1233",1152,1152,66779,43,1394,local_ring_excluding_frozen_responses,18150,true,-0.99844,3.410593,6.251493,11.600026,9.352293,15.3478,19.659685,13.800123,30.134393,37.315058,0.509312,0.526857,12.192082,4.999492,2.438664,2.490863,70.274255,19.725745,1123.553278,1220.943085,3.553734,1,15.3478,15.3478,0,30.134393,30.134393,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.087657,0.087657,1,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00002,R21B00002,R21R1F00002,27,conservative_response_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1120,1221,-0.29629,-0.955098,0.955098,-0.29629,R21R11BF00002,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+boundary_censored_response,true,false,true,false,R21A00002,R21A00001;R21A00003;R21A00005,body_core_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,,"1096,1209,1144,1233",1152,1152,66779,43,1394,local_ring_excluding_frozen_responses,18150,true,-0.99844,3.410593,6.251493,11.600026,9.352293,15.3478,19.659685,13.800123,30.134393,37.315058,0.509312,0.526857,12.192082,4.999492,2.438664,2.490863,70.274255,19.725745,1123.553278,1220.943085,3.553734,1,15.3478,15.3478,0,30.134393,30.134393,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.087657,0.087657,1,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00003,R21B00003,R21R1F00003,27,core_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1096,1140,-0.291122,-0.956686,0.956686,-0.291122,R21R11BF00003,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,boundary_censored_response,false,false,true,false,R21A00003,R21A00001;R21A00002;R21A00004;R21A00005,unresolved_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1084,1131,1108,1149",432,432,25546,48,440,local_ring_excluding_frozen_responses,5495,true,2.511773,-1.421419,3.448819,5.269235,4.201187,8.526853,11.022469,6.613481,13.226962,17.137028,0.644657,0.643196,5.271869,3.444792,1.530388,165.467685,87.607194,2.392806,1093.908917,1138.010828,2.886076,1,8.526853,8.526853,0,13.226962,13.226962,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0,0,0,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00003,R21B00003,R21R1F00003,27,conservative_response_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1096,1140,-0.291122,-0.956686,0.956686,-0.291122,R21R11BF00003,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,boundary_censored_response,false,false,true,false,R21A00003,R21A00001;R21A00002;R21A00004;R21A00005,unresolved_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1084,1131,1108,1149",432,432,25546,48,440,local_ring_excluding_frozen_responses,5495,true,2.511773,-1.421419,3.448819,5.269235,4.201187,8.526853,11.022469,6.613481,13.226962,17.137028,0.644657,0.643196,5.271869,3.444792,1.530388,165.467685,87.607194,2.392806,1093.908917,1138.010828,2.886076,1,8.526853,8.526853,0,13.226962,13.226962,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0,0,0,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00004,R21B00004,R21R1F00004,27,core_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1012,1134,-0.585521,-0.810657,0.810657,-0.585521,R21R11BF00004,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,registered_background_counterexample+boundary_censored_response,false,true,true,false,R21A00004,R21A00001;R21A00003;R21A00005,isolated_small_atom,isolated_small_atom;unresolved_atom,R21A00004,"1006,1131,1018,1137",72,72,4347,43,760,local_ring_excluding_frozen_responses,1280,true,-0.126599,0.016497,1.594293,2.816756,1.711205,3.377877,4.548918,4.053287,7.206028,8.827343,0.468757,0.515321,2.930093,1.374935,2.131077,162.334354,71.825865,18.174135,1012.0875,1134.092969,0.127669,1,3.377877,3.377877,0,7.206028,7.206028,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0,0,0,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00004,R21B00004,R21R1F00004,27,conservative_response_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1012,1134,-0.585521,-0.810657,0.810657,-0.585521,R21R11BF00004,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,registered_background_counterexample+boundary_censored_response,false,true,true,false,R21A00004,R21A00001;R21A00003;R21A00005,isolated_small_atom,isolated_small_atom;unresolved_atom,R21A00004,"1006,1131,1018,1137",72,72,4347,43,760,local_ring_excluding_frozen_responses,1280,true,-0.126599,0.016497,1.594293,2.816756,1.711205,3.377877,4.548918,4.053287,7.206028,8.827343,0.468757,0.515321,2.930093,1.374935,2.131077,162.334354,71.825865,18.174135,1012.0875,1134.092969,0.127669,1,3.377877,3.377877,0,7.206028,7.206028,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0,0,0,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00005,R21B00005,R21R1F00005,27,core_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1036,1227,-0.751471,-0.659766,0.659766,-0.751471,R21R11BF00005,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+registered_background_counterexample+boundary_censored_response,true,true,true,false,R21A00005,R21A00001;R21A00002;R21A00003;R21A00004,isolated_small_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1030,1221,1042,1233",144,144,7892,39,600,local_ring_excluding_frozen_responses,2366,true,-0.009973,0.904716,2.262306,3.58574,2.914179,5.736653,7.239595,5.644948,8.834242,10.813541,0.649366,0.669494,3.586292,2.26143,1.585852,129.986201,88.704165,1.295835,1036.604396,1226.326712,0.904771,1,5.736653,5.736653,0,8.834242,8.834242,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.010957,0.010957,1,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
R21B00005,R21B00005,R21R1F00005,27,conservative_response_region,configured_fan_center_px_1154_0_1330_6_reused_from_wgv3_5a_r2c,1154,1330.6,1036,1227,-0.751471,-0.659766,0.659766,-0.751471,R21R11BF00005,single_consensus_bbox,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE|pairs=WGV35A_PAIR_0203;WGV35A_PAIR_0204,gt_local_positive_control+registered_background_counterexample+boundary_censored_response,true,true,true,false,R21A00005,R21A00001;R21A00002;R21A00003;R21A00004,isolated_small_atom,body_core_candidate;isolated_small_atom;unresolved_atom,,"1030,1221,1042,1233",144,144,7892,39,600,local_ring_excluding_frozen_responses,2366,true,-0.009973,0.904716,2.262306,3.58574,2.914179,5.736653,7.239595,5.644948,8.834242,10.813541,0.649366,0.669494,3.586292,2.26143,1.585852,129.986201,88.704165,1.295835,1036.604396,1226.326712,0.904771,1,5.736653,5.736653,0,8.834242,8.834242,0,WGV35A_PAIR_0203;WGV35A_PAIR_0204,WGV35A_PAIR_0204,316,0.010957,0.010957,1,182.277,72.1,false,false,true,false,false,valid_boundary_or_mask_limited,,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,
