sar_frame,focus_png,zero_core_overlap_old_family_split_cn,same_object_candidate_edge_cn,boundary_family_semantics_cn,visual_review_scope,visual_validity_state,reviewer_note_cn
31,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar031.png,旧混合关系已拆为多个局部响应框，未见零核心重叠成员被黄色边界族继续包入,紫色边保留左下与上方响应之间的候选关联，表达可能同目标不同部件而非身份确认,黄色族只覆盖共享核心边界变体，青色独立框仍作为局部响应单元存在,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR31 focus 图；结论只适用于该关键帧，不提升全局 object-specific PASS。
32,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar032.png,旧族中远离且零核心重叠的左侧和下侧响应已拆开，未进入同一黄色边界族,多条紫色边连接相邻响应，保留同目标候选关系但不静态合并,黄色边界族只围绕共享核心响应形成，其他青色框保持独立,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR32 focus 图；静态语义分离可见，但不等于车辆真值确认。
39,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar039.png,左上细长响应与中心响应未被同族合并，零核心重叠关系被拆分,紫色边只在邻近局部响应之间保留候选，不替代边界族,黄色族显示为局部共享核心边界表达，青色框仍分立,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR39 focus 图；候选边可解释可能部件关系，但需要后续动态审计。
78,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar078.png,左下孤立框和右侧小框未并入同一边界族，零核心重叠未残留在族内,紫色边保留中心大响应与右侧小响应的弱候选关系,黄色族只表达中心共享核心的边界变体，未选择最佳候选,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR78 focus 图；静态阶段只保留候选关系。
79,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar079.png,左下与右侧小响应保持独立局部单元，未见零核心重叠同族,紫色边连接中心响应与相邻小响应，语义为同目标候选而非 confirmed same vehicle,黄色边界族限制在共享核心变体范围内,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR79 focus 图；不做身份真值或最终标注。
263,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar263.png,该帧显示单个局部响应单元，不存在零核心重叠族内成员对,未显示紫色候选边，说明没有静态同目标候选关系被强行添加,边界语义退化为单局部响应单元，不等价完整车辆,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR263 focus 图；单元存在但车辆支持仍未由本轮证明。
270,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar270.png,多个空间分离响应未合成一个静态边界族，零核心重叠关系已拆开,紫色边保留中心到右侧响应的候选关系，供后续 GM_RM017 动态验证,黄色边界族只保留共享核心或严格重叠边界变体,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR270 focus 图；候选边不构成同车确认。
271,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar271.png,宽大响应与右侧小响应保持不同局部单元，没有零核心重叠同族残留,紫色候选边连接可能相关部件但不改变 family 身份,黄色边界族只表达局部核心边界变体，青色框保留不确定包络,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR271 focus 图；本轮只记录静态候选关系。
272,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar272.png,右侧多个小响应与中心响应没有被合并为同一边界族，零核心重叠族内计数应为零,紫色边保留中心到右侧响应的 candidate edge，未确认同一物理目标,黄色边界族限定在共享核心响应边界，其他青色框独立,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR272 focus 图；需要后续共运动审计才可确认部件关系。
273,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar273.png,该帧主要为单宽框和右侧小框，未见零核心重叠成员被边界族吞并,紫色边只作为弱候选关系保留，未输出 confirmed same-object,边界族未用 accepted link 单独作为归族证据,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR273 focus 图；静态结论保持保守。
289,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar289.png,多条近邻响应被拆成局部单元和严格边界变体，零核心重叠关系不再留在同族内,紫色边集中连接相邻响应，表达可能部件关系但不合成 family,黄色边界族表示共享核心边界变体，未按紧框或距离排序选择,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR289 focus 图；不输出最终车辆框。
290,outputs/wgv3_6a_a1_8a_r2_1_r1_1_20260711/focus_semantic_review_sar290.png,宽框和局部小框保持语义分离，零核心重叠族内关系未观察到,紫色候选边保留同目标可能性但未确认身份,黄色边界族仅描述同局部核心的边界表达，不代表物理车辆,focus_frames_only_not_full_165_family_review,UNPROVEN,已实际查看 SAR290 focus 图；本轮完成静态语义关闭。
