scene,optical_thread_or_edge_id,wgv14b_class,optical_frame_start,optical_frame_end,sar_frame_start_estimate,sar_frame_end_estimate,mapping_uncertainty,allowed_sar_use,forbidden_sar_use,boundary_rule,upgrade_requirement,sar_consumption_status,notes
GM_RM011,GM_RM011_WGV14T001,optical_identity_constraint,0,25,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,prioritize independent SAR inspection within the relevant optical time span; use as a pre-SAR identity hypothesis only after SAR alignment is defined,"do not generate SAR-ready labels, final boxes, GT boxes, revised annotations, selector/ranking output, or claim SAR identity from optical continuity alone",may constrain optical identity continuity inside its accepted optical span; must stop at preserved optical boundaries,"independent SAR-internal vehicle-like scatter plus SAR temporal continuity plus SAR boundary support, with explicit optical-to-SAR frame mapping uncertainty resolved",pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_identity_constraint; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV14T002,optical_search_hint_only,31,35,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV14T003,optical_search_hint_only,135,137,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV14T004,optical_identity_constraint,151,166,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,prioritize independent SAR inspection within the relevant optical time span; use as a pre-SAR identity hypothesis only after SAR alignment is defined,"do not generate SAR-ready labels, final boxes, GT boxes, revised annotations, selector/ranking output, or claim SAR identity from optical continuity alone",may constrain optical identity continuity inside its accepted optical span; must stop at preserved optical boundaries,"independent SAR-internal vehicle-like scatter plus SAR temporal continuity plus SAR boundary support, with explicit optical-to-SAR frame mapping uncertainty resolved",pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_identity_constraint; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV14T005,optical_search_hint_only,231,288,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV14T006,optical_search_hint_only,289,292,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=stable_same_vehicle; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM017,GM_RM017_WGV14T001,optical_search_hint_only,118,157,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=weak_but_usable; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM017,GM_RM017_WGV14T002,optical_search_hint_only,149,214,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=weak_but_usable; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM017,GM_RM017_WGV14T003,optical_search_hint_only,158,185,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof",hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,independent SAR evidence must show vehicle-like signal and continuity over the proposed interval without contradicting competitor or boundary evidence,pre_sar_only,WGV1.4b thread verdict=weak_but_usable; prior optical use=optical_search_hint_only; SAR-ready remains no / blocked.
GM_RM011,GM_RM011_WGV12M001,optical_identity_constraint,4,8,not_estimated_pre_sar,not_estimated_pre_sar,unresolved_no_optical_to_sar_alignment_in_wgv1_5a,prioritize independent SAR inspection within the relevant optical time span; use as a pre-SAR identity hypothesis only after SAR alignment is defined,"do not generate SAR-ready labels, final boxes, GT boxes, revised annotations, selector/ranking output, or claim SAR identity from optical continuity alone",may constrain optical identity continuity inside its accepted optical span; must stop at preserved optical boundaries,"independent SAR-internal vehicle-like scatter plus SAR temporal continuity plus SAR boundary support, with explicit optical-to-SAR frame mapping uncertainty resolved",pre_sar_only,WGV1.4b edge/context verdict=stable_same_vehicle; optical use=optical_identity_constraint; kind=same_vehicle; SAR-ready remains no / blocked.
