change_id,scene_id,old_item_type,old_item_id,new_item_type,new_item_ids,change_type,trigger_rule,evidence_frame_start,evidence_frame_end,reason,human_review_needed,note
WG11CH001,GM_RM011,v1_fragment,GM_RM011_WGF002,v1_1_fragment,GM_RM011_WG11F002,status_updated,low_risk_local_body_visible_transition,8,10,V1 review_required fragment has full local YOLO26l body coverage but edge remains weak,yes,updated to weak fragment not accepted
WG11CH002,GM_RM011,v1_fragment_group,GM_RM011_WGF004;GM_RM011_WGF005;GM_RM011_WGF006,v1_1_fragment_group,GM_RM011_WG11F004;GM_RM011_WG11F005;GM_RM011_WG11F006,fragment_split,over_merged_node_and_node_identity_switch,18,35,old Y26N004 is explicitly split into accepted 18-25 blocked 26-30 and review 31-35,yes,formalizes controlled repair in V1.1
WG11CH003,GM_RM011,v1_same_vehicle_edge,GM_RM011_WGSVE003,v1_1_same_vehicle_edge,GM_RM011_WG11SVE003,same_vehicle_edge_downgraded,do_not_cross_blocked_switch_zone,13,25,edge only links 13-16 to 18-25 and does not accept old 18-35 node,yes,kept weak
WG11CH004,GM_RM011,v1_fragment_group,GM_RM011_WGF007;GM_RM011_WGF008;GM_RM011_WGF009;GM_RM011_WGF010,v1_1_fragment_group,GM_RM011_WG11F007;GM_RM011_WG11F008;GM_RM011_WG11F009;GM_RM011_WG11F010,fragment_split,occlusion_driven_target_switch,135,166,frame 137 box is left white vehicle and frame 138 jumps to middle dark vehicle,yes,GM_RM011 135-166 cannot be a same-vehicle node
WG11CH005,GM_RM011,v1_temporal_context_edge,GM_RM011_WGTCE003;GM_RM011_WGTCE004;GM_RM011_WGTCE005,v1_1_temporal_context_edge,GM_RM011_WG11TCE003;GM_RM011_WG11TCE004;GM_RM011_WG11TCE005,temporal_context_edge_added,occlusion_context,135,166,occlusion and subject-switch relations are preserved as context not identity,yes,no same-vehicle edge generated
WG11CH006,GM_RM011,v1_same_vehicle_edge,GM_RM011_WGSVE004,v1_1_blocked_review_item,GM_RM011_WG11BRI007,same_vehicle_edge_removed,structured_multi_vehicle_temporal_encounter,231,239,V1 weak same-vehicle edge is unsafe inside multi-vehicle encounter and is removed,yes,replaced by temporal context edge
WG11CH007,GM_RM011,v1_same_vehicle_edge,GM_RM011_WGSVE004,v1_1_temporal_context_edge,GM_RM011_WG11TCE006,temporal_context_edge_added,vehicle_turnover_context,231,239,231-239 remains useful temporal context but not same-vehicle evidence,yes,V1.1 reduces false same-vehicle linkage
WG11CH008,GM_RM011,v1_fragment_group,GM_RM011_WGF012;GM_RM011_WGF013;GM_RM011_WGF014,v1_1_fragment_group,GM_RM011_WG11F012;GM_RM011_WG11F013;GM_RM011_WG11F014,fragment_split,visible_unboxed_vehicle_gap_reframed_and_primary_box_switch,236,270,single Y26N009 is rejected and A/B/C split is formalized,yes,A=236-239 B=242-264 C=265-270
WG11CH009,GM_RM011,v1_relation,GM_RM011_WGF012_to_GM_RM011_WGF013,v1_1_temporal_context_edge,GM_RM011_WG11TCE007,temporal_context_edge_added,front_to_front_encounter,237,245,237 right-side white vehicle and 242-245 left-side white vehicle have different primary subjects,yes,no same-vehicle edge retained
WG11CH010,GM_RM011,v1_relation,GM_RM011_WGF013_to_GM_RM011_WGF014,v1_1_temporal_context_edge,GM_RM011_WG11TCE008,temporal_context_edge_added,rear_to_front_adjacency,264,270,264-265 primary box jump supports handoff or adjacent-vehicle context,yes,no same-vehicle edge retained
WG11CH011,GM_RM011,v1_fragment_group,GM_RM011_WGF015;GM_RM011_WGF016;GM_RM011_WGF017,v1_1_fragment_group,GM_RM011_WG11F015;GM_RM011_WG11F016;GM_RM011_WG11F017,fragment_split,late_center_jump_and_competitor_context,279,292,late central white vehicle and left-edge competitor remain separated,yes,keeps GM_RM011_E007 forbidden context
WG11CH012,GM_RM017,v1_fragment_group,GM_RM017_WGF001;GM_RM017_WGF002;GM_RM017_WGF003;GM_RM017_WGF004;GM_RM017_WGF005,v1_1_fragment_group,GM_RM017_WG11F001;GM_RM017_WG11F002;GM_RM017_WG11F003;GM_RM017_WG11F004;GM_RM017_WG11F005,fragment_split,structured_multi_target_review_window,118,214,GM_RM017 window is split into context truck leading or mixed target blocked switch white vehicle and trailing dark vehicle,yes,no same-vehicle chain is generated
WG11CH013,GM_RM017,v1_temporal_context_edge,GM_RM017_WGTCE001;GM_RM017_WGTCE002;GM_RM017_WGTCE003;GM_RM017_WGTCE004;GM_RM017_WGTCE005,v1_1_temporal_context_edge,GM_RM017_WG11TCE001;GM_RM017_WG11TCE002;GM_RM017_WG11TCE003;GM_RM017_WG11TCE004;GM_RM017_WG11TCE005,temporal_context_edge_added,multi_target_review_context_not_identity,118,214,GM_RM017 relations remain context or forbidden guard not same-vehicle,yes,forbidden guard and exclusion preserved
WG11CH014,GM_RM017,v1_blocked_review_item,GM_RM017_WGBRI002,v1_1_blocked_review_item,GM_RM017_WG11BRI002,blocked_item_added,non_vehicle_exclusion_review,121,129,YOLO26l detection does not restore GM_RM017_E002 exclusion to vehicle node,yes,non-vehicle review remains separated
WG11CH015,GM_RM011,v1_blocked_review_item,GM_RM011_WGBRI004,v1_1_blocked_review_item,GM_RM011_WG11BRI004,blocked_item_added,visible_unboxed_vehicle_gap_reframed,237,270,YOLO26l covers the vehicle but identity is not safe without A/B/C review,yes,no final boxes and no SAR-ready evidence
