merge_candidate_id,scene_id,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,gap_frame_count,wgv1_2_candidate_strength,wgv1_2_multicar_gate_status,tracking_style_decision,tracking_association_mode,endpoint_iou,endpoint_intersection_over_min_area,endpoint_center_distance_norm,same_frame_to_best_same_object_flag,wgv1_3_edge_decision,include_in_vehicle_thread_candidate,identity_split_boundary,primary_box_selection_issue,human_review_priority,reason_codes,mechanism_rule,review_question,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV12M001,GM_RM011,GM_RM011_WGV12TF001,GM_RM011_WGV12TF002,4,8,3,review_only,review_only_competing_candidates_present,diagnostic_same_vehicle_candidate_supported,best_local_continuation,0.671,0.916,0.103,same_candidate,identity_safe_same_vehicle_thread_candidate,yes,no,no,medium,endpoint_review_required;class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support;same_frame_competing_candidates_present,local_tracking_association_supports_review_candidate,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,Local tracking evidence supports a diagnostic same-vehicle candidate; still review-only.
GM_RM011_WGV12M002,GM_RM011,GM_RM011_WGV12TF002,GM_RM011_WGV12TF003,9,10,0,blocked,blocked,not_adjudicated,,,,,,identity_split_boundary_blocked_by_wgv1_2,no,yes,no,high,endpoint_center_offset_too_large;endpoint_review_required;sequence_or_endpoint_gate_already_blocked,wgv1_2_sequence_or_endpoint_blocker_preserved,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,WGV1.2 already blocked this candidate; preserve as identity-safe split boundary.
GM_RM011_WGV12M003,GM_RM011,GM_RM011_WGV12TF003,GM_RM011_WGV12TF004,10,13,2,review_only,review_only_competing_candidates_present,same_object_better_box_primary_selection_issue,same_object_duplicate_resolution,0.853,0.979,0.040,same_object_duplicate_or_better_box,identity_safe_same_vehicle_candidate_with_primary_box_selection_issue,yes,no,yes,high,endpoint_review_required;class_support;competing_candidate_better_match;endpoint_overlap_support;normalized_center_support;same_object_duplicate_or_better_box;scale_support;x_bin_support;same_frame_competing_candidates_present,resolve_duplicate_candidate_before_identity_split,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,A higher-scoring same-frame candidate appears to be a duplicate or better box on the same vehicle; resolve primary-box selection during review.
GM_RM011_WGV12M004,GM_RM011,GM_RM011_WGV12TF004,GM_RM011_WGV12TF005,16,18,1,review_only,review_only_competing_candidates_present,diagnostic_same_vehicle_candidate_supported,best_local_continuation,0.944,0.998,0.014,same_candidate,identity_safe_same_vehicle_thread_candidate,yes,no,no,medium,endpoint_review_required;class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support;same_frame_competing_candidates_present,local_tracking_association_supports_review_candidate,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,Local tracking evidence supports a diagnostic same-vehicle candidate; still review-only.
GM_RM011_WGV12M005,GM_RM011,GM_RM011_WGV12TF005,GM_RM011_WGV12TF006,25,31,5,review_only,review_only_competing_candidates_present,keep_separate_competing_candidate_better,distinct_competitor_wins,0.000,0.000,1.108,spatially_distinct_competing_vehicle,identity_split_boundary_spatially_distinct_competitor,no,yes,no,high,endpoint_center_offset_review;endpoint_spatial_bin_change;endpoint_review_required;class_support;competing_candidate_better_match;normalized_center_too_far;scale_support;spatially_distinct_competing_vehicle;x_bin_change_review;same_frame_competing_candidates_present,spatially_distinct_competing_candidate_wins_local_association,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,A spatially distinct candidate better matches the previous endpoint; do not join target families.
GM_RM011_WGV12M006,GM_RM011,GM_RM011_WGV12TF008,GM_RM011_WGV12TF009,161,164,2,review_only,review_only_competing_candidates_present,diagnostic_same_vehicle_candidate_supported,best_local_continuation,0.224,0.998,0.215,same_candidate,identity_safe_same_vehicle_thread_candidate,yes,no,no,medium,endpoint_review_required;class_support;endpoint_overlap_support;normalized_center_support;scale_change_review;to_target_best_match;x_bin_support;same_frame_competing_candidates_present,local_tracking_association_supports_review_candidate,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,Local tracking evidence supports a diagnostic same-vehicle candidate; still review-only.
GM_RM011_WGV12M007,GM_RM011,GM_RM011_WGV12TF010,GM_RM011_WGV12TF011,232,233,0,blocked,blocked,not_adjudicated,,,,,,identity_split_boundary_blocked_by_wgv1_2,no,yes,no,high,endpoint_center_offset_too_large;endpoint_review_required;sequence_or_endpoint_gate_already_blocked,wgv1_2_sequence_or_endpoint_blocker_preserved,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,WGV1.2 already blocked this candidate; preserve as identity-safe split boundary.
GM_RM011_WGV12M008,GM_RM011,GM_RM011_WGV12TF011,GM_RM011_WGV12TF012,233,236,2,review_only,review_only_competing_candidates_present,diagnostic_same_vehicle_candidate_supported,best_local_continuation,0.950,0.998,0.014,same_candidate,identity_safe_same_vehicle_thread_candidate,yes,no,no,medium,endpoint_review_required;class_support;endpoint_overlap_support;normalized_center_support;scale_support;to_target_best_match;x_bin_support;same_frame_competing_candidates_present,local_tracking_association_supports_review_candidate,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,Local tracking evidence supports a diagnostic same-vehicle candidate; still review-only.
GM_RM011_WGV12M009,GM_RM011,GM_RM011_WGV12TF012,GM_RM011_WGV12TF013,239,242,2,blocked,blocked,not_adjudicated,,,,,,identity_split_boundary_blocked_by_wgv1_2,no,yes,no,high,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required;sequence_or_endpoint_gate_already_blocked,wgv1_2_sequence_or_endpoint_blocker_preserved,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,WGV1.2 already blocked this candidate; preserve as identity-safe split boundary.
GM_RM011_WGV12M010,GM_RM011,GM_RM011_WGV12TF013,GM_RM011_WGV12TF014,249,250,0,blocked,blocked,not_adjudicated,,,,,,identity_split_boundary_blocked_by_wgv1_2,no,yes,no,high,endpoint_center_offset_too_large;endpoint_review_required;sequence_or_endpoint_gate_already_blocked,wgv1_2_sequence_or_endpoint_blocker_preserved,Do these two target families preserve one real-vehicle referent after resolving duplicate boxes and distinct competitors?,no,no / blocked,yes,yes,WGV1.2 already blocked this candidate; preserve as identity-safe split boundary.
