sar_frame,perturbation_id,center_dx_px,center_dy_px,axis_delta_deg,length_scale,width_scale,mean_abs_canonical_diff,diagnostic_png,manual_judgement
321,center_dx_plus_1px,1,0,0,1,1,0.836444,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dx_plus_1px_sar000321.png,REGISTRATION_SENSITIVITY_VISIBLE
321,center_dy_plus_1px,0,1,0,1,1,0.859102,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dy_plus_1px_sar000321.png,REGISTRATION_SENSITIVITY_VISIBLE
321,axis_plus_2deg,0,0,2,1,1,1.037597,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_axis_plus_2deg_sar000321.png,REGISTRATION_SENSITIVITY_VISIBLE
321,scale_plus_2pct,0,0,0,1.02,1.02,0.76872,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_scale_plus_2pct_sar000321.png,REGISTRATION_SENSITIVITY_VISIBLE
323,center_dx_plus_1px,1,0,0,1,1,0.823496,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dx_plus_1px_sar000323.png,REGISTRATION_SENSITIVITY_VISIBLE
323,center_dy_plus_1px,0,1,0,1,1,0.850482,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dy_plus_1px_sar000323.png,REGISTRATION_SENSITIVITY_VISIBLE
323,axis_plus_2deg,0,0,2,1,1,1.03446,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_axis_plus_2deg_sar000323.png,REGISTRATION_SENSITIVITY_VISIBLE
323,scale_plus_2pct,0,0,0,1.02,1.02,0.756323,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_scale_plus_2pct_sar000323.png,REGISTRATION_SENSITIVITY_VISIBLE
325,center_dx_plus_1px,1,0,0,1,1,0.808256,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dx_plus_1px_sar000325.png,REGISTRATION_SENSITIVITY_VISIBLE
325,center_dy_plus_1px,0,1,0,1,1,0.836274,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dy_plus_1px_sar000325.png,REGISTRATION_SENSITIVITY_VISIBLE
325,axis_plus_2deg,0,0,2,1,1,1.014936,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_axis_plus_2deg_sar000325.png,REGISTRATION_SENSITIVITY_VISIBLE
325,scale_plus_2pct,0,0,0,1.02,1.02,0.749071,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_scale_plus_2pct_sar000325.png,REGISTRATION_SENSITIVITY_VISIBLE
339,center_dx_plus_1px,1,0,0,1,1,0.922395,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dx_plus_1px_sar000339.png,REGISTRATION_SENSITIVITY_VISIBLE
339,center_dy_plus_1px,0,1,0,1,1,0.95999,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_center_dy_plus_1px_sar000339.png,REGISTRATION_SENSITIVITY_VISIBLE
339,axis_plus_2deg,0,0,2,1,1,1.158372,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_axis_plus_2deg_sar000339.png,REGISTRATION_SENSITIVITY_VISIBLE
339,scale_plus_2pct,0,0,0,1.02,1.02,0.848359,outputs\wgv3_6b_e0_r3_gm017_body_canonical_20260713\visual_review\perturb_scale_plus_2pct_sar000339.png,REGISTRATION_SENSITIVITY_VISIBLE
