scene_id,candidate_edge_id,from_candidate_node_id,to_candidate_node_id,detector_source,related_baseline_edge_id,candidate_edge_type,connection_strength,reason_code,evidence_frame_start,evidence_frame_end,same_vehicle_referent_rationale,review_required_flag,boundary_flags,note
GM_RM011,GM_RM011_Y26E001,GM_RM011_Y26N001,GM_RM011_Y26N002,yolo26l,GM_RM011_E006,weak_same_vehicle_candidate,weak,part_state_transition,0,10,"YOLO26l covers early white SUV body better than baseline strip, but part-state transition still requires human review.",yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,"Diagnostic weak candidate only; not final, not SAR-ready."
GM_RM011,GM_RM011_Y26E002,GM_RM011_Y26N003,GM_RM011_Y26N004,yolo26l,GM_RM011_E001,strong_same_vehicle_candidate,strong_candidate_for_review,short_gap_body_continuity,13,35,"Short-gap white vehicle continuity remains reviewable; YOLO26l is support, not replacement.",no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Baseline already usable; candidate can enter human same-vehicle review.
GM_RM011,GM_RM011_Y26E003,GM_RM011_Y26N005,GM_RM011_Y26N006,yolo26l,GM_RM011_E004,review_only_edge_candidate,review_only,thin_edge_crop,135,166,Right-edge crop is too thin for detector-only continuity even with YOLO26l.,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Keep review_required; do not auto-weak or auto-strong.
GM_RM011,GM_RM011_Y26E004,GM_RM011_Y26N007,GM_RM011_Y26N008,yolo26l,GM_RM011_E005,weak_same_vehicle_candidate,weak,part_state_transition,231,245,"YOLO26l improves white-body visibility across upper-side/window to hood/front transition, but identity remains review-only.",yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Candidate can enter human same-vehicle review.
GM_RM011,GM_RM011_Y26E005,GM_RM011_Y26N009,GM_RM011_Y26N010,yolo26l,GM_RM011_E008,visible_body_gap_reframed_candidate,review_only,visible_unboxed_vehicle_gap_reframed_as_yolo26l_node,237,270,YOLO26l creates a stable visible white-body node candidate across the old N007/N003 gap; do not directly force weak/strong before human review.,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,"GM_RM011 237-270 is now a YOLO26l diagnostic node candidate, not final boxes and not SAR-ready."
GM_RM011,GM_RM011_Y26E006,GM_RM011_Y26N010,GM_RM011_Y26N011,yolo26l,GM_RM011_E003,weak_same_vehicle_candidate,weak,longer_gap_part_transition,262,281,"YOLO26l improves main-body visibility, but longer gap and part transition still need human review.",yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Do not auto-upgrade to strong.
GM_RM011,GM_RM011_Y26E007,GM_RM011_Y26N010,GM_RM011_Y26N013,yolo26l,GM_RM011_E007,forbidden_guard_candidate,forbidden,competitor_vehicle_risk,262,292,Competitor/left-edge context still blocks detector-only connection; YOLO26l cannot prove safe merge.,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Keep forbidden guard candidate; detector-only unresolved.
GM_RM011,GM_RM011_Y26E008,GM_RM011_Y26N011,GM_RM011_Y26N012,yolo26l,GM_RM011_E002,strong_same_vehicle_candidate,strong_candidate_for_review,central_white_vehicle_continuity,279,292,Central white vehicle continuation remains reviewable; YOLO26l supports baseline strong edge.,no_standard_review_still_required,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Not a final identity merge.
GM_RM017,GM_RM017_Y26E001,GM_RM017_Y26N001,GM_RM017_Y26N001,yolo26l,GM_RM017_E002,non_vehicle_exclusion_candidate,excluded_review,non_vehicle_box_content_review,121,129,YOLO26l may reduce multi-box confusion but cannot promote N005 to vehicle; human must confirm non-vehicle exclusion.,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Unary exclusion candidate; not vehicle timeline promotion.
GM_RM017,GM_RM017_Y26E002,GM_RM017_Y26N003,GM_RM017_Y26N005,yolo26l,GM_RM017_E001,forbidden_guard_candidate,forbidden,similar_dark_vehicle_guard,145,214,Detector-only cannot decide whether leading and trailing dark vehicles are same; dense-frame human review required.,yes,diagnostic_candidate_only;not_final_box;not_revised_annotation;not_GT;not_SAR_ready,Keep forbidden guard; no SAR-ready evidence.
