gate_id,gate_status,gate_definition_version,threshold_source,threshold_value,input_fields,evidence,failure_reason,forbidden_scope
G1_ASPECT_PROXY_OBSERVABLE,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,cal_obs>=12;diag_obs>=8;diag_ci<=30,aspect_observability_status;aspect_angle_ci_width_deg,cal_obs=37;diag_obs=24;diag_ci=0.745718,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G2_ASPECT_SPAN_SUFFICIENT,PARTIAL,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,cal_span>=20;diag_span>=10;diagnosis_inside_calibration_domain=true,relative_aspect_angle_deg;split,cal_span=35.868228;diag_span=18.756001;diag_inside_cal=false,aspect_span_or_domain_partial,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G3_METRIC_SUPPORT_STABLE,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,metric_extent_cv<=0.35,body_long_energy90_width_m;body_short_energy90_width_m,metric_extent_cv=0.15415,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G4_LOCAL_ASPECT_RESPONSE_SMOOTHNESS,PARTIAL,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,smoothness_corr>=0.25;large_aspect_changes>=abrupt_small_aspect_changes,relative_aspect_angle_deg;response_descriptor_distance,smoothness=-0.006206;abrupt=16;large=0,local_smoothness_not_strong,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G5_SAME_ASPECT_REPEATABILITY,PARTIAL,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,same_pairs>=3;different_pairs>=3;effect>=0.05,same_aspect_similarity;different_aspect_similarity,same_pairs=30;different_pairs=0;effect=0.379348,pair_evidence_insufficient_or_effect_small,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G6_ASPECT_EFFECT_NOT_EXPLAINED_BY_RANGE_ONLY,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,r2_aspect_only>=r2_range_only+0.05;aspect_r2>=0.10,response_index;relative_aspect_angle_deg;absolute_range_m_grid,r2_aspect=0.362385;r2_range=0.056597,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G7_ASPECT_EFFECT_NOT_EXPLAINED_BY_TIME_ONLY,PARTIAL,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,r2_aspect_only>=r2_time_only+0.05;actual_corr>shuffle_q90,response_index;relative_aspect_angle_deg;sar_frame;aspect_shuffle,r2_aspect=0.362385;r2_time=0.06148;shuffle_ok=False,time_order_or_shuffle_control_not_rejected,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G8_GT_ATTACHED_BACKGROUND_REJECTED,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,no_corridor_group_reproduces_vehicle_coupling,gt_attached_background_corridors;response_index,corridor_groups=4;reproducing_groups=0,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G9_PERSISTENT_STRONG_COUNTERFACTUAL_REJECTED,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,persistent_strong_counterfactual_not_reproducing,fixed_strong_scatterer;response_index;aspect,persistent_groups=1;reproducing_groups=0,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
G10_FIXED_BACKGROUND_ASPECT_COUPLING_REJECTED,PASS,e0_r2_temporal_multi_aspect_v1,calibration_sar_le_360,fixed_background_controls_not_reproducing,N005;fixed_strong;fixed_linear;response_index;aspect,fixed_groups=3;reproducing_groups=0,,no_detector_no_selector_no_ranker_no_final_box_no_gt_edit_no_training
