association_id,sar_frame,response_track_id,component_id,association_result,previous_response_x,previous_response_y,prior_track_relative_x,prior_track_relative_y,prior_predicted_response_x,prior_predicted_response_y,observed_response_x,observed_response_y,target_displacement_x,target_displacement_y,response_self_displacement_x,response_self_displacement_y,observed_relative_to_target_x,observed_relative_to_target_y,posterior_track_relative_x,posterior_track_relative_y,target_position_from_response_x,target_position_from_response_y,response_prediction_residual_px,motion_residual_px,relative_position_residual_px,shape_change_px,orientation_change_deg,energy_change,background_conflict,background_track_id,gate_response_prediction,gate_motion_consistency,gate_relative_structure,gate_background_conflict,gate_temporal_support,rejection_reason,support_observation_count,support_unique_frame_count,current_consecutive_support_frames,current_missing_frames,current_evidence_state,highest_evidence_state_reached,same_motion_supported
ASSOC_D1_R1_000001,361,RT_D1_R1_0001,D1R1OBS_000361_0034,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1155.034803,853.62297,9.037,-1.9795,32.814425,-111.166162,64.437803,-86.22453,,,,,111.745663,111.745663,111.745663,1062,313.945098,-92405,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000002,361,RT_D1_R1_0001,D1R1OBS_000361_0038,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1167.304214,857.213772,9.037,-1.9795,45.083836,-107.57536,76.707214,-82.633728,,,,,111.578941,111.578941,111.578941,1060,119.737981,-92294,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000003,361,RT_D1_R1_0001,D1R1OBS_000361_0043,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1187.762485,868.544632,9.037,-1.9795,65.542107,-96.2445,97.165485,-71.302868,,,,,109.903218,109.903218,109.903218,1037,352.514941,-90724,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000004,361,RT_D1_R1_0001,D1R1OBS_000361_0046,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1213.330606,888.106383,9.037,-1.9795,91.110228,-76.682749,122.733606,-51.741117,,,,,110.980134,110.980134,110.980134,1056,127.253913,-92045,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000005,361,RT_D1_R1_0001,D1R1OBS_000361_0047,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1207.603416,891.351992,9.037,-1.9795,85.383038,-73.43714,117.006416,-48.495508,,,,,104.570128,104.570128,104.570128,1061,345.289022,-92213,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000006,361,RT_D1_R1_0001,D1R1OBS_000361_0054,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1085.620399,924.209356,9.037,-1.9795,-36.599979,-40.579776,-4.976601,-15.638144,,,,,59.772194,59.772194,59.772194,1055,3.200037,-91963,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000007,361,RT_D1_R1_0001,D1R1OBS_000361_0055,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1096.313211,928.416131,9.037,-1.9795,-25.907167,-36.373001,5.716211,-11.431369,,,,,49.030681,49.030681,49.030681,1046,342.155179,-91246,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000008,361,RT_D1_R1_0001,D1R1OBS_000361_0056,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1155.535525,944.597031,9.037,-1.9795,33.315147,-20.192101,64.938525,4.749531,,,,,30.350078,30.350078,30.350078,1061,84.299125,-92324,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000009,361,RT_D1_R1_0001,D1R1OBS_000361_0057,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1094.077215,966.648064,9.037,-1.9795,-28.143163,1.858932,3.480215,26.800564,,,,,37.377776,37.377776,37.377776,1156,1.187945,76079,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000010,361,RT_D1_R1_0001,D1R1OBS_000361_0060,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1156.622771,968.772291,9.037,-1.9795,34.402393,3.983159,66.025771,28.924791,,,,,26.056793,26.056793,26.056793,1064,121.621707,-92538,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000011,361,RT_D1_R1_0001,D1R1OBS_000361_0061,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1170.608163,970.132653,9.037,-1.9795,48.387785,5.343521,80.011163,30.285153,,,,,40.026378,40.026378,40.026378,1060,7.64842,-92287,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000012,361,RT_D1_R1_0001,D1R1OBS_000361_0064,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1228.874883,987.18218,9.037,-1.9795,106.654505,22.393048,138.277883,47.33468,,,,,100.614106,100.614106,100.614106,1015,339.680799,-88991,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000013,361,RT_D1_R1_0001,D1R1OBS_000361_0065,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1179.771255,995.445344,9.037,-1.9795,57.550877,30.656212,89.174255,55.597844,,,,,58.46953,58.46953,58.46953,1060,29.124372,-92279,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000014,361,RT_D1_R1_0001,D1R1OBS_000361_0066,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1177.686997,1009.888545,9.037,-1.9795,55.466619,45.099413,87.089997,70.041045,,,,,66.122111,66.122111,66.122111,1028,85.652023,-90037,false,,FAIL,PASS,FAIL,PASS,FAIL,response_prediction;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000015,361,RT_D1_R1_0001,D1R1OBS_000361_0067,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1111.689415,1006.164345,9.037,-1.9795,-10.530963,41.375213,21.092415,66.316845,,,,,47.566126,47.566126,47.566126,1065,5.564795,-92549,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000016,361,RT_D1_R1_0001,D1R1OBS_000361_0068,rejected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1200.94086,1031.59038,9.037,-1.9795,78.720482,66.801248,110.34386,91.74288,,,,,97.911076,97.911076,97.911076,319,343.240413,-36656,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000017,361,RT_D1_R1_0001,D1R1OBS_000361_0058,selected,1122.220378,964.789132,40.660378,22.962132,1131.257378,962.809632,1141.115768,949.694611,9.037,-1.9795,18.89539,-15.094521,50.518768,9.847111,42.434888,20.601428,1100.45539,926.732479,16.407061,16.407061,16.407061,1053,14.197267,-91764,false,,PASS,PASS,PASS,PASS,FAIL,,2,2,2,0,same_motion_candidate,same_motion_candidate,false
ASSOC_D1_R1_000018,361,RT_D1_R1_0002,D1R1OBS_000361_0049,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,974.35844,905.263538,9.037,-1.9795,-70.796844,-63.982967,-116.23856,-34.583962,,,,,101.083493,101.083493,101.083493,613,4.049801,-50244,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000019,361,RT_D1_R1_0002,D1R1OBS_000361_0054,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1085.620399,924.209356,9.037,-1.9795,40.465115,-45.037149,-4.976601,-15.638144,,,,,53.307481,53.307481,53.307481,865,351.061477,-67222,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000020,361,RT_D1_R1_0002,D1R1OBS_000361_0055,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1096.313211,928.416131,9.037,-1.9795,51.157927,-40.830374,5.716211,-11.431369,,,,,57.302382,57.302382,57.302382,856,12.106335,-66505,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000021,361,RT_D1_R1_0002,D1R1OBS_000361_0056,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1155.535525,944.597031,9.037,-1.9795,110.380241,-24.649474,64.938525,4.749531,,,,,103.847871,103.847871,103.847871,871,269.962389,-67583,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000022,361,RT_D1_R1_0002,D1R1OBS_000361_0057,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1094.077215,966.648064,9.037,-1.9795,48.921931,-2.598441,3.480215,26.800564,,,,,39.889733,39.889733,39.889733,1346,355.449459,100820,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000023,361,RT_D1_R1_0002,D1R1OBS_000361_0059,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1010.167963,960.18507,9.037,-1.9795,-34.987321,-9.061435,-80.429037,20.33757,,,,,44.590298,44.590298,44.590298,876,260.05254,-67883,false,,PASS,PASS,FAIL,PASS,FAIL,relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000024,361,RT_D1_R1_0002,D1R1OBS_000361_0060,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1156.622771,968.772291,9.037,-1.9795,111.467487,-0.474214,66.025771,28.924791,,,,,102.441547,102.441547,102.441547,874,232.639807,-67797,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000025,361,RT_D1_R1_0002,D1R1OBS_000361_0067,rejected,1045.155284,969.246505,-36.404716,27.419505,1054.192284,967.267005,1111.689415,1006.164345,9.037,-1.9795,66.534131,36.91784,21.092415,66.316845,,,,,69.418464,69.418464,69.418464,875,348.696719,-67808,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000026,361,RT_D1_R1_0003,D1R1OBS_000361_0023,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1153.856153,837.437897,9.037,-1.9795,18.535184,-112.379208,63.259153,-102.409603,,,,,110.80754,110.80754,110.80754,1,233.075082,-210,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000027,361,RT_D1_R1_0003,D1R1OBS_000361_0028,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1144.464332,840.856031,9.037,-1.9795,9.143363,-108.961074,53.867332,-98.991469,,,,,106.981627,106.981627,106.981627,14,323.729603,-1170,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000028,361,RT_D1_R1_0003,D1R1OBS_000361_0030,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1160.121137,843.697157,9.037,-1.9795,24.800168,-106.119948,69.524137,-96.150343,,,,,105.326684,105.326684,105.326684,14,12.365877,-1132,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000029,361,RT_D1_R1_0003,D1R1OBS_000361_0032,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1180.165,851.92375,9.037,-1.9795,44.844031,-97.893355,89.568,-87.92375,,,,,102.379739,102.379739,102.379739,0,9.489634,-341,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000030,361,RT_D1_R1_0003,D1R1OBS_000361_0033,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1103.043919,850.809122,9.037,-1.9795,-32.27705,-99.007983,12.446919,-89.038378,,,,,105.457941,105.457941,105.457941,10,334.608588,-757,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000031,361,RT_D1_R1_0003,D1R1OBS_000361_0034,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1155.034803,853.62297,9.037,-1.9795,19.713834,-96.194135,64.437803,-86.22453,,,,,94.817679,94.817679,94.817679,13,29.989865,-1079,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000032,361,RT_D1_R1_0003,D1R1OBS_000361_0038,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1167.304214,857.213772,9.037,-1.9795,31.983245,-92.603333,76.707214,-82.633728,,,,,93.483738,93.483738,93.483738,11,224.196982,-968,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
ASSOC_D1_R1_000033,361,RT_D1_R1_0003,D1R1OBS_000361_0041,rejected,1135.320969,949.817105,53.760969,7.990105,1144.357969,947.837605,1206.854305,860.451656,9.037,-1.9795,71.533336,-89.365449,116.257305,-79.395844,,,,,107.434148,107.434148,107.434148,15,333.116447,-1186,false,,FAIL,FAIL,FAIL,PASS,FAIL,response_prediction;motion_consistency;relative_structure,1,1,1,0,motion_shell_candidate,motion_shell_candidate,false
