scene,sar_frame,image_path,exists,width,height,fan_nonzero_pixel_count,fan_nonzero_ratio,frame_valid_azimuth_min,frame_valid_azimuth_max,frame_valid_azimuth_bins,frame_valid_radial_pixel_min,frame_valid_radial_pixel_max,fan_mean_intensity,fan_max_intensity
GM_RM011,0,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000000.png,true,2308,1334,1868160,0.710756,-67,69,136,27,1332,21.71198,244
GM_RM011,5,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000005.png,true,2308,1334,1868756,0.710982,-67,69,136,26,1332,24.061861,255
GM_RM011,8,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000008.png,true,2308,1334,1868797,0.710998,-67,69,136,26,1332,27.525859,250
GM_RM011,10,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000010.png,true,2308,1334,1868596,0.710921,-67,69,136,26,1332,25.119069,243
GM_RM011,15,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000015.png,true,2308,1334,1868499,0.710885,-69,69,138,26,1332,27.558496,244
GM_RM011,20,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000020.png,true,2308,1334,1868157,0.710754,-69,69,138,26,1332,33.474181,249
GM_RM011,21,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000021.png,true,2308,1334,1868072,0.710722,-69,69,138,26,1332,36.405317,248
GM_RM011,22,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000022.png,true,2308,1334,1867866,0.710644,-69,69,138,26,1332,38.457004,250
GM_RM011,25,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000025.png,true,2308,1334,1867098,0.710352,-69,69,138,26,1332,29.38712,251
GM_RM011,27,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000027.png,true,2308,1334,1867383,0.71046,-69,69,138,26,1332,31.185753,248
GM_RM011,28,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000028.png,true,2308,1334,1867569,0.710531,-69,69,138,26,1332,33.984585,253
GM_RM011,29,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000029.png,true,2308,1334,1867894,0.710654,-69,69,138,26,1332,35.53402,255
GM_RM011,30,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000030.png,true,2308,1334,1867521,0.710512,-69,69,138,26,1332,36.158455,252
GM_RM011,35,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000035.png,true,2308,1334,1867629,0.710554,-69,69,138,26,1332,32.040445,250
GM_RM011,37,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000037.png,true,2308,1334,1867567,0.71053,-69,69,139,26,1332,33.001595,255
GM_RM011,40,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000040.png,true,2308,1334,1866787,0.710233,-70,69,140,26,1332,27.49511,251
GM_RM011,44,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000044.png,true,2308,1334,1867764,0.710605,-70,69,140,26,1332,37.001895,249
GM_RM011,45,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000045.png,true,2308,1334,1867614,0.710548,-70,69,140,26,1332,37.109156,251
GM_RM011,48,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000048.png,true,2308,1334,1867076,0.710343,-70,69,140,26,1332,31.723835,249
GM_RM011,50,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000050.png,true,2308,1334,1865731,0.709831,-68,69,138,32,1332,26.471625,253
GM_RM011,56,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000056.png,true,2308,1334,1865190,0.709626,-68,68,137,32,1332,17.007875,250
GM_RM011,60,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000060.png,true,2308,1334,1866860,0.710261,-68,68,137,31,1332,32.807936,250
GM_RM011,70,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000070.png,true,2308,1334,1866448,0.710104,-68,68,137,31,1332,36.143481,255
GM_RM011,74,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000074.png,true,2308,1334,1865266,0.709655,-68,67,136,30,1332,27.678459,252
